pp_lane,phase,microbatch,source_total_ns,selected_total_ns_before_scaling,target_total_ns,scale,conservation_error_ns
0,backward,0,10545926589,9142532083,10545926589,1.1535017316055722,0
0,backward,1,10520860550,9110028253,10520860550,1.1548658530817841,0
0,backward,2,10532039633,9118101128,10532039633,1.1550694037224545,0
0,backward,3,10448787905,9045237656,10448787905,1.1551700798119968,0
0,forward,0,4814239701,4171566336,4814239701,1.1540604447432188,0
0,forward,1,4770258446,4132224581,4770258446,1.1544044503132005,0
0,forward,2,4952823311,4317213233,4952823311,1.1472269363814396,0
0,forward,3,4782660861,4119530340,4782660861,1.1609723600190793,0
1,backward,0,10541480782,9137463794,10541480782,1.153654998766937,0
1,backward,1,10517411089,9106718234,10517411089,1.1549068301831462,0
1,backward,2,10529830690,9117469553,10529830690,1.1549071404944016,0
1,backward,3,10450524573,9047081797,10450524573,1.1551265709198495,0
1,forward,0,4817387284,4175160645,4817387284,1.15382082118663,0
1,forward,1,4769184527,4129594083,4769184527,1.1548797366387549,0
1,forward,2,4953449541,4318057568,4953449541,1.1471476382595556,0
1,forward,3,4782028500,4118826461,4782028500,1.1610172327675545,0
2,backward,0,10550205159,9143947156,10550205159,1.1537911340702853,0
2,backward,1,10527082161,9111571736,10527082161,1.155353046215648,0
2,backward,2,10538365850,9125707477,10538365850,1.1547998745916848,0
2,backward,3,10454051967,9052054821,10454051967,1.1548816455184834,0
2,forward,0,4817326315,4174467875,4817326315,1.1539976972514132,0
2,forward,1,4770571072,4131277249,4770571072,1.1547448366373243,0
2,forward,2,4953052999,4317579698,4953052999,1.1471827610488268,0
2,forward,3,4777901739,4115153857,4777901739,1.1610505718692987,0
3,backward,0,10545444238,9142228268,10545444238,1.1534873040647644,0
3,backward,1,10521295731,9110320231,10521295731,1.154876608530052,0
3,backward,2,10533214811,9119461461,10533214811,1.155025969027449,0
3,backward,3,10447871429,9045900233,10447871429,1.154984154134878,0
3,forward,0,4815045925,4172512038,4815045925,1.1539920990396912,0
3,forward,1,4771744795,4132346689,4771744795,1.154730024879575,0
3,forward,2,4951879797,4317188285,4951879797,1.1470150176690754,0
3,forward,3,4779465964,4116783690,4779465964,1.1609708752999846,0
4,backward,0,10552752647,9147102062,10552752647,1.1536716848103756,0
4,backward,1,10524450909,9111218111,10524450909,1.1551090952694678,0
4,backward,2,10541196426,9126435524,10541196426,1.1550179035703008,0
4,backward,3,10459872306,9054706435,10459872306,1.1551862427663564,0
4,forward,0,4815922724,4173293349,4815922724,1.1539861498482933,0
4,forward,1,4770642069,4129743646,4770642069,1.1551908491028888,0
4,forward,2,4952034858,4316409934,4952034858,1.1472577752620843,0
4,forward,3,4779799383,4116391712,4779799383,1.1611624251079047,0
5,backward,0,10549863649,9144037737,10549863649,1.1537423567612295,0
5,backward,1,10528330370,9115028440,10528330370,1.1550518398601948,0
5,backward,2,10543597680,9128445941,10543597680,1.1550265782529214,0
5,backward,3,10464514388,9059688757,10464514388,1.1550633436402058,0
5,forward,0,4814753807,4172568442,4814753807,1.1539064904330694,0
5,forward,1,4769666239,4128766484,4769666239,1.15522790099262,0
5,forward,2,4951534275,4316286716,4951534275,1.1471745509039535,0
5,forward,3,4781189433,4118062253,4781189433,1.1610289352757874,0
6,backward,0,10549316183,9144223420,10549316183,1.1536590586716002,0
6,backward,1,10526502950,9112325295,10526502950,1.1551939388924108,0
6,backward,2,10537303345,9124480960,10537303345,1.154838657803501,0
6,backward,3,10448236355,9042858799,10448236355,1.1554129714107018,0
6,forward,0,4814298640,4171510666,4814298640,1.1540899749433842,0
6,forward,1,4767697174,4128563613,4767697174,1.1548077299784116,0
6,forward,2,4951826501,4315460037,4951826501,1.14746202225114,0
6,forward,3,4782697502,4119696743,4782697502,1.1609343600658326,0
7,backward,0,10544905817,9140382310,10544905817,1.1536613523772836,0
7,backward,1,10519008320,9107919338,10519008320,1.1549298944834374,0
7,backward,2,10531751370,9119543675,10531751370,1.154855083250643,0
7,backward,3,10447644681,9043342153,10447644681,1.155285789726992,0
7,forward,0,4815314355,4173115975,4815314355,1.1538894159297837,0
7,forward,1,4767810908,4129547510,4767810908,1.1545601295188876,0
7,forward,2,4948511759,4313256042,4948511759,1.1472798532742425,0
7,forward,3,4779408340,4116703875,4779408340,1.1609793866944098,0
8,backward,0,10571755215,9163093060,10571755215,1.1537321672688545,0
8,backward,1,10597769425,9184030341,10597769425,1.153934496240576,0
8,backward,2,10522933310,9111611900,10522933310,1.1548926167498421,0
8,backward,3,10523426534,9113857151,10523426534,1.1546622203580772,0
8,forward,0,4898764699,4252030482,4898764699,1.1521000895308258,0
8,forward,1,5100052788,4462347782,5100052788,1.1429079572355034,0
8,forward,2,4794837381,4160228935,4794837381,1.152541712467081,0
8,forward,3,4958222938,4323839474,4958222938,1.1467176262705077,0
9,backward,0,10576855885,9169135451,10576855885,1.1535281533927468,0
9,backward,1,10599945275,9188391479,10599945275,1.153623602044612,0
9,backward,2,10519738992,9110345132,10519738992,1.1547025759813991,0
9,backward,3,10519680614,9106874751,10519680614,1.1551361912433091,0
9,forward,0,4916037604,4269306794,4916037604,1.1514837984726005,0
9,forward,1,5119356203,4480635387,5119356203,1.1425513930129572,0
9,forward,2,4813414691,4161686786,4813414691,1.1566018632618933,0
9,forward,3,4974635576,4339072816,4974635576,1.1464743245737685,0
10,backward,0,10582808527,9173478223,10582808527,1.1536309641490714,0
10,backward,1,10603746193,9189871337,10603746193,1.1538514310105188,0
10,backward,2,10520490104,9110694111,10520490104,1.1547407887723782,0
10,backward,3,10528701236,9120386814,10528701236,1.1544138917264128,0
10,forward,0,4917738413,4272020717,4917738413,1.151150413065752,0
10,forward,1,5118645424,4481160721,5118645424,1.1422588348622633,0
10,forward,2,4799268734,4148440165,4799268734,1.1568851286541335,0
10,forward,3,4964254188,4330273691,4964254188,1.1464065650902526,0
11,backward,0,10584881314,9175663854,10584881314,1.1535820712727691,0
11,backward,1,10609087994,9194016502,10609087994,1.1539122201588583,0
11,backward,2,10523062785,9112217863,10523062785,1.1548300252706545,0
11,backward,3,10531926425,9124058227,10531926425,1.1543028510968751,0
11,forward,0,4916258588,4270718329,4916258588,1.1511549601893682,0
11,forward,1,5118905418,4480605335,5118905418,1.142458448195371,0
11,forward,2,4811089912,4159774986,4811089912,1.1565745570835066,0
11,forward,3,4975048129,4340234644,4975048129,1.1462624805038075,0
12,backward,0,10577524247,9167333001,10577524247,1.1538278631141874,0
12,backward,1,10605240683,9190513274,10605240683,1.1539334492886562,0
12,backward,2,10518951404,9109737436,10518951404,1.1546931487213943,0
12,backward,3,10526129706,9118941294,10526129706,1.1543148888266108,0
12,forward,0,4917510327,4269712535,4917510327,1.151719298826285,0
12,forward,1,5120039863,4482612864,5120039863,1.1421998772455224,0
12,forward,2,4812933356,4161066287,4812933356,1.1566586600738764,0
12,forward,3,4980267087,4344789354,4980267087,1.146262035100724,0
13,backward,0,10584881448,9174616864,10584881448,1.1537137304919722,0
13,backward,1,10604873547,9191093738,10604873547,1.1538206278056784,0
13,backward,2,10518718358,9108702369,10518718358,1.1547987772439203,0
13,backward,3,10529180398,9121541859,10529180398,1.154320241112649,0
13,forward,0,4917106223,4270752498,4917106223,1.151344224537172,0
13,forward,1,5121485671,4482548311,5121485671,1.1425388675526535,0
13,forward,2,4814940818,4163244165,4814940818,1.1565357752684198,0
