iteration,rank,pp_stage,pp_lane,predecessor_node_id,predicted_lane_origin_ns,predicted_backward_done_relative_ns,predicted_backward_done_ns,observed_backward_done_ns,observed_first_rs_start_ns,measured_tail_launch_lag_ns,predicted_start_ns
55,0,0,0,rank0:B3,1785477744809471652,20141979262,1785477764951450914,1785477764772970005,1785477764789544563,16574558,1785477764968025472
55,1,0,1,rank1:B3,1785477744808791856,20136730883,1785477764945522739,1785477764773209724,1785477764789733123,16523399,1785477764962046138
55,2,0,2,rank2:B3,1785477744808224865,20147162340,1785477764955387205,1785477764772950025,1785477764789367105,16417080,1785477764971804285
55,3,0,3,rank3:B3,1785477744811134701,20141561071,1785477764952695772,1785477764772885794,1785477764789484959,16599165,1785477764969294937
55,4,0,4,rank4:B3,1785477744808924105,20148503990,1785477764957428095,1785477764772393268,1785477764788715384,16322116,1785477764973750211
55,5,0,5,rank5:B3,1785477744808609781,20152511093,1785477764961120874,1785477764772212091,1785477764788594100,16382009,1785477764977502883
55,6,0,6,rank6:B3,1785477744808565246,20140735825,1785477764949301071,1785477764772600357,1785477764789040579,16440222,1785477764965741293
55,7,0,7,rank7:B3,1785477744808446696,20136763830,1785477764945210526,1785477764772602594,1785477764788968258,16365664,1785477764961576190
55,8,0,8,rank8:B3,1785477744808618037,20260762408,1785477765069380445,1785477764894733458,1785477764911105030,16371572,1785477765085752017
55,9,0,9,rank9:B3,1785477744808590481,20281253904,1785477765089844385,1785477764893971529,1785477764910654349,16682820,1785477765106527205
55,10,0,10,rank10:B3,1785477744809248162,20281933375,1785477765091181537,1785477764893323371,1785477764909791349,16467978,1785477765107649515
55,11,0,11,rank11:B3,1785477744809005006,20284544578,1785477765093549584,1785477764893535045,1785477764910284837,16749792,1785477765110299376
55,12,0,12,rank12:B3,1785477744809228982,20283209763,1785477765092438745,1785477764893122814,1785477764909802355,16679541,1785477765109118286
55,13,0,13,rank13:B3,1785477744808336642,20282896486,1785477765091233128,1785477764892913799,1785477764909363300,16449501,1785477765107682629
55,14,0,14,rank14:B3,1785477744808877140,20272988145,1785477765081865285,1785477764894766641,1785477764911497271,16730630,1785477765098595915
55,15,0,15,rank15:B3,1785477744809154297,20275429970,1785477765084584267,1785477764894903349,1785477764911530568,16627219,1785477765101211486
55,16,1,0,rank16:B3,1785477744809471652,19575240632,1785477764384712284,1785477763429042068,1785477763554181538,125139470,1785477764509851754
55,17,1,1,rank17:B3,1785477744808791856,19569556919,1785477764378348775,1785477763429399931,1785477763553956732,124556801,1785477764502905576
55,18,1,2,rank18:B3,1785477744808224865,19580459405,1785477764388684270,1785477763428994267,1785477763553952293,124958026,1785477764513642296
55,19,1,3,rank19:B3,1785477744811134701,19574964601,1785477764386099302,1785477763428769253,1785477763554588307,125819054,1785477764511918356
55,20,1,4,rank20:B3,1785477744808924105,19581824381,1785477764390748486,1785477763429317632,1785477763552431370,123113738,1785477764513862224
55,21,1,5,rank21:B3,1785477744808609781,19586104982,1785477764394714763,1785477763428976253,1785477763552720635,123744382,1785477764518459145
55,22,1,6,rank22:B3,1785477744808565246,19575361560,1785477764383926806,1785477763428831093,1785477763554431598,125600505,1785477764509527311
55,23,1,7,rank23:B3,1785477744808446696,19571521112,1785477764379967808,1785477763428713759,1785477763554226171,125512412,1785477764505480220
55,24,1,8,rank24:B3,1785477744808618037,19691772810,1785477764500390847,1785477763562135045,1785477763668506713,106371668,1785477764606762515
55,25,1,9,rank25:B3,1785477744808590481,19713307919,1785477764521898400,1785477763562991348,1785477763669016426,106025078,1785477764627923478
55,26,1,10,rank26:B3,1785477744809248162,19713031169,1785477764522279331,1785477763561968364,1785477763668759045,106790681,1785477764629070012
55,27,1,11,rank27:B3,1785477744809005006,19715010360,1785477764524015366,1785477763562700415,1785477763668845457,106145042,1785477764630160408
