iteration,pp_stage,behavior,kind,round,group_key,group_size,observed_ranks,actual_first_start_ns,actual_ready_ns,actual_end_ns,predicted_first_start_ns,predicted_ready_ns,predicted_end_ns,baseline_service_ns,predicted_service_ns,fct_group_id,fct_request_id,fct_source,oisa_collective_elapsed_ns,oisa_tail_after_last_release_ns,predicted_collective_elapsed_ns,completion_model,dependency_lag_ns_min,dependency_lag_ns_max,payload_bytes,actual_arrival_skew_ns,predicted_arrival_skew_ns,actual_group_fct_ns,predicted_group_fct_ns
55,0,dp_param_allgather,dp_ag0,0,target_pp0:dp_param_allgather:pg=1,16,16,1785477765026058723,1785477765026886772,1785477765038667292,1785477765236886783,1785477765237714832,1785477765251082701,11780520,13367869,iter55:pp0:dp_ag0:round0:target_pp0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:target_pp0:dp_param_allgather:pg=1:rel-ca97c78e5f45,trace_reference,12608569,11780520,14195918,trace_group_end_lag_clamped,29382466,30210515,169061898.0,828049,828049,12608569,14195918
55,0,dp_param_allgather,dp_ag1,1,target_pp0:dp_param_allgather:pg=1,16,16,1785477765074595964,1785477765077909588,1785477765089457742,1785477765289082035,1785477765292779382,1785477765305883575,11548154,13104193,iter55:pp0:dp_ag1:round1:target_pp0:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:target_pp0:dp_param_allgather:pg=1:rel-332644e42530,trace_reference,15245501,11548154,16801540,trace_group_end_lag_clamped,22343911,23803866,169061898.0,3313624,3697347,14861778,16801540
55,0,dp_grad_reduce_scatter,dp_rs,0,target_pp0:dp_grad_reduce_scatter:pg=1,16,16,1785477764788594100,1785477764911530568,1785477764935213996,1785477764961576190,1785477765110299376,1785477765137173993,23683428,26874617,iter55:pp0:dp_rs:round0:target_pp0:dp_grad_reduce_scatter:pg=1,iter55:pp0:dp_rs:round0:target_pp0:dp_grad_reduce_scatter:pg=1:rel-0dbb065b7aca,trace_reference,172406614,23683428,175597803,trace_group_end_lag_clamped,0,0,5409980731.0,122936468,148723186,146619896,175597803
55,0,expert_dp_param_allgather,edp_ag0,0,target_pp0:expert_dp_param_allgather:pg=1043,2,2,1785477765038663018,1785477765038677050,1785477765052222602,1785477765251078427,1785477765251092459,1785477765266762803,13545552,15670344,iter55:pp0:edp_ag0:round0:target_pp0:expert_dp_param_allgather:pg=1043,iter55:pp0:edp_ag0:round0:target_pp0:expert_dp_param_allgather:pg=1043:rel-5a4de837dcfb,trace_reference,13559584,13545552,15684376,trace_group_end_lag_clamped,10520,17880,545876329.0,14032,14032,13559584,15684376
55,0,expert_dp_param_allgather,edp_ag0,0,target_pp0:expert_dp_param_allgather:pg=1045,2,2,1785477765038655294,1785477765038698088,1785477765053385486,1785477765251070703,1785477765251113497,1785477765268104801,14687398,16991304,iter55:pp0:edp_ag0:round0:target_pp0:expert_dp_param_allgather:pg=1045,iter55:pp0:edp_ag0:round0:target_pp0:expert_dp_param_allgather:pg=1045:rel-2ba71f72ccf8,trace_reference,14730192,14687398,17034098,trace_group_end_lag_clamped,10680,35400,545876329.0,42794,42794,14730192,17034098
55,0,expert_dp_param_allgather,edp_ag0,0,target_pp0:expert_dp_param_allgather:pg=1047,2,2,1785477765038655535,1785477765038660266,1785477765052383541,1785477765251070944,1785477765251075675,1785477765266951621,13723275,15875946,iter55:pp0:edp_ag0:round0:target_pp0:expert_dp_param_allgather:pg=1047,iter55:pp0:edp_ag0:round0:target_pp0:expert_dp_param_allgather:pg=1047:rel-2d4614edfbaf,trace_reference,13728006,13723275,15880677,trace_group_end_lag_clamped,11080,11120,545876329.0,4731,4731,13728006,15880677
55,0,expert_dp_param_allgather,edp_ag0,0,target_pp0:expert_dp_param_allgather:pg=1049,2,2,1785477765038656883,1785477765038678213,1785477765051878685,1785477765251072292,1785477765251093622,1785477765266364756,13200472,15271134,iter55:pp0:edp_ag0:round0:target_pp0:expert_dp_param_allgather:pg=1049,iter55:pp0:edp_ag0:round0:target_pp0:expert_dp_param_allgather:pg=1049:rel-4a390925a6ed,trace_reference,13221802,13200472,15292464,trace_group_end_lag_clamped,10800,10921,545876329.0,21330,21330,13221802,15292464
55,0,expert_dp_param_allgather,edp_ag0,0,target_pp0:expert_dp_param_allgather:pg=1051,2,2,1785477765038664498,1785477765038710179,1785477765054356884,1785477765251079907,1785477765251125588,1785477765269226678,15646705,18101090,iter55:pp0:edp_ag0:round0:target_pp0:expert_dp_param_allgather:pg=1051,iter55:pp0:edp_ag0:round0:target_pp0:expert_dp_param_allgather:pg=1051:rel-e64473bf8f18,trace_reference,15692386,15646705,18146771,trace_group_end_lag_clamped,14040,60440,545876329.0,45681,45681,15692386,18146771
55,0,expert_dp_param_allgather,edp_ag0,0,target_pp0:expert_dp_param_allgather:pg=1053,2,2,1785477765038616888,1785477765038675158,1785477765052452401,1785477765251032297,1785477765251090567,1785477765267028946,13777243,15938379,iter55:pp0:edp_ag0:round0:target_pp0:expert_dp_param_allgather:pg=1053,iter55:pp0:edp_ag0:round0:target_pp0:expert_dp_param_allgather:pg=1053:rel-5b5257db7b88,trace_reference,13835513,13777243,15996649,trace_group_end_lag_clamped,11120,11680,545876329.0,58270,58270,13835513,15996649
55,0,expert_dp_param_allgather,edp_ag0,0,target_pp0:expert_dp_param_allgather:pg=1055,2,2,1785477765038653837,1785477765038667583,1785477765053241637,1785477765251069246,1785477765251082992,1785477765267943172,14574054,16860180,iter55:pp0:edp_ag0:round0:target_pp0:expert_dp_param_allgather:pg=1055,iter55:pp0:edp_ag0:round0:target_pp0:expert_dp_param_allgather:pg=1055:rel-9907cd20fb9f,trace_reference,14587800,14574054,16873926,trace_group_end_lag_clamped,10880,16200,545876329.0,13746,13746,14587800,16873926
