scenario_id,omitted_source_stages,retained_source_stages,target_world_size,target_pp_size,target_lanes,predicted_profiler_step_ms,predicted_training_log_ms,predicted_mfu_pct,profiler_step_delta_vs_256_ms,profiler_step_delta_vs_256_pct,mfu_relative_delta_vs_256_pct,pp_front_predicted_ms_p50,first_rs_offset_ms,last_ag_offset_ms,compute_route_scale_min,compute_route_scale_p50,compute_route_scale_max,clamped_negative_dependency_lags,fallback_dependencies,dp_ag0_payload_service_scale,dp_ag1_payload_service_scale,dp_rs_payload_service_scale,edp_ag0_payload_service_scale,edp_ag1_payload_service_scale,edp_rs_payload_service_scale
omit_00_01,"0,1","2,3,4,5,6,7,8,9,10,11,12,13,14,15",224,14,16,23109.080039,24411.084614,3.0857426208309375,1492.844212,6.9061247478404475,-30.039448684198643,20109.1350215,9868.25512,23079.541239,1.1044526970169488,1.1179921960910992,1.1213163737796,0,0,1.1751771408700629,1.1751771408700629,1.1751771408700629,1.0925925925925926,1.0925925925925926,1.0925925925925926
omit_00_02,"0,2","1,3,4,5,6,7,8,9,10,11,12,13,14,15",224,14,16,22285.790768,23587.795343,3.193444877691135,669.5549409999985,3.09746315851942,-27.59760236265857,20109.466524,9864.526639,22256.251968,1.1034126588459938,1.1180912564484289,1.14377230782464,0,0,1.1751771408700629,1.1751771408700629,1.1751771408700629,1.0925925925925926,1.0925925925925926,1.0925925925925926
omit_00_03,"0,3","1,2,4,5,6,7,8,9,10,11,12,13,14,15",224,14,16,22280.253306,23582.257881,3.19419474565325,664.0174789999983,3.0718460157184158,-27.580601211723465,20099.9115425,9867.482442,22250.714506,1.1055848624111684,1.1168711606066422,1.1306581055579688,0,0,1.1751771408700629,1.1751771408700629,1.1751771408700629,1.0925925925925926,1.0925925925925926,1.0925925925925926
omit_00_04,"0,4","1,2,3,5,6,7,8,9,10,11,12,13,14,15",224,14,16,22276.796747,23578.801322,3.194663001967261,660.5609199999999,3.055855447204725,-27.569984814340167,20100.289795,9859.858913,22247.257947,1.102398428374741,1.1160579594426234,1.1180253110544107,0,0,1.1751771408700629,1.1751771408700629,1.1751771408700629,1.0925925925925926,1.0925925925925926,1.0925925925925926
omit_00_05,"0,5","1,2,3,4,6,7,8,9,10,11,12,13,14,15",224,14,16,22272.46527,23574.469845,3.1952499763258264,656.2294430000002,3.0358173747361272,-27.55667681857401,20095.961122,9861.286715,22242.92647,1.1053606618987981,1.1160830281824072,1.1406188029743038,0,0,1.1751771408700629,1.1751771408700629,1.1751771408700629,1.0925925925925926,1.0925925925925926,1.0925925925925926
omit_00_06,"0,6","1,2,3,4,5,7,8,9,10,11,12,13,14,15",224,14,16,22275.296387,23577.300962,3.1948662968477635,659.0605599999981,3.048914553276627,-27.565375673634907,20099.37704,9860.861774,22245.757587,1.101982648160306,1.1149325726446713,1.1203046204689318,0,0,1.1751771408700629,1.1751771408700629,1.1751771408700629,1.0925925925925926,1.0925925925925926,1.0925925925925926
omit_00_07,"0,7","1,2,3,4,5,6,8,9,10,11,12,13,14,15",224,14,16,22272.604262,23574.608837,3.195231137659709,656.3684350000003,3.036460372902461,-27.557103932442395,20097.796788,9861.244414,22243.065462,1.1007980764704577,1.1154046598441494,1.1164612379825813,0,0,1.1751771408700629,1.1751771408700629,1.1751771408700629,1.0925925925925926,1.0925925925925926,1.0925925925925926
omit_00_08,"0,8","1,2,3,4,5,6,7,9,10,11,12,13,14,15",224,14,16,22275.2399,23577.244475,3.1948739511948476,659.0040730000001,3.0486532358092733,-27.565202132802835,20095.5154825,9856.738544,22245.7011,1.1021253264564326,1.1128074626801927,1.1203329375049471,0,0,1.1751771408700629,1.1751771408700629,1.1751771408700629,1.0925925925925926,1.0925925925925926,1.0925925925925926
omit_00_09,"0,9","1,2,3,4,5,6,7,8,10,11,12,13,14,15",224,14,16,22276.168256,23578.172831,3.194748157715298,659.9324290000004,3.0529479520930547,-27.56805414681134,20099.0760415,9862.139818,22246.629456,1.1023836830317004,1.114467948631323,1.1198958050948942,0,0,1.1751771408700629,1.1751771408700629,1.1751771408700629,1.0925925925925926,1.0925925925925926,1.0925925925925926
omit_00_10,"0,10","1,2,3,4,5,6,7,8,9,11,12,13,14,15",224,14,16,22291.407427,23593.412002,3.192684644668807,675.1715999999979,3.123446678707431,-27.61483851223614,20104.3717215,9855.689039,22261.868627,1.1006682673935058,1.1151800629211919,1.145766178107272,0,0,1.1751771408700629,1.1751771408700629,1.1751771408700629,1.0925925925925926,1.0925925925925926,1.0925925925925926
omit_00_11,"0,11","1,2,3,4,5,6,7,8,9,10,12,13,14,15",224,14,16,22273.048513,23575.053088,3.195170926358261,656.8126860000011,3.0385155457066215,-27.55846905467142,20094.727853,9852.940976,22243.509713,1.1001316949883748,1.1125830179300598,1.1161584383589982,0,0,1.1751771408700629,1.1751771408700629,1.1751771408700629,1.0925925925925926,1.0925925925925926,1.0925925925925926
omit_00_12,"0,12","1,2,3,4,5,6,7,8,9,10,11,13,14,15",224,14,16,22268.948889,23570.953464,3.195726652686168,652.7130619999989,3.019550060537002,-27.545869520277776,20092.6513165,9854.564719,22239.410089,1.1000061886994696,1.112171233626536,1.1158976007482684,0,0,1.1751771408700629,1.1751771408700629,1.1751771408700629,1.0925925925925926,1.0925925925925926,1.0925925925925926
omit_00_13,"0,13","1,2,3,4,5,6,7,8,9,10,11,12,14,15",224,14,16,22271.43288,23573.437455,3.195389911120204,655.1970529999999,3.031041381319577,-27.55350418995072,20087.9631275,9843.428292,22241.89408,1.1045384336205994,1.1156094263448622,1.13817416473729,0,0,1.1751771408700629,1.1751771408700629,1.1751771408700629,1.0925925925925926,1.0925925925925926,1.0925925925925926
omit_00_14,"0,14","1,2,3,4,5,6,7,8,9,10,11,12,13,15",224,14,16,22238.140261,23540.144836,3.1999091228586414,621.904434,2.8770246539557176,-27.451043750573966,20072.247757,9834.63798,22208.601515,1.1011916420048249,1.1140123361736505,1.1213715638509612,0,0,1.1751771408700629,1.1751771408700629,1.1751771408700629,1.0925925925925926,1.0925925925925926,1.0925925925925926
omit_00_15,"0,15","1,2,3,4,5,6,7,8,9,10,11,12,13,14",224,14,16,22470.307251,23772.311826,3.168657922943154,854.0714239999979,3.951064518519032,-28.15957697710052,20268.406739,10439.512499,22440.768451,1.0730442125093427,1.0794704099686183,1.0817466975173695,0,0,1.2030723890116737,1.2030723890116737,1.2030723890116737,1.0535714285714286,1.0535714285714286,1.0535714285714286
omit_01_02,"1,2","0,3,4,5,6,7,8,9,10,11,12,13,14,15",224,14,16,21885.628513,23187.633088,3.2485559836252884,269.39268599999923,1.2462516053026729,-26.348112749121498,20218.998786,9981.951109,21856.089713,1.1450044982450536,1.1576963171077301,1.1894121245592923,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_01_03,"1,3","0,2,4,5,6,7,8,9,10,11,12,13,14,15",224,14,16,21880.085812,23182.090387,3.249332694189281,263.84998500000074,1.220610226089569,-26.330503017544103,20209.095879,9985.154807,21850.547012,1.1483712181283292,1.156736416622514,1.1751499079132002,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_01_04,"1,4","0,2,3,5,6,7,8,9,10,11,12,13,14,15",224,14,16,21876.003858,23178.008433,3.249904944675199,259.7680309999996,1.2017264850318288,-26.31752884425588,20209.1070185,9976.950119,21846.465058,1.1439580581035242,1.155895208889274,1.1592430094407509,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_01_05,"1,5","0,2,3,4,6,7,8,9,10,11,12,13,14,15",224,14,16,21871.810091,23173.814666,3.250493080219844,255.57426399999895,1.1823254800022553,-26.304194521855152,20205.118877,9978.467162,21842.271291,1.1467473771664896,1.1551993080102252,1.1851699795740733,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_01_06,"1,6","0,2,3,4,5,7,8,9,10,11,12,13,14,15",224,14,16,21874.369186,23176.373761,3.250134166410682,258.1333589999995,1.1941642433303645,-26.312331884898434,20208.302526,9978.020181,21844.830386,1.1435118351843803,1.155610749776269,1.1626787804638663,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_01_07,"1,7","0,2,3,4,5,6,8,9,10,11,12,13,14,15",224,14,16,21871.512329,23173.516904,3.2505348465742805,255.27650200000062,1.1809479876285556,-26.303247587019086,20206.6367505,9978.492238,21841.973529,1.1421998772455224,1.1540752098433016,1.1611624251079047,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_01_08,"1,8","0,2,3,4,5,6,7,9,10,11,12,13,14,15",224,14,16,21875.694905,23177.69948,3.249948265104097,259.45907799999986,1.2002972213872587,-26.31654667514414,20205.355511,9973.607551,21846.156105,1.143616546865241,1.1548003164695475,1.1599165304148147,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_01_09,"1,9","0,2,3,4,5,6,7,8,10,11,12,13,14,15",224,14,16,21876.696306,23178.700881,3.2498078559647183,260.4604790000012,1.2049298549688725,-26.31973005820869,20209.041877,9979.402595,21847.157506,1.143785309015656,1.1565263727725568,1.159967400781627,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
