source_pp_stage,rank_count,compute_total_ms_all_ranks,backward_rank_total_ms_p50,backward_route_ms_p50,forward_rank_total_ms_p50,forward_route_ms_p50
0,16,36528.352398,1639.0289265000001,409.03110749999996,638.2100250000001,158.536001
1,16,67381.518541,2903.0485225,725.533498,1300.1823885,325.6949585
2,16,67862.234012,2856.4489590000003,708.495554,1386.111143,322.955737
3,16,66923.171153,2832.1495895,706.740098,1343.665041,329.85158
4,16,65191.38754,2794.3125554999997,698.8532660000001,1282.147698,317.5757085
5,16,66162.073274,2783.795329,689.425966,1352.697934,314.8352645
6,16,65179.363018,2798.4307295,696.5535,1271.8579795,316.306836
7,16,64007.190812,2734.8235329999998,684.2252550000001,1266.0975125,311.6345525
8,16,64815.452777,2800.7921605,693.519675,1249.479415,311.37114099999997
9,16,65551.318023,2819.866905,702.916391,1275.6617145,318.76684450000005
10,16,65135.527715,2731.246677,683.6154735,1339.4110995,316.679439
11,16,63346.085035,2720.084001,678.5838155,1238.9154545000001,308.9565005
12,16,63359.829751,2722.0424435,679.5565945000001,1238.5865844999998,308.37782649999997
13,16,65208.40704,2752.154498,687.505683,1325.267341,314.4297775
14,16,64611.901065,2773.4088345,688.4204185,1260.9306735,314.1963225
15,16,36036.394937,1482.0646655,367.389481,769.6384654999999,192.9037495
