iteration,step_start_ns,step_end_ns,profiler_step_ns,training_log_ns,outer_residual_ns,reported_tflops_per_gpu,rank_step_start_spread_ns,rank_step_end_spread_ns
5,1785476658520816951,1785476681299816786,22778999835,23897800000,1118800165,21.1,20816553,20274178
10,1785476772242311578,1785476793366319857,21124008279,22181000000,1056991721,22.8,25163189,26577423
15,1785476883083871181,1785476904316346753,21232475572,22322300000,1089824428,22.6,14871902,21041556
20,1785476991302690336,1785477012626755744,21324065408,22477200000,1153134592,22.5,12502647,7335736
25,1785477098725413012,1785477119866907943,21141494931,22339200000,1197705069,22.6,17437569,12227924
30,1785477204895320768,1785477226134035433,21238714665,22524600000,1285885335,22.4,38702005,16001221
35,1785477311749123437,1785477333078665256,21329541819,22519500000,1189958181,22.4,23325467,29127434
40,1785477418627406418,1785477439942610003,21315203585,22643500000,1328296415,22.3,14865059,12254418
45,1785477526469297062,1785477548124639729,21655342667,22982200000,1326857333,22.0,16091531,8140769
50,1785477634661715302,1785477656210457424,21548742122,23005500000,1456757878,22.0,9854757,20939870
55,1785477743653151360,1785477765291246785,21638095425,22940100000,1302004575,22.0,13514432,33504489
60,1785477854361638325,1785477876349011357,21987373032,23311800000,1324426968,21.7,12467530,12740904
65,1785477966175320138,1785477988453401399,22278081261,23628500000,1350418739,21.4,14050570,16749153
70,1785478079504602350,1785478102358648960,22854046610,24226500000,1372453390,20.9,28085656,11491616
75,1785478194885349408,1785478217629503684,22744154276,24220200000,1476045724,20.9,21237700,22339925
80,1785478310930019652,1785478334079748971,23149729319,24512100000,1362370681,20.6,31087510,21864742
85,1785478427447772338,1785478451185622221,23737849883,25118500000,1380650117,20.1,31367449,9535470
90,1785478546629306094,1785478570487606658,23858300564,25262200000,1403899436,20.0,23546903,18463991
95,1785478666203008075,1785478690007029524,23804021449,25170300000,1366278551,20.1,18907834,8491057
100,1785478785846755594,1785478809792066309,23945310715,25577300000,1631989285,19.8,13124772,7456906
