iteration,pp_stage,rank,behavior,kind,round,group_key,group_size,start_ns,end_ns,group_first_start_ns,group_ready_ns,group_end_ns,arrival_wait_ns,service_ns,completion_advance_ns,observed_ranks,payload_bytes
5,0,0,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=1,16,1785476680988806185,1785476681001498579,1785476680988478814,1785476680989343158,1785476681001510403,536973,12167245,11824,16,148986880
5,0,1,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=1,16,1785476680989047325,1785476681001501935,1785476680988478814,1785476680989343158,1785476681001510403,295833,12167245,8468,16,148986880
5,0,2,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=1,16,1785476680988727384,1785476681001495228,1785476680988478814,1785476680989343158,1785476681001510403,615774,12167245,15175,16,148986880
5,0,3,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=1,16,1785476680988739002,1785476681001499817,1785476680988478814,1785476680989343158,1785476681001510403,604156,12167245,10586,16,148986880
5,0,4,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=1,16,1785476680988825963,1785476681001465352,1785476680988478814,1785476680989343158,1785476681001510403,517195,12167245,45051,16,148986880
5,0,5,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=1,16,1785476680988755101,1785476681001498021,1785476680988478814,1785476680989343158,1785476681001510403,588057,12167245,12382,16,148986880
5,0,6,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=1,16,1785476680988832637,1785476681001504654,1785476680988478814,1785476680989343158,1785476681001510403,510521,12167245,5749,16,148986880
5,0,7,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=1,16,1785476680988779193,1785476681001505704,1785476680988478814,1785476680989343158,1785476681001510403,563965,12167245,4699,16,148986880
5,0,8,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=1,16,1785476680988660663,1785476681001510372,1785476680988478814,1785476680989343158,1785476681001510403,682495,12167245,31,16,148986880
5,0,9,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=1,16,1785476680988633114,1785476681001509141,1785476680988478814,1785476680989343158,1785476681001510403,710044,12167245,1262,16,148986880
5,0,10,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=1,16,1785476680989343158,1785476681001508957,1785476680988478814,1785476680989343158,1785476681001510403,0,12167245,1446,16,148986880
5,0,11,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=1,16,1785476680988478814,1785476681001499499,1785476680988478814,1785476680989343158,1785476681001510403,864344,12167245,10904,16,148986880
5,0,12,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=1,16,1785476680988789072,1785476681001510403,1785476680988478814,1785476680989343158,1785476681001510403,554086,12167245,0,16,148986880
5,0,13,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=1,16,1785476680988858847,1785476681001509722,1785476680988478814,1785476680989343158,1785476681001510403,484311,12167245,681,16,148986880
5,0,14,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=1,16,1785476680988989404,1785476681001498457,1785476680988478814,1785476680989343158,1785476681001510403,353754,12167245,11946,16,148986880
5,0,15,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=1,16,1785476680989241920,1785476681001499724,1785476680988478814,1785476680989343158,1785476681001510403,101238,12167245,10679,16,148986880
5,0,0,dp_param_allgather,dp_ag1,1,dp_param_allgather:pg=1,16,1785476681037520197,1785476681052485160,1785476681037520197,1785476681040964592,1785476681052555992,3444395,11591400,70832,16,148986880
