iteration,rank,pp_stage,pp_lane,api_name,occurrence,observed_start_ns,observed_end_ns,duration_ns
55,0,0,0,recv_forward,0,1785477744809420384,1785477744809453393,33009
55,0,0,0,send_forward,0,1785477744971088158,1785477744976257266,5169108
55,0,0,0,recv_forward,1,1785477744976363051,1785477744976390823,27772
55,0,0,0,send_forward,1,1785477745135033130,1785477745313106498,178073368
55,0,0,0,recv_forward,2,1785477745313227920,1785477745313256188,28268
55,0,0,0,send_forward,2,1785477745470969541,1785477745649337970,178368429
55,0,0,0,recv_forward,3,1785477745649440512,1785477745649468096,27584
55,0,0,0,send_forward,3,1785477745807254536,1785477745984253836,176999300
55,0,0,0,recv_backward,0,1785477745984363303,1785477761329578153,15345214850
55,0,0,0,send_backward,0,1785477761743129098,1785477761743163766,34668
55,0,0,0,recv_backward,1,1785477761743236800,1785477762436704494,693467694
55,0,0,0,send_backward,1,1785477762845834993,1785477762845863787,28794
55,0,0,0,recv_backward,2,1785477762845929324,1785477763540512026,694582702
55,0,0,0,send_backward,2,1785477763949665925,1785477763949693330,27405
55,0,0,0,recv_backward,3,1785477763949764766,1785477764367313389,417548623
55,0,0,0,send_backward,3,1785477764773002702,1785477764773029425,26723
55,16,1,0,recv_forward,0,1785477744809567815,1785477744976338175,166770360
55,16,1,0,send_forward,0,1785477745302131964,1785477745307963256,5831292
55,16,1,0,recv_forward,1,1785477745308086200,1785477745313127089,5040889
55,16,1,0,send_forward,1,1785477745639018428,1785477745644083884,5065456
55,16,1,0,recv_forward,2,1785477745644283348,1785477745649404497,5121149
55,16,1,0,send_forward,2,1785477745974064451,1785477745979230926,5166475
55,16,1,0,recv_forward,3,1785477745979364558,1785477745984315492,4950934
55,16,1,0,send_forward,3,1785477746306874818,1785477746452702441,145827623
55,16,1,0,recv_backward,0,1785477746452860058,1785477760506777314,14053917256
55,16,1,0,send_backward,0,1785477761230358956,1785477761328385936,98026980
55,16,1,0,recv_backward,1,1785477761328483714,1785477761613054589,284570875
55,16,1,0,send_backward,1,1785477762339845878,1785477762436746258,96900380
55,16,1,0,recv_backward,2,1785477762436883385,1785477762712878030,275994645
55,16,1,0,send_backward,2,1785477763442667181,1785477763540537316,97870135
55,16,1,0,recv_backward,3,1785477763540649582,1785477763545893798,5244216
55,16,1,0,send_backward,3,1785477764269614322,1785477764367313325,97699003
55,32,2,0,recv_forward,0,1785477744812592004,1785477745308121698,495529694
55,32,2,0,send_forward,0,1785477745628670647,1785477745633794704,5124057
55,32,2,0,recv_forward,1,1785477745633911108,1785477745644101938,10190830
55,32,2,0,send_forward,1,1785477745967045257,1785477745972166275,5121018
55,32,2,0,recv_forward,2,1785477745972363954,1785477745979262900,6898946
55,32,2,0,send_forward,2,1785477746442371872,1785477746447487767,5115895
55,32,2,0,recv_forward,3,1785477746447602514,1785477746452699164,5096650
55,32,2,0,send_forward,3,1785477746770001154,1785477746775104108,5102954
55,32,2,0,recv_backward,0,1785477746775231434,1785477759692369375,12917137941
55,32,2,0,send_backward,0,1785477760406456405,1785477760505650812,99194407
55,32,2,0,recv_backward,1,1785477760505770752,1785477760805749593,299978841
55,32,2,0,send_backward,1,1785477761513964766,1785477761612970497,99005731
55,32,2,0,recv_backward,2,1785477761613055370,1785477761905194174,292138804
55,32,2,0,send_backward,2,1785477762613590474,1785477762712762552,99172078
55,32,2,0,recv_backward,3,1785477762712862452,1785477762726999098,14136646
55,32,2,0,send_backward,3,1785477763429111541,1785477763545911495,116799954
55,48,3,0,recv_forward,0,1785477744808648984,1785477745633816122,825167138
55,48,3,0,send_forward,0,1785477745951212572,1785477745956206394,4993822
55,48,3,0,recv_forward,1,1785477745956328422,1785477745972146221,15817799
55,48,3,0,send_forward,1,1785477746286402017,1785477746301966509,15564492
55,48,3,0,recv_forward,2,1785477746302129282,1785477746447478540,145349258
55,48,3,0,send_forward,2,1785477746762848529,1785477746767808842,4960313
55,48,3,0,recv_forward,3,1785477746767925248,1785477746775078901,7153653
55,48,3,0,send_forward,3,1785477747109150626,1785477747114161685,5011059
55,48,3,0,recv_backward,0,1785477747114270544,1785477758883109227,11768838683
55,48,3,0,send_backward,0,1785477759594192133,1785477759691180549,96988416
55,48,3,0,recv_backward,1,1785477759691290881,1785477760003328429,312037548
55,48,3,0,send_backward,1,1785477760707537004,1785477760805573791,98036787
55,48,3,0,recv_backward,2,1785477760805653582,1785477761085421541,279767959
55,48,3,0,send_backward,2,1785477761807963733,1785477761905133434,97169701
55,48,3,0,recv_backward,3,1785477761905231573,1785477761910371107,5139534
55,48,3,0,send_backward,3,1785477762629054515,1785477762726978026,97923511
55,64,4,0,recv_forward,0,1785477744809771784,1785477745956487917,1146716133
55,64,4,0,send_forward,0,1785477746291972711,1785477746297013572,5040861
55,64,4,0,recv_forward,1,1785477746297129294,1785477746302074597,4945303
55,64,4,0,send_forward,1,1785477746619441189,1785477746624442672,5001483
55,64,4,0,recv_forward,2,1785477746624618584,1785477746768006054,143387470
55,64,4,0,send_forward,2,1785477747083896405,1785477747088932181,5035776
55,64,4,0,recv_forward,3,1785477747089044736,1785477747114215981,25171245
55,64,4,0,send_forward,3,1785477747427755371,1785477747452088058,24332687
55,64,4,0,recv_backward,0,1785477747452209352,1785477758086626026,10634416674
55,64,4,0,send_backward,0,1785477758785191994,1785477758882808604,97616610
55,64,4,0,recv_backward,1,1785477758882874551,1785477759205706511,322831960
55,64,4,0,send_backward,1,1785477759904079308,1785477760003316786,99237478
55,64,4,0,recv_backward,2,1785477760003415537,1785477760291342294,287926757
55,64,4,0,send_backward,2,1785477760985475098,1785477761085412675,99937577
55,64,4,0,recv_backward,3,1785477761085504322,1785477761091286333,5782011
55,64,4,0,send_backward,3,1785477761784006275,1785477761910454074,126447799
55,80,5,0,recv_forward,0,1785477744808629313,1785477746297314806,1488685493
55,80,5,0,send_forward,0,1785477746612469261,1785477746617630694,5161433
55,80,5,0,recv_forward,1,1785477746617750023,1785477746624439835,6689812
55,80,5,0,send_forward,1,1785477746937565099,1785477746946251005,8685906
55,80,5,0,recv_forward,2,1785477746946434836,1785477747089026612,142591776
55,80,5,0,send_forward,2,1785477747441698379,1785477747446971316,5272937
55,80,5,0,recv_forward,3,1785477747447107095,1785477747452086836,4979741
55,80,5,0,send_forward,3,1785477747764310822,1785477747773090649,8779827
55,80,5,0,recv_backward,0,1785477747773214568,1785477757279465344,9506250776
55,80,5,0,send_backward,0,1785477757987491701,1785477758085613669,98121968
55,80,5,0,recv_backward,1,1785477758085686153,1785477758402849174,317163021
55,80,5,0,send_backward,1,1785477759107083112,1785477759205658145,98575033
55,80,5,0,recv_backward,2,1785477759205718651,1785477759481399289,275680638
55,80,5,0,send_backward,2,1785477760192564610,1785477760291273918,98709308
55,80,5,0,recv_backward,3,1785477760291336735,1785477760297165673,5828938
55,80,5,0,send_backward,3,1785477760982362511,1785477761091227046,108864535
55,96,6,0,recv_forward,0,1785477744809500876,1785477746617917415,1808416539
55,96,6,0,send_forward,0,1785477746935973069,1785477746941010861,5037792
55,96,6,0,recv_forward,1,1785477746941140799,1785477746946282452,5141653
55,96,6,0,send_forward,1,1785477747263174981,1785477747268833686,5658705
55,96,6,0,recv_forward,2,1785477747269016719,1785477747447008809,177992090
55,96,6,0,send_forward,2,1785477747762877536,1785477747767851250,4973714
55,96,6,0,recv_forward,3,1785477747767995448,1785477747773107969,5112521
55,96,6,0,send_forward,3,1785477748088746041,1785477748093740636,4994595
55,96,6,0,recv_backward,0,1785477748093865755,1785477756477995944,8384130189
55,96,6,0,send_backward,0,1785477757180057499,1785477757279125594,99068095
55,96,6,0,recv_backward,1,1785477757279227088,1785477757583329667,304102579
55,96,6,0,send_backward,1,1785477758303691756,1785477758402809903,99118147
55,96,6,0,recv_backward,2,1785477758402895154,1785477758687002365,284107211
55,96,6,0,send_backward,2,1785477759381687375,1785477759481275945,99588570
55,96,6,0,recv_backward,3,1785477759481352575,1785477759486562523,5209948
55,96,6,0,send_backward,3,1785477760175952850,1785477760297070846,121117996
55,112,7,0,recv_forward,0,1785477744809280225,1785477746941478574,2132198349
55,112,7,0,send_forward,0,1785477747258598273,1785477747263750750,5152477
55,112,7,0,recv_forward,1,1785477747263891186,1785477747268907655,5016469
55,112,7,0,send_forward,1,1785477747581149983,1785477747587673550,6523567
55,112,7,0,recv_forward,2,1785477747587869283,1785477747767944535,180075252
55,112,7,0,send_forward,2,1785477748078994477,1785477748084137253,5142776
55,112,7,0,recv_forward,3,1785477748084267083,1785477748093812716,9545633
55,112,7,0,send_forward,3,1785477748434481368,1785477748439576341,5094973
55,112,7,0,recv_backward,0,1785477748439701681,1785477755698151706,7258450025
55,112,7,0,send_backward,0,1785477756378343418,1785477756477458034,99114616
55,112,7,0,recv_backward,1,1785477756477543810,1785477756800444083,322900273
55,112,7,0,send_backward,1,1785477757484758106,1785477757583233799,98475693
55,112,7,0,recv_backward,2,1785477757583308154,1785477757904996557,321688403
55,112,7,0,send_backward,2,1785477758589465513,1785477758686842475,97376962
55,112,7,0,recv_backward,3,1785477758686925739,1785477758697738919,10813180
55,112,7,0,send_backward,3,1785477759377778231,1785477759486528233,108750002
55,128,8,0,recv_forward,0,1785477744809920451,1785477747264094420,2454173969
55,128,8,0,send_forward,0,1785477747577377781,1785477747582569633,5191852
55,128,8,0,recv_forward,1,1785477747582696810,1785477747587702529,5005719
55,128,8,0,send_forward,1,1785477747898551749,1785477747913376361,14824612
55,128,8,0,recv_forward,2,1785477747913564167,1785477748084168413,170604246
55,128,8,0,send_forward,2,1785477748395292029,1785477748400332365,5040336
55,128,8,0,recv_forward,3,1785477748400443853,1785477748439596061,39152208
55,128,8,0,send_forward,3,1785477748750631515,1785477748755621606,4990091
55,128,8,0,recv_backward,0,1785477748755731392,1785477754911109891,6155378499
55,128,8,0,send_backward,0,1785477755599632851,1785477755697761906,98129055
55,128,8,0,recv_backward,1,1785477755697850408,1785477756007679429,309829021
55,128,8,0,send_backward,1,1785477756702211122,1785477756800450385,98239263
55,128,8,0,recv_backward,2,1785477756800549449,1785477757116966996,316417547
55,128,8,0,send_backward,2,1785477757807299506,1785477757905026678,97727172
55,128,8,0,recv_backward,3,1785477757905118286,1785477757918438435,13320149
55,128,8,0,send_backward,3,1785477758599653775,1785477758697716152,98062377
55,144,9,0,recv_forward,0,1785477744808823178,1785477747582772451,2773949273
55,144,9,0,send_forward,0,1785477747903239095,1785477747908240907,5001812
55,144,9,0,recv_forward,1,1785477747908363745,1785477747913394835,5031090
55,144,9,0,send_forward,1,1785477748231979105,1785477748239264390,7285285
55,144,9,0,recv_forward,2,1785477748239440749,1785477748400371775,160931026
55,144,9,0,send_forward,2,1785477748718718922,1785477748723904901,5185979
55,144,9,0,recv_forward,3,1785477748724042635,1785477748755666963,31624328
55,144,9,0,send_forward,3,1785477749074632479,1785477749079619240,4986761
