iteration,rank,pp_stage,pp_lane,phase,microbatch,observed_start_ns,observed_end_ns,duration_ns
55,0,0,0,forward,0,1785477744809471652,1785477744971060904,161589252
55,0,0,0,forward,1,1785477744976405676,1785477745135008820,158603144
55,0,0,0,forward,2,1785477745313270507,1785477745470947615,157677108
55,0,0,0,forward,3,1785477745649480986,1785477745807231887,157750901
55,0,0,0,backward,0,1785477761329709349,1785477761743078057,413368708
55,0,0,0,backward,1,1785477762436797123,1785477762845797471,409000348
55,0,0,0,backward,2,1785477763540548739,1785477763949630509,409081770
55,0,0,0,backward,3,1785477764367347969,1785477764772970005,405622036
55,16,1,0,forward,0,1785477744976391381,1785477745302104930,325713549
55,16,1,0,forward,1,1785477745313149547,1785477745638993393,325843846
55,16,1,0,forward,2,1785477745649424560,1785477745974041079,324616519
55,16,1,0,forward,3,1785477745984338689,1785477746306845469,322506780
55,16,1,0,backward,0,1785477760506978468,1785477761230301188,723322720
55,16,1,0,backward,1,1785477761613107349,1785477762339740569,726633220
55,16,1,0,backward,2,1785477762712969695,1785477763442574869,729605174
55,16,1,0,backward,3,1785477763545924263,1785477764269539444,723615181
55,32,2,0,forward,0,1785477745308179664,1785477745628644080,320464416
55,32,2,0,forward,1,1785477745644120912,1785477745967018714,322897802
55,32,2,0,forward,2,1785477745979284800,1785477746442348597,463063797
55,32,2,0,forward,3,1785477746452716692,1785477746769976932,317260240
55,32,2,0,backward,0,1785477759692526847,1785477760406401838,713874991
55,32,2,0,backward,1,1785477760805819096,1785477761513892544,708073448
55,32,2,0,backward,2,1785477761905227614,1785477762613525728,708298114
55,32,2,0,backward,3,1785477762727031164,1785477763429042068,702010904
55,48,3,0,forward,0,1785477745633857415,1785477745951184451,317327036
55,48,3,0,forward,1,1785477745972166515,1785477746286376574,314210059
55,48,3,0,forward,2,1785477746447501315,1785477746762825589,315324274
55,48,3,0,forward,3,1785477746775097930,1785477747109126811,334028881
55,48,3,0,backward,0,1785477758883166985,1785477759594142731,710975746
55,48,3,0,backward,1,1785477760003402956,1785477760707472419,704069463
55,48,3,0,backward,2,1785477761085462002,1785477761807873331,722411329
55,48,3,0,backward,3,1785477761910423134,1785477762628967181,718544047
55,64,4,0,forward,0,1785477745956555523,1785477746291941356,335385833
55,64,4,0,forward,1,1785477746302094678,1785477746619415366,317320688
55,64,4,0,forward,2,1785477746768029217,1785477747083864885,315835668
55,64,4,0,forward,3,1785477747114236017,1785477747427730311,313494294
55,64,4,0,backward,0,1785477758086769575,1785477758785130207,698360632
55,64,4,0,backward,1,1785477759205734265,1785477759903991504,698257239
55,64,4,0,backward,2,1785477760291373621,1785477760985405525,694031904
55,64,4,0,backward,3,1785477761091314232,1785477761783949946,692635714
55,80,5,0,forward,0,1785477746297383208,1785477746612440925,315057717
55,80,5,0,forward,1,1785477746624462472,1785477746937530479,313068007
55,80,5,0,forward,2,1785477747089063418,1785477747441647152,352583734
55,80,5,0,forward,3,1785477747452113577,1785477747764278833,312165256
55,80,5,0,backward,0,1785477757279510070,1785477757987440278,707930208
55,80,5,0,backward,1,1785477758402902146,1785477759107016396,704114250
55,80,5,0,backward,2,1785477759481455174,1785477760192504535,711049361
55,80,5,0,backward,3,1785477760297222333,1785477760982297642,685075309
55,96,6,0,forward,0,1785477746617977539,1785477746935938822,317961283
55,96,6,0,forward,1,1785477746946302325,1785477747263139299,316836974
55,96,6,0,forward,2,1785477747447038783,1785477747762842327,315803544
55,96,6,0,forward,3,1785477747773126717,1785477748088712755,315586038
55,96,6,0,backward,0,1785477756478120584,1785477757180006658,701886074
55,96,6,0,backward,1,1785477757583403457,1785477758303611039,720207582
55,96,6,0,backward,2,1785477758687094296,1785477759381612279,694517983
55,96,6,0,backward,3,1785477759486595322,1785477760175889677,689294355
55,112,7,0,forward,0,1785477746941603193,1785477747258563009,316959816
55,112,7,0,forward,1,1785477747268933466,1785477747581123485,312190019
55,112,7,0,forward,2,1785477747767968102,1785477748078961661,310993559
55,112,7,0,forward,3,1785477748093832672,1785477748434456413,340623741
55,112,7,0,backward,0,1785477755698228387,1785477756378300173,680071786
55,112,7,0,backward,1,1785477756800496361,1785477757484695438,684199077
55,112,7,0,backward,2,1785477757905026097,1785477758589359428,684333331
55,112,7,0,backward,3,1785477758697781170,1785477759377716238,679935068
55,128,8,0,forward,0,1785477747264238644,1785477747577323756,313085112
55,128,8,0,forward,1,1785477747587730835,1785477747898524049,310793214
55,128,8,0,forward,2,1785477748084190505,1785477748395268289,311077784
55,128,8,0,forward,3,1785477748439613116,1785477748750607860,310994744
55,128,8,0,backward,0,1785477754911165662,1785477755599584545,688418883
55,128,8,0,backward,1,1785477756007749694,1785477756702132100,694382406
55,128,8,0,backward,2,1785477757117004951,1785477757807233518,690228567
55,128,8,0,backward,3,1785477757918472892,1785477758599591196,681118304
55,144,9,0,forward,0,1785477747582875676,1785477747903210897,320335221
55,144,9,0,forward,1,1785477747913415201,1785477748231932108,318516907
55,144,9,0,forward,2,1785477748400398228,1785477748718689625,318291397
55,144,9,0,forward,3,1785477748755690814,1785477749074607367,318916553
55,144,9,0,backward,0,1785477754108895950,1785477754811479656,702583706
55,144,9,0,backward,1,1785477755212148528,1785477755909717566,697569038
55,144,9,0,backward,2,1785477756317622922,1785477757018127449,700504527
55,144,9,0,backward,3,1785477757122076690,1785477757819984424,697907734
55,160,10,0,forward,0,1785477747908640924,1785477748229264587,320623663
55,160,10,0,forward,1,1785477748239257243,1785477748564431550,325174307
55,160,10,0,forward,2,1785477748724015143,1785477749058064042,334048899
55,160,10,0,forward,3,1785477749079665224,1785477749390562000,310896776
55,160,10,0,backward,0,1785477753325145607,1785477754009924489,684778882
55,160,10,0,backward,1,1785477754434563598,1785477755113177046,678613448
55,160,10,0,backward,2,1785477755539714581,1785477756219102524,679387943
55,160,10,0,backward,3,1785477756322675379,1785477757001885837,679210458
55,176,11,0,forward,0,1785477748234843780,1785477748546422601,311578821
55,176,11,0,forward,1,1785477748569504379,1785477748885434342,315929963
55,176,11,0,forward,2,1785477749063181741,1785477749372387308,309205567
55,176,11,0,forward,3,1785477749395613602,1785477749702520363,306906761
55,176,11,0,backward,0,1785477752551253543,1785477753226327589,675074046
55,176,11,0,backward,1,1785477753653173812,1785477754339077816,685904004
55,176,11,0,backward,2,1785477754760244939,1785477755444690764,684445825
55,176,11,0,backward,3,1785477755545038531,1785477756224386230,679347699
55,192,12,0,forward,0,1785477748551826000,1785477748864999038,313173038
55,192,12,0,forward,1,1785477748890570704,1785477749198197811,307627107
55,192,12,0,forward,2,1785477749377469899,1785477749690168327,312698428
55,192,12,0,forward,3,1785477749707465744,1785477750017241716,309775972
55,192,12,0,backward,0,1785477751771147783,1785477752451633565,680485782
55,192,12,0,backward,1,1785477752873824977,1785477753553230094,679405117
55,192,12,0,backward,2,1785477753979713501,1785477754660349891,680636390
55,192,12,0,backward,3,1785477754765357387,1785477755443021271,677663884
55,208,13,0,forward,0,1785477748871178783,1785477749186240232,315061449
55,208,13,0,forward,1,1785477749203342153,1785477749512868606,309526453
55,208,13,0,forward,2,1785477749695352146,1785477750006432281,311080135
55,208,13,0,backward,0,1785477750983636139,1785477751673115381,689479242
55,208,13,0,forward,3,1785477751770989183,1785477752084337766,313348583
55,208,13,0,backward,1,1785477752090199803,1785477752776078928,685879125
55,208,13,0,backward,2,1785477753190582164,1785477753881545093,690962929
55,208,13,0,backward,3,1785477753984908377,1785477754666075458,681167081
55,224,14,0,forward,0,1785477749193202517,1785477749508461637,315259120
55,224,14,0,forward,1,1785477749519287805,1785477749827707877,308420072
55,224,14,0,backward,0,1785477750177125441,1785477750884707990,707582549
55,224,14,0,forward,2,1785477750983256527,1785477751293070061,309813534
55,224,14,0,backward,1,1785477751298984126,1785477751977834292,678850166
55,224,14,0,forward,3,1785477752090177784,1785477752398946888,308769104
55,224,14,0,backward,2,1785477752405029521,1785477753091662776,686633255
55,224,14,0,backward,3,1785477753196561353,1785477753881986800,685425447
55,240,15,0,forward,0,1785477749514455825,1785477749709120200,194664375
55,240,15,0,backward,0,1785477749709288210,1785477750077020844,367732634
55,240,15,0,forward,1,1785477750176921131,1785477750370221015,193299884
55,240,15,0,backward,1,1785477750370408300,1785477750736110919,365702619
55,240,15,0,forward,2,1785477751298908897,1785477751489618261,190709364
55,240,15,0,backward,2,1785477751489800962,1785477751855712193,365911231
55,240,15,0,forward,3,1785477752405038492,1785477752594674729,189636237
55,240,15,0,backward,3,1785477752594849887,1785477752965064571,370214684
55,1,0,1,forward,0,1785477744808791856,1785477744971145899,162354043
55,1,0,1,forward,1,1785477744976480014,1785477745134872542,158392528
55,1,0,1,forward,2,1785477745312079259,1785477745470883379,158804120
55,1,0,1,forward,3,1785477745649255711,1785477745807348620,158092909
55,1,0,1,backward,0,1785477761329242080,1785477761743096974,413854894
55,1,0,1,backward,1,1785477762436756363,1785477762846220555,409464192
55,1,0,1,backward,2,1785477763540456493,1785477763949844367,409387874
55,1,0,1,backward,3,1785477764367195538,1785477764773209724,406014186
55,17,1,1,forward,0,1785477744976350903,1785477745301865928,325515025
55,17,1,1,forward,1,1785477745311913749,1785477745639042316,327128567
55,17,1,1,forward,2,1785477745649143504,1785477745973884003,324740499
55,17,1,1,forward,3,1785477745984088086,1785477746306645508,322557422
55,17,1,1,backward,0,1785477760505874784,1785477761229923379,724048595
55,17,1,1,backward,1,1785477761612879581,1785477762339321003,726441422
55,17,1,1,backward,2,1785477762712899498,1785477763441984560,729085062
55,17,1,1,backward,3,1785477763545739258,1785477764269294727,723555469
55,33,2,1,forward,0,1785477745307046260,1785477745628340117,321293857
55,33,2,1,forward,1,1785477745644168550,1785477745966883233,322714683
55,33,2,1,forward,2,1785477745978972667,1785477746442302147,463329480
55,33,2,1,forward,3,1785477746452478892,1785477746770033854,317554962
55,33,2,1,backward,0,1785477759692515430,1785477760407225594,714710164
