iteration,rank,pp_stage,pp_lane,phase,microbatch,trace_duration_ns,adjusted_duration_ns,adjustment_ns
55,0,0,0,backward,0,413368708,413368708,0
55,0,0,0,backward,1,409000348,409000348,0
55,0,0,0,backward,2,409081770,409081770,0
55,0,0,0,backward,3,405622036,405622036,0
55,0,0,0,forward,0,161589252,161589252,0
55,0,0,0,forward,1,158603144,158603144,0
55,0,0,0,forward,2,157677108,157677108,0
55,0,0,0,forward,3,157750901,157750901,0
55,1,0,1,backward,0,413854894,413854894,0
55,1,0,1,backward,1,409464192,409464192,0
55,1,0,1,backward,2,409387874,409387874,0
55,1,0,1,backward,3,406014186,406014186,0
55,1,0,1,forward,0,162354043,162354043,0
55,1,0,1,forward,1,158392528,158392528,0
55,1,0,1,forward,2,158804120,158804120,0
55,1,0,1,forward,3,158092909,158092909,0
55,2,0,2,backward,0,411915575,411915575,0
55,2,0,2,backward,1,407204768,407204768,0
55,2,0,2,backward,2,408335072,408335072,0
55,2,0,2,backward,3,405692433,405692433,0
55,2,0,2,forward,0,163118531,163118531,0
55,2,0,2,forward,1,158527119,158527119,0
55,2,0,2,forward,2,158421699,158421699,0
55,2,0,2,forward,3,157952847,157952847,0
55,3,0,3,backward,0,411703563,411703563,0
55,3,0,3,backward,1,407515190,407515190,0
55,3,0,3,backward,2,408726173,408726173,0
55,3,0,3,backward,3,405564248,405564248,0
55,3,0,3,forward,0,160150680,160150680,0
55,3,0,3,forward,1,158449493,158449493,0
55,3,0,3,forward,2,158351031,158351031,0
55,3,0,3,forward,3,157607225,157607225,0
55,4,0,4,backward,0,413943906,413943906,0
55,4,0,4,backward,1,407633918,407633918,0
55,4,0,4,backward,2,409737246,409737246,0
55,4,0,4,backward,3,405565269,405565269,0
55,4,0,4,forward,0,162375113,162375113,0
55,4,0,4,forward,1,158199210,158199210,0
55,4,0,4,forward,2,158732385,158732385,0
55,4,0,4,forward,3,158019087,158019087,0
55,5,0,5,backward,0,412365880,412365880,0
55,5,0,5,backward,1,407591337,407591337,0
55,5,0,5,backward,2,409639400,409639400,0
55,5,0,5,backward,3,405371639,405371639,0
55,5,0,5,forward,0,162641142,162641142,0
55,5,0,5,forward,1,158179446,158179446,0
55,5,0,5,forward,2,158702362,158702362,0
55,5,0,5,forward,3,157775485,157775485,0
55,6,0,6,backward,0,414018381,414018381,0
55,6,0,6,backward,1,408283645,408283645,0
55,6,0,6,backward,2,407774096,407774096,0
55,6,0,6,backward,3,404355920,404355920,0
55,6,0,6,forward,0,162685492,162685492,0
55,6,0,6,forward,1,158713585,158713585,0
55,6,0,6,forward,2,158503392,158503392,0
55,6,0,6,forward,3,158002381,158002381,0
55,7,0,7,backward,0,414264187,414264187,0
55,7,0,7,backward,1,408347435,408347435,0
55,7,0,7,backward,2,408100795,408100795,0
55,7,0,7,backward,3,404286569,404286569,0
55,7,0,7,forward,0,162823043,162823043,0
55,7,0,7,forward,1,159115168,159115168,0
55,7,0,7,forward,2,158489424,158489424,0
55,7,0,7,forward,3,157972219,157972219,0
55,8,0,8,backward,0,409144296,409144296,0
55,8,0,8,backward,1,415586957,415586957,0
55,8,0,8,backward,2,408752065,408752065,0
55,8,0,8,backward,3,407749903,407749903,0
55,8,0,8,forward,0,160522716,160522716,0
