iteration,rank,pp_stage,pp_lane,phase,microbatch,trace_duration_ns,adjusted_duration_ns,adjustment_ns
55,0,0,0,backward,0,413368708,305538029,-107830679
55,0,0,0,backward,1,409000348,302309193,-106691155
55,0,0,0,backward,2,409081770,302369375,-106712395
55,0,0,0,backward,3,405622036,299812141,-105809895
55,0,0,0,forward,0,161589252,106939473,-54649779
55,0,0,0,forward,1,158603144,104963272,-53639872
55,0,0,0,forward,2,157677108,104350423,-53326685
55,0,0,0,forward,3,157750901,104399260,-53351641
55,1,0,1,backward,0,413854894,306040404,-107814490
55,1,0,1,backward,1,409464192,302793536,-106670656
55,1,0,1,backward,2,409387874,302737100,-106650774
55,1,0,1,backward,3,406014186,300242300,-105771886
55,1,0,1,forward,0,162354043,107654539,-54699504
55,1,0,1,forward,1,158392528,105027718,-53364810
55,1,0,1,forward,2,158804120,105300639,-53503481
55,1,0,1,forward,3,158092909,104829045,-53263864
55,2,0,2,backward,0,411915575,306359757,-105555818
55,2,0,2,backward,1,407204768,302856123,-104348645
55,2,0,2,backward,2,408335072,303696779,-104638293
55,2,0,2,backward,3,405692433,301731332,-103961101
55,2,0,2,forward,0,163118531,109253740,-53864791
55,2,0,2,forward,1,158527119,106178498,-52348621
55,2,0,2,forward,2,158421699,106107890,-52313809
55,2,0,2,forward,3,157952847,105793861,-52158986
55,3,0,3,backward,0,411703563,306224332,-105479231
55,3,0,3,backward,1,407515190,303109028,-104406162
55,3,0,3,backward,2,408726173,304009755,-104716418
55,3,0,3,backward,3,405564248,301657921,-103906327
55,3,0,3,forward,0,160150680,106976341,-53174339
55,3,0,3,forward,1,158449493,105839994,-52609499
55,3,0,3,forward,2,158351031,105774224,-52576807
55,3,0,3,forward,3,157607225,105277382,-52329843
55,4,0,4,backward,0,413943906,307778860,-106165046
55,4,0,4,backward,1,407633918,303087208,-104546710
55,4,0,4,backward,2,409737246,304651091,-105086155
55,4,0,4,backward,3,405565269,301549110,-104016159
55,4,0,4,forward,0,162375113,108527521,-53847592
55,4,0,4,forward,1,158199210,105736451,-52462759
55,4,0,4,forward,2,158732385,106092812,-52639573
55,4,0,4,forward,3,158019087,105616061,-52403026
55,5,0,5,backward,0,412365880,306481868,-105884012
55,5,0,5,backward,1,407591337,302933294,-104658043
55,5,0,5,backward,2,409639400,304455472,-105183928
55,5,0,5,backward,3,405371639,301283552,-104088087
55,5,0,5,forward,0,162641142,108703013,-53938129
55,5,0,5,forward,1,158179446,105720989,-52458457
55,5,0,5,forward,2,158702362,106070486,-52631876
55,5,0,5,forward,3,157775485,105450997,-52324488
55,6,0,6,backward,0,414018381,306871553,-107146828
55,6,0,6,backward,1,408283645,302620951,-105662694
55,6,0,6,backward,2,407774096,302243271,-105530825
55,6,0,6,backward,3,404355920,299709710,-104646210
55,6,0,6,forward,0,162685492,108379403,-54306089
55,6,0,6,forward,1,158713585,105733360,-52980225
55,6,0,6,forward,2,158503392,105593331,-52910061
55,6,0,6,forward,3,158002381,105259563,-52742818
55,7,0,7,backward,0,414264187,307090921,-107173266
55,7,0,7,backward,1,408347435,302704877,-105642558
55,7,0,7,backward,2,408100795,302522044,-105578751
55,7,0,7,backward,3,404286569,299694587,-104591982
55,7,0,7,forward,0,162823043,108513182,-54309861
55,7,0,7,forward,1,159115168,106042074,-53073094
55,7,0,7,forward,2,158489424,105625048,-52864376
