rank,pp_stage,phase,behavior,behavior_delta_ns
0,0,forward,cp_all_to_all,0
0,0,backward,cp_all_to_all,0
1,0,forward,cp_all_to_all,0
1,0,backward,cp_all_to_all,0
2,0,forward,cp_all_to_all,0
2,0,backward,cp_all_to_all,0
3,0,forward,cp_all_to_all,0
3,0,backward,cp_all_to_all,0
4,0,forward,cp_all_to_all,0
4,0,backward,cp_all_to_all,0
5,0,forward,cp_all_to_all,0
5,0,backward,cp_all_to_all,0
6,0,forward,cp_all_to_all,0
6,0,backward,cp_all_to_all,0
7,0,forward,cp_all_to_all,0
7,0,backward,cp_all_to_all,0
8,0,forward,cp_all_to_all,0
8,0,backward,cp_all_to_all,0
9,0,forward,cp_all_to_all,0
9,0,backward,cp_all_to_all,0
10,0,forward,cp_all_to_all,0
10,0,backward,cp_all_to_all,0
11,0,forward,cp_all_to_all,0
11,0,backward,cp_all_to_all,0
12,0,forward,cp_all_to_all,0
12,0,backward,cp_all_to_all,0
13,0,forward,cp_all_to_all,0
13,0,backward,cp_all_to_all,0
14,0,forward,cp_all_to_all,0
14,0,backward,cp_all_to_all,0
15,0,forward,cp_all_to_all,0
15,0,backward,cp_all_to_all,0
16,1,forward,cp_all_to_all,0
16,1,backward,cp_all_to_all,0
17,1,forward,cp_all_to_all,0
17,1,backward,cp_all_to_all,0
18,1,forward,cp_all_to_all,0
18,1,backward,cp_all_to_all,0
19,1,forward,cp_all_to_all,0
19,1,backward,cp_all_to_all,0
20,1,forward,cp_all_to_all,0
20,1,backward,cp_all_to_all,0
21,1,forward,cp_all_to_all,0
21,1,backward,cp_all_to_all,0
22,1,forward,cp_all_to_all,0
22,1,backward,cp_all_to_all,0
23,1,forward,cp_all_to_all,0
23,1,backward,cp_all_to_all,0
24,1,forward,cp_all_to_all,0
24,1,backward,cp_all_to_all,0
25,1,forward,cp_all_to_all,0
25,1,backward,cp_all_to_all,0
26,1,forward,cp_all_to_all,0
26,1,backward,cp_all_to_all,0
27,1,forward,cp_all_to_all,0
27,1,backward,cp_all_to_all,0
28,1,forward,cp_all_to_all,0
28,1,backward,cp_all_to_all,0
29,1,forward,cp_all_to_all,0
29,1,backward,cp_all_to_all,0
30,1,forward,cp_all_to_all,0
30,1,backward,cp_all_to_all,0
31,1,forward,cp_all_to_all,0
31,1,backward,cp_all_to_all,0
32,2,forward,cp_all_to_all,0
32,2,backward,cp_all_to_all,0
33,2,forward,cp_all_to_all,0
33,2,backward,cp_all_to_all,0
34,2,forward,cp_all_to_all,0
34,2,backward,cp_all_to_all,0
35,2,forward,cp_all_to_all,0
35,2,backward,cp_all_to_all,0
36,2,forward,cp_all_to_all,0
36,2,backward,cp_all_to_all,0
37,2,forward,cp_all_to_all,0
37,2,backward,cp_all_to_all,0
38,2,forward,cp_all_to_all,0
38,2,backward,cp_all_to_all,0
39,2,forward,cp_all_to_all,0
39,2,backward,cp_all_to_all,0
40,2,forward,cp_all_to_all,0
40,2,backward,cp_all_to_all,0
41,2,forward,cp_all_to_all,0
41,2,backward,cp_all_to_all,0
42,2,forward,cp_all_to_all,0
42,2,backward,cp_all_to_all,0
43,2,forward,cp_all_to_all,0
43,2,backward,cp_all_to_all,0
44,2,forward,cp_all_to_all,0
44,2,backward,cp_all_to_all,0
45,2,forward,cp_all_to_all,0
45,2,backward,cp_all_to_all,0
46,2,forward,cp_all_to_all,0
