rank,pp_stage,phase,behavior,behavior_delta_ns
0,0,forward,cp_all_to_all,-203782267
0,0,backward,cp_all_to_all,-407564533
1,0,forward,cp_all_to_all,-203782267
1,0,backward,cp_all_to_all,-407564533
2,0,forward,cp_all_to_all,-199523768
2,0,backward,cp_all_to_all,-399047537
3,0,forward,cp_all_to_all,-199523768
3,0,backward,cp_all_to_all,-399047537
4,0,forward,cp_all_to_all,-200167240
4,0,backward,cp_all_to_all,-400334479
5,0,forward,cp_all_to_all,-200167240
5,0,backward,cp_all_to_all,-400334479
6,0,forward,cp_all_to_all,-201753483
6,0,backward,cp_all_to_all,-403506966
7,0,forward,cp_all_to_all,-201753483
7,0,backward,cp_all_to_all,-403506966
8,0,forward,cp_all_to_all,-201485191
8,0,backward,cp_all_to_all,-402970383
9,0,forward,cp_all_to_all,-201485191
9,0,backward,cp_all_to_all,-402970383
10,0,forward,cp_all_to_all,-199013234
10,0,backward,cp_all_to_all,-398026468
11,0,forward,cp_all_to_all,-199013234
11,0,backward,cp_all_to_all,-398026468
12,0,forward,cp_all_to_all,-198684115
12,0,backward,cp_all_to_all,-397368231
13,0,forward,cp_all_to_all,-198684115
13,0,backward,cp_all_to_all,-397368231
14,0,forward,cp_all_to_all,-202148674
14,0,backward,cp_all_to_all,-404297348
15,0,forward,cp_all_to_all,-202148674
15,0,backward,cp_all_to_all,-404297348
16,1,forward,cp_all_to_all,-405899338
16,1,backward,cp_all_to_all,-811798677
17,1,forward,cp_all_to_all,-405899338
17,1,backward,cp_all_to_all,-811798677
18,1,forward,cp_all_to_all,-403397751
18,1,backward,cp_all_to_all,-806795501
19,1,forward,cp_all_to_all,-403397751
19,1,backward,cp_all_to_all,-806795501
20,1,forward,cp_all_to_all,-400447840
20,1,backward,cp_all_to_all,-800895681
21,1,forward,cp_all_to_all,-400447840
21,1,backward,cp_all_to_all,-800895681
22,1,forward,cp_all_to_all,-404099345
22,1,backward,cp_all_to_all,-808198691
23,1,forward,cp_all_to_all,-404099345
23,1,backward,cp_all_to_all,-808198691
24,1,forward,cp_all_to_all,-407881867
24,1,backward,cp_all_to_all,-815763734
25,1,forward,cp_all_to_all,-407881867
25,1,backward,cp_all_to_all,-815763734
26,1,forward,cp_all_to_all,-403646806
26,1,backward,cp_all_to_all,-807293612
27,1,forward,cp_all_to_all,-403646806
27,1,backward,cp_all_to_all,-807293612
28,1,forward,cp_all_to_all,-405605954
28,1,backward,cp_all_to_all,-811211907
29,1,forward,cp_all_to_all,-405605954
29,1,backward,cp_all_to_all,-811211907
30,1,forward,cp_all_to_all,-409844367
30,1,backward,cp_all_to_all,-819688733
31,1,forward,cp_all_to_all,-409844367
31,1,backward,cp_all_to_all,-819688733
32,2,forward,cp_all_to_all,-411494186
32,2,backward,cp_all_to_all,-822988371
33,2,forward,cp_all_to_all,-411494186
33,2,backward,cp_all_to_all,-822988371
34,2,forward,cp_all_to_all,-405662143
34,2,backward,cp_all_to_all,-811324286
35,2,forward,cp_all_to_all,-405662143
35,2,backward,cp_all_to_all,-811324286
36,2,forward,cp_all_to_all,-405163717
36,2,backward,cp_all_to_all,-810327434
37,2,forward,cp_all_to_all,-405163717
37,2,backward,cp_all_to_all,-810327434
38,2,forward,cp_all_to_all,-409225588
38,2,backward,cp_all_to_all,-818451177
39,2,forward,cp_all_to_all,-409225588
39,2,backward,cp_all_to_all,-818451177
40,2,forward,cp_all_to_all,-405429983
40,2,backward,cp_all_to_all,-810859967
41,2,forward,cp_all_to_all,-405429983
41,2,backward,cp_all_to_all,-810859967
42,2,forward,cp_all_to_all,-402488710
42,2,backward,cp_all_to_all,-804977419
43,2,forward,cp_all_to_all,-402488710
43,2,backward,cp_all_to_all,-804977419
44,2,forward,cp_all_to_all,-404201943
44,2,backward,cp_all_to_all,-808403887
45,2,forward,cp_all_to_all,-404201943
45,2,backward,cp_all_to_all,-808403887
46,2,forward,cp_all_to_all,-407197803
46,2,backward,cp_all_to_all,-814395607
47,2,forward,cp_all_to_all,-407197803
47,2,backward,cp_all_to_all,-814395607
48,3,forward,cp_all_to_all,-407608334
48,3,backward,cp_all_to_all,-815216668
49,3,forward,cp_all_to_all,-407608334
49,3,backward,cp_all_to_all,-815216668
50,3,forward,cp_all_to_all,-401114649
50,3,backward,cp_all_to_all,-802229299
51,3,forward,cp_all_to_all,-401114649
51,3,backward,cp_all_to_all,-802229299
52,3,forward,cp_all_to_all,-401410577
52,3,backward,cp_all_to_all,-802821153
53,3,forward,cp_all_to_all,-401410577
53,3,backward,cp_all_to_all,-802821153
54,3,forward,cp_all_to_all,-408967977
54,3,backward,cp_all_to_all,-817935953
55,3,forward,cp_all_to_all,-408967977
55,3,backward,cp_all_to_all,-817935953
56,3,forward,cp_all_to_all,-408695834
56,3,backward,cp_all_to_all,-817391667
57,3,forward,cp_all_to_all,-408695834
57,3,backward,cp_all_to_all,-817391667
58,3,forward,cp_all_to_all,-401341064
58,3,backward,cp_all_to_all,-802682129
59,3,forward,cp_all_to_all,-401341064
59,3,backward,cp_all_to_all,-802682129
60,3,forward,cp_all_to_all,-404167858
60,3,backward,cp_all_to_all,-808335717
61,3,forward,cp_all_to_all,-404167858
61,3,backward,cp_all_to_all,-808335717
62,3,forward,cp_all_to_all,-408314049
62,3,backward,cp_all_to_all,-816628099
63,3,forward,cp_all_to_all,-408314049
63,3,backward,cp_all_to_all,-816628099
64,4,forward,cp_all_to_all,-408109901
64,4,backward,cp_all_to_all,-816219801
65,4,forward,cp_all_to_all,-408109901
65,4,backward,cp_all_to_all,-816219801
66,4,forward,cp_all_to_all,-403619236
66,4,backward,cp_all_to_all,-807238473
67,4,forward,cp_all_to_all,-403619236
67,4,backward,cp_all_to_all,-807238473
68,4,forward,cp_all_to_all,-401805752
68,4,backward,cp_all_to_all,-803611504
69,4,forward,cp_all_to_all,-401805752
69,4,backward,cp_all_to_all,-803611504
70,4,forward,cp_all_to_all,-408986873
70,4,backward,cp_all_to_all,-817973747
71,4,forward,cp_all_to_all,-408986873
71,4,backward,cp_all_to_all,-817973747
72,4,forward,cp_all_to_all,-407694328
72,4,backward,cp_all_to_all,-815388657
73,4,forward,cp_all_to_all,-407694328
73,4,backward,cp_all_to_all,-815388657
74,4,forward,cp_all_to_all,-404994662
74,4,backward,cp_all_to_all,-809989324
75,4,forward,cp_all_to_all,-404994662
75,4,backward,cp_all_to_all,-809989324
76,4,forward,cp_all_to_all,-405979511
76,4,backward,cp_all_to_all,-811959023
77,4,forward,cp_all_to_all,-405979511
77,4,backward,cp_all_to_all,-811959023
78,4,forward,cp_all_to_all,-411724771
78,4,backward,cp_all_to_all,-823449542
79,4,forward,cp_all_to_all,-411724771
79,4,backward,cp_all_to_all,-823449542
80,5,forward,cp_all_to_all,-405327092
80,5,backward,cp_all_to_all,-810654183
81,5,forward,cp_all_to_all,-405327092
81,5,backward,cp_all_to_all,-810654183
82,5,forward,cp_all_to_all,-403918916
82,5,backward,cp_all_to_all,-807837831
83,5,forward,cp_all_to_all,-403918916
83,5,backward,cp_all_to_all,-807837831
84,5,forward,cp_all_to_all,-403126731
84,5,backward,cp_all_to_all,-806253462
85,5,forward,cp_all_to_all,-403126731
85,5,backward,cp_all_to_all,-806253462
86,5,forward,cp_all_to_all,-406683916
86,5,backward,cp_all_to_all,-813367832
