iteration,pp_lane,predicted_front_start_ns,predicted_optimizer_ready_ns,rank_compute_ns_sum,rank_pipeline_wait_ns_sum,predicted_front_makespan_ns,observed_front_start_ns,observed_optimizer_ready_ns,observed_front_makespan_ns,front_replay_error_ns,front_replay_error_pct
55,0,0,18252367772,61367596996,149580694274,18252367772,1785477744809471652,1785477764772970005,19963498353,-1711130581,-8.571296226459532
55,1,0,18248205129,61361296986,149516214548,18248205129,1785477744808791856,1785477764773209724,19964417868,-1716212739,-8.596357531420109
55,2,0,18256748090,61388557262,149612780017,18256748090,1785477744808224865,1785477764772950025,19964725160,-1707977070,-8.554974117159347
55,3,0,18252351069,61365962690,149566714183,18252351069,1785477744811134701,1785477764772885794,19961751093,-1709400024,-8.563377110735724
55,4,0,18261151899,61396671322,149619808111,18261151899,1785477744808924105,1785477764772393268,19963469163,-1702317264,-8.527161537409789
55,5,0,18263536700,61403449841,149635231208,18263536700,1785477744808609781,1785477764772212091,19963602310,-1700065610,-8.51582586950461
55,6,0,18251526806,61377878650,149553170215,18251526806,1785477744808565246,1785477764772600357,19964035111,-1712508305,-8.577966806201536
55,7,0,18249038743,61354355550,149555948727,18249038743,1785477744808446696,1785477764772602594,19964155898,-1715117155,-8.590982577789926
55,8,0,18396605372,61967762290,151955615779,18396605372,1785477744808618037,1785477764894733458,20086115421,-1689510049,-8.411332971001551
55,9,0,18418651924,62039664840,152110254922,18418651924,1785477744808590481,1785477764893971529,20085381048,-1666729124,-8.298220083636224
55,10,0,18416191119,62035652819,152181732246,18416191119,1785477744809248162,1785477764893323371,20084075209,-1667884090,-8.304510278136153
55,11,0,18417224400,62070260565,152194656650,18417224400,1785477744809005006,1785477764893535045,20084530039,-1667305639,-8.301442133634382
55,12,0,18417392662,62058596673,152184196687,18417392662,1785477744809228982,1785477764893122814,20083893832,-1666501170,-8.297699559359033
55,13,0,18417961461,62071201196,152192832085,18417961461,1785477744808336642,1785477764892913799,20084577157,-1666615696,-8.29798747054598
55,14,0,18409223428,62024780375,152118005507,18409223428,1785477744808877140,1785477764894766641,20085889501,-1676666073,-8.347482310487296
55,15,0,18408932746,62016519036,152097031733,18408932746,1785477744809154297,1785477764894903349,20085749052,-1676816306,-8.348288638172717
