iteration,rank,pp_stage,pp_lane,predecessor_node_id,predicted_optimizer_ready_ns,next_node_contract,observed_backward_done_ns,observed_first_rs_start_ns,measured_tail_launch_lag_ns,predicted_first_rs_ready_ns
55,0,0,0,rank0:B3,18252367772,first_optimizer_collective_or_local_tail,1785477764772970005,1785477764789544563,16574558,18268942330
55,1,0,1,rank1:B3,18248205129,first_optimizer_collective_or_local_tail,1785477764773209724,1785477764789733123,16523399,18264728528
55,2,0,2,rank2:B3,18256748090,first_optimizer_collective_or_local_tail,1785477764772950025,1785477764789367105,16417080,18273165170
55,3,0,3,rank3:B3,18252351069,first_optimizer_collective_or_local_tail,1785477764772885794,1785477764789484959,16599165,18268950234
55,4,0,4,rank4:B3,18261151899,first_optimizer_collective_or_local_tail,1785477764772393268,1785477764788715384,16322116,18277474015
55,5,0,5,rank5:B3,18263536700,first_optimizer_collective_or_local_tail,1785477764772212091,1785477764788594100,16382009,18279918709
55,6,0,6,rank6:B3,18251526806,first_optimizer_collective_or_local_tail,1785477764772600357,1785477764789040579,16440222,18267967028
55,7,0,7,rank7:B3,18249038743,first_optimizer_collective_or_local_tail,1785477764772602594,1785477764788968258,16365664,18265404407
55,8,0,8,rank8:B3,18396605372,first_optimizer_collective_or_local_tail,1785477764894733458,1785477764911105030,16371572,18412976944
55,9,0,9,rank9:B3,18418651924,first_optimizer_collective_or_local_tail,1785477764893971529,1785477764910654349,16682820,18435334744
55,10,0,10,rank10:B3,18416191119,first_optimizer_collective_or_local_tail,1785477764893323371,1785477764909791349,16467978,18432659097
55,11,0,11,rank11:B3,18417224400,first_optimizer_collective_or_local_tail,1785477764893535045,1785477764910284837,16749792,18433974192
55,12,0,12,rank12:B3,18417392662,first_optimizer_collective_or_local_tail,1785477764893122814,1785477764909802355,16679541,18434072203
55,13,0,13,rank13:B3,18417961461,first_optimizer_collective_or_local_tail,1785477764892913799,1785477764909363300,16449501,18434410962
55,14,0,14,rank14:B3,18409223428,first_optimizer_collective_or_local_tail,1785477764894766641,1785477764911497271,16730630,18425954058
55,15,0,15,rank15:B3,18408932746,first_optimizer_collective_or_local_tail,1785477764894903349,1785477764911530568,16627219,18425559965
55,16,1,0,rank16:B3,17842033390,first_optimizer_collective_or_local_tail,1785477764269539444,1785477764375662000,106122556,17948155946
55,17,1,1,rank17:B3,17837478597,first_optimizer_collective_or_local_tail,1785477764269294727,1785477764375545415,106250688,17943729285
55,18,1,2,rank18:B3,17846343311,first_optimizer_collective_or_local_tail,1785477764268935923,1785477764375104210,106168287,17952511598
55,19,1,3,rank19:B3,17842074475,first_optimizer_collective_or_local_tail,1785477764268853498,1785477764375834789,106981291,17949055766
55,20,1,4,rank20:B3,17850874284,first_optimizer_collective_or_local_tail,1785477764269078015,1785477764374925690,105847675,17956721959
55,21,1,5,rank21:B3,17853452715,first_optimizer_collective_or_local_tail,1785477764268888899,1785477764374804854,105915955,17959368670
55,22,1,6,rank22:B3,17842458540,first_optimizer_collective_or_local_tail,1785477764268921927,1785477764376400000,107478073,17949936613
55,23,1,7,rank23:B3,17840039828,first_optimizer_collective_or_local_tail,1785477764269372014,1785477764376254916,106882902,17946922730
55,24,1,8,rank24:B3,17984143123,first_optimizer_collective_or_local_tail,1785477764388798141,1785477764495537813,106739672,18090882795
55,25,1,9,rank25:B3,18007260436,first_optimizer_collective_or_local_tail,1785477764391477661,1785477764495891676,104414015,18111674451
55,26,1,10,rank26:B3,18003716861,first_optimizer_collective_or_local_tail,1785477764387139946,1785477764494707136,107567190,18111284051
55,27,1,11,rank27:B3,18004163389,first_optimizer_collective_or_local_tail,1785477764386961998,1785477764493422956,106460958,18110624347
55,28,1,12,rank28:B3,18004609255,first_optimizer_collective_or_local_tail,1785477764386928289,1785477764493708504,106780215,18111389470
55,29,1,13,rank29:B3,18005688509,first_optimizer_collective_or_local_tail,1785477764387680778,1785477764493766302,106085524,18111774033
55,30,1,14,rank30:B3,17996147553,first_optimizer_collective_or_local_tail,1785477764387427554,1785477764495365149,107937595,18104085148
55,31,1,15,rank31:B3,17995850924,first_optimizer_collective_or_local_tail,1785477764388920722,1785477764495277034,106356312,18102207236
55,32,2,0,rank32:B3,17096357526,first_optimizer_collective_or_local_tail,1785477763429042068,1785477763554181538,125139470,17221496996
55,33,2,1,rank33:B3,17091663907,first_optimizer_collective_or_local_tail,1785477763429399931,1785477763553956732,124556801,17216220708
55,34,2,2,rank34:B3,17101648053,first_optimizer_collective_or_local_tail,1785477763428994267,1785477763553952293,124958026,17226606079
55,35,2,3,rank35:B3,17095561334,first_optimizer_collective_or_local_tail,1785477763428769253,1785477763554588307,125819054,17221380388
55,36,2,4,rank36:B3,17101957151,first_optimizer_collective_or_local_tail,1785477763429317632,1785477763552431370,123113738,17225070889
55,37,2,5,rank37:B3,17106020173,first_optimizer_collective_or_local_tail,1785477763428976253,1785477763552720635,123744382,17229764555
55,38,2,6,rank38:B3,17097528375,first_optimizer_collective_or_local_tail,1785477763428831093,1785477763554431598,125600505,17223128880
55,39,2,7,rank39:B3,17093147549,first_optimizer_collective_or_local_tail,1785477763428713759,1785477763554226171,125512412,17218659961
55,40,2,8,rank40:B3,17250981396,first_optimizer_collective_or_local_tail,1785477763562135045,1785477763668506713,106371668,17357353064
55,41,2,9,rank41:B3,17271368135,first_optimizer_collective_or_local_tail,1785477763562991348,1785477763669016426,106025078,17377393213
55,42,2,10,rank42:B3,17272533463,first_optimizer_collective_or_local_tail,1785477763561968364,1785477763668759045,106790681,17379324144
55,43,2,11,rank43:B3,17273198476,first_optimizer_collective_or_local_tail,1785477763562700415,1785477763668845457,106145042,17379343518
55,44,2,12,rank44:B3,17273854589,first_optimizer_collective_or_local_tail,1785477763562769837,1785477763669281489,106511652,17380366241
55,45,2,13,rank45:B3,17274562245,first_optimizer_collective_or_local_tail,1785477763561865909,1785477763669752962,107887053,17382449298
55,46,2,14,rank46:B3,17265051404,first_optimizer_collective_or_local_tail,1785477763562409852,1785477763669084477,106674625,17371726029
55,47,2,15,rank47:B3,17263477618,first_optimizer_collective_or_local_tail,1785477763562165112,1785477763669414636,107249524,17370727142
55,48,3,0,rank48:B3,16389634276,first_optimizer_collective_or_local_tail,1785477762628967181,1785477762735531346,106564165,16496198441
55,49,3,1,rank49:B3,16384630678,first_optimizer_collective_or_local_tail,1785477762628738548,1785477762735572265,106833717,16491464395
55,50,3,2,rank50:B3,16393676321,first_optimizer_collective_or_local_tail,1785477762627901161,1785477762734581494,106680333,16500356654
55,51,3,3,rank51:B3,16388145698,first_optimizer_collective_or_local_tail,1785477762627540351,1785477762734479230,106938879,16495084577
55,52,3,4,rank52:B3,16394418198,first_optimizer_collective_or_local_tail,1785477762627849902,1785477762735132739,107282837,16501701035
55,53,3,5,rank53:B3,16398290319,first_optimizer_collective_or_local_tail,1785477762628691482,1785477762735180370,106488888,16504779207
55,54,3,6,rank54:B3,16390088443,first_optimizer_collective_or_local_tail,1785477762628416107,1785477762735053334,106637227,16496725670
55,55,3,7,rank55:B3,16385644078,first_optimizer_collective_or_local_tail,1785477762627652032,1785477762735767405,108115373,16493759451
55,56,3,8,rank56:B3,16540825291,first_optimizer_collective_or_local_tail,1785477762759788126,1785477762865079135,105291009,16646116300
55,57,3,9,rank57:B3,16560299988,first_optimizer_collective_or_local_tail,1785477762758561848,1785477762864964857,106403009,16666702997
55,58,3,10,rank58:B3,16562519044,first_optimizer_collective_or_local_tail,1785477762759247089,1785477762865018299,105771210,16668290254
55,59,3,11,rank59:B3,16562889901,first_optimizer_collective_or_local_tail,1785477762758622210,1785477762865412785,106790575,16669680476
