iteration,rank,pp_stage,pp_lane,compute_ns,pipeline_wait_ns,predicted_first_compute_ns,predicted_backward_done_ns,front_envelope_ns,wait_share_pct,observed_first_compute_ns,observed_backward_done_ns,observed_front_envelope_ns,observed_local_gap_ns,unmodeled_local_gap_ns
55,0,0,0,2272693267,15979674505,0,18252367772,18252367772,87.54850167721024,1785477744809471652,1785477764772970005,19963498353,17690805086,1711130581
55,16,1,0,4201856989,13640176401,166301598,17842033390,17675731792,77.16894871177846,1785477744976391381,1785477764269539444,19293148063,15091291074,1451114673
55,32,2,0,4255943712,12840413814,496727493,17096357526,16599630033,77.35361443883573,1785477745308179664,1785477763429042068,18120862404,13864918692,1024504878
55,48,3,0,4136890835,12252743441,821904255,16389634276,15567730021,78.70603758204781,1785477745633857415,1785477762628967181,16995109766,12858218931,605475490
55,64,4,0,4065321972,11571280296,1143943637,15636602268,14492658631,79.84235736601751,1785477745956555523,1785477761783949946,15827394423,11762072451,190792155
55,80,5,0,4101043842,10829253771,1484041816,14930297613,13446255797,80.53731785629215,1785477746297383208,1785477760982297642,14684914434,10583870592,-245383179
55,96,6,0,4072093833,10146661119,1803811879,14218754952,12414943073,81.72942122519227,1785477746617977539,1785477760175889677,13557912138,9485818305,-660842814
55,112,7,0,4009306397,9505323079,2126485508,13514629476,11388143968,83.46683274912388,1785477746941603193,1785477759377716238,12436113045,8426806648,-1078516431
55,128,8,0,4000099014,8829883048,2448157670,12829982062,10381824392,85.05136202076496,1785477747264238644,1785477758599591196,11335352552,7335253538,-1494629510
55,144,9,0,4074625083,8069526329,2765955128,12144151412,9378196284,86.04561138016804,1785477747582875676,1785477757819984424,10237108748,6162483665,-1907042664
55,160,10,0,4012734376,7407502887,3091002695,11420237263,8329234568,88.93377688579943,1785477747908640924,1785477757001885837,9093244913,5080510537,-2326992350
55,176,11,0,3968392686,6767881529,3416338704,10736274215,7319935511,92.45821249148435,1785477748234843780,1785477756224386230,7989542450,4021149764,-2746731765
