pp_stage,sequence,phase,microbatch,region
0,0,forward,0,warmup
0,1,forward,1,warmup
0,2,forward,2,warmup
0,3,forward,3,warmup
0,4,backward,0,cooldown
0,5,backward,1,cooldown
0,6,backward,2,cooldown
0,7,backward,3,cooldown
1,0,forward,0,warmup
1,1,forward,1,warmup
1,2,forward,2,warmup
1,3,forward,3,warmup
1,4,backward,0,cooldown
1,5,backward,1,cooldown
1,6,backward,2,cooldown
1,7,backward,3,cooldown
2,0,forward,0,warmup
2,1,forward,1,warmup
2,2,forward,2,warmup
2,3,forward,3,warmup
2,4,backward,0,cooldown
2,5,backward,1,cooldown
2,6,backward,2,cooldown
2,7,backward,3,cooldown
3,0,forward,0,warmup
3,1,forward,1,warmup
3,2,forward,2,warmup
3,3,forward,3,warmup
3,4,backward,0,cooldown
3,5,backward,1,cooldown
3,6,backward,2,cooldown
3,7,backward,3,cooldown
4,0,forward,0,warmup
4,1,forward,1,warmup
4,2,forward,2,warmup
4,3,forward,3,warmup
4,4,backward,0,cooldown
4,5,backward,1,cooldown
4,6,backward,2,cooldown
4,7,backward,3,cooldown
5,0,forward,0,warmup
5,1,forward,1,warmup
5,2,forward,2,warmup
5,3,forward,3,warmup
5,4,backward,0,cooldown
5,5,backward,1,cooldown
5,6,backward,2,cooldown
5,7,backward,3,cooldown
6,0,forward,0,warmup
6,1,forward,1,warmup
6,2,forward,2,warmup
6,3,forward,3,warmup
6,4,backward,0,cooldown
6,5,backward,1,cooldown
6,6,backward,2,cooldown
6,7,backward,3,cooldown
7,0,forward,0,warmup
7,1,forward,1,warmup
7,2,forward,2,warmup
7,3,forward,3,warmup
7,4,backward,0,cooldown
7,5,backward,1,cooldown
7,6,backward,2,cooldown
7,7,backward,3,cooldown
8,0,forward,0,warmup
8,1,forward,1,warmup
8,2,forward,2,warmup
8,3,forward,3,warmup
8,4,backward,0,cooldown
8,5,backward,1,cooldown
8,6,backward,2,cooldown
8,7,backward,3,cooldown
9,0,forward,0,warmup
9,1,forward,1,warmup
9,2,forward,2,warmup
9,3,forward,3,warmup
9,4,backward,0,cooldown
9,5,backward,1,cooldown
9,6,backward,2,cooldown
9,7,backward,3,cooldown
10,0,forward,0,warmup
10,1,forward,1,warmup
10,2,forward,2,warmup
10,3,forward,3,warmup
10,4,backward,0,cooldown
10,5,backward,1,cooldown
10,6,backward,2,cooldown
10,7,backward,3,cooldown
11,0,forward,0,warmup
11,1,forward,1,warmup
11,2,forward,2,warmup
11,3,forward,3,warmup
11,4,backward,0,cooldown
11,5,backward,1,cooldown
11,6,backward,2,cooldown
11,7,backward,3,cooldown
12,0,forward,0,warmup
12,1,forward,1,warmup
12,2,forward,2,warmup
12,3,forward,3,steady
12,4,backward,0,steady
12,5,backward,1,cooldown
12,6,backward,2,cooldown
12,7,backward,3,cooldown
13,0,forward,0,warmup
13,1,forward,1,warmup
13,2,forward,2,steady
13,3,backward,0,steady
13,4,forward,3,steady
13,5,backward,1,steady
13,6,backward,2,cooldown
13,7,backward,3,cooldown
14,0,forward,0,warmup
14,1,forward,1,steady
14,2,backward,0,steady
14,3,forward,2,steady
14,4,backward,1,steady
14,5,forward,3,steady
14,6,backward,2,steady
14,7,backward,3,cooldown
15,0,forward,0,steady
15,1,backward,0,steady
15,2,forward,1,steady
15,3,backward,1,steady
15,4,forward,2,steady
15,5,backward,2,steady
15,6,forward,3,steady
15,7,backward,3,steady
