iteration,node_id,source_model,kind,category,rank,pp_stage,pp_lane,microbatch,predicted_start_ns,predicted_end_ns,duration_ns,network_service_ns,software_completion_ns,group_key,dependency
55,virtual:world_rs_done,optimizer,virtual_join,world_rs_done,-1,-1,-1,-1,1785477763329070914,1785477763329070914,0,0,0,world,all_rs_calls
55,rank0:F0,pipeline,compute,forward,0,0,0,0,1785477744809471652,1785477744971060904,161589252,0,0,,
55,lane0:F0:s0->s1,pipeline,pp_message,forward,-1,0,0,0,1785477744971060904,1785477744975773250,4712346,4712346,0,,rank0:F0
55,rank0:F1,pipeline,compute,forward,0,0,0,1,1785477744975773250,1785477745134376394,158603144,0,0,,lane0:F0:s0->s1
55,rank16:F0,pipeline,compute,forward,16,1,0,0,1785477744975773250,1785477745301486799,325713549,0,0,,lane0:F0:s0->s1
55,lane0:F1:s0->s1,pipeline,pp_message,forward,-1,0,0,1,1785477745134376394,1785477745139088740,4712346,4712346,0,,rank0:F1
55,rank0:F2,pipeline,compute,forward,0,0,0,2,1785477745139088740,1785477745296765848,157677108,0,0,,lane0:F1:s0->s1
55,lane0:F2:s0->s1,pipeline,pp_message,forward,-1,0,0,2,1785477745296765848,1785477745301478194,4712346,4712346,0,,rank0:F2
55,rank0:F3,pipeline,compute,forward,0,0,0,3,1785477745301478194,1785477745459229095,157750901,0,0,,lane0:F2:s0->s1
55,lane0:F0:s1->s2,pipeline,pp_message,forward,-1,1,0,0,1785477745301486799,1785477745306199145,4712346,4712346,0,,rank16:F0
55,rank16:F1,pipeline,compute,forward,16,1,0,1,1785477745306199145,1785477745632042991,325843846,0,0,,lane0:F0:s1->s2
55,rank32:F0,pipeline,compute,forward,32,2,0,0,1785477745306199145,1785477745626663561,320464416,0,0,,lane0:F0:s1->s2
55,lane0:F3:s0->s1,pipeline,pp_message,forward,-1,0,0,3,1785477745459229095,1785477745463941441,4712346,4712346,0,,rank0:F3
55,lane0:F0:s2->s3,pipeline,pp_message,forward,-1,2,0,0,1785477745626663561,1785477745631375907,4712346,4712346,0,,rank32:F0
55,rank48:F0,pipeline,compute,forward,48,3,0,0,1785477745631375907,1785477745948702943,317327036,0,0,,lane0:F0:s2->s3
55,lane0:F1:s1->s2,pipeline,pp_message,forward,-1,1,0,1,1785477745632042991,1785477745636755337,4712346,4712346,0,,rank16:F1
55,rank16:F2,pipeline,compute,forward,16,1,0,2,1785477745636755337,1785477745961371856,324616519,0,0,,lane0:F1:s1->s2
55,rank32:F1,pipeline,compute,forward,32,2,0,1,1785477745636755337,1785477745959653139,322897802,0,0,,lane0:F1:s1->s2
55,lane0:F0:s3->s4,pipeline,pp_message,forward,-1,3,0,0,1785477745948702943,1785477745953415289,4712346,4712346,0,,rank48:F0
55,rank64:F0,pipeline,compute,forward,64,4,0,0,1785477745953415289,1785477746288801122,335385833,0,0,,lane0:F0:s3->s4
55,lane0:F1:s2->s3,pipeline,pp_message,forward,-1,2,0,1,1785477745959653139,1785477745964365485,4712346,4712346,0,,rank32:F1
55,lane0:F2:s1->s2,pipeline,pp_message,forward,-1,1,0,2,1785477745961371856,1785477745966084202,4712346,4712346,0,,rank16:F2
55,rank48:F1,pipeline,compute,forward,48,3,0,1,1785477745964365485,1785477746278575544,314210059,0,0,,lane0:F1:s2->s3
55,rank16:F3,pipeline,compute,forward,16,1,0,3,1785477745966084202,1785477746288590982,322506780,0,0,,lane0:F2:s1->s2
55,rank32:F2,pipeline,compute,forward,32,2,0,2,1785477745966084202,1785477746429147999,463063797,0,0,,lane0:F2:s1->s2
55,lane0:F1:s3->s4,pipeline,pp_message,forward,-1,3,0,1,1785477746278575544,1785477746283287890,4712346,4712346,0,,rank48:F1
55,lane0:F3:s1->s2,pipeline,pp_message,forward,-1,1,0,3,1785477746288590982,1785477746293303328,4712346,4712346,0,,rank16:F3
55,lane0:F0:s4->s5,pipeline,pp_message,forward,-1,4,0,0,1785477746288801122,1785477746293513468,4712346,4712346,0,,rank64:F0
55,rank64:F1,pipeline,compute,forward,64,4,0,1,1785477746293513468,1785477746610834156,317320688,0,0,,lane0:F0:s4->s5
55,rank80:F0,pipeline,compute,forward,80,5,0,0,1785477746293513468,1785477746608571185,315057717,0,0,,lane0:F0:s4->s5
55,lane0:F2:s2->s3,pipeline,pp_message,forward,-1,2,0,2,1785477746429147999,1785477746433860345,4712346,4712346,0,,rank32:F2
55,rank32:F3,pipeline,compute,forward,32,2,0,3,1785477746433860345,1785477746751120585,317260240,0,0,,lane0:F2:s2->s3
55,rank48:F2,pipeline,compute,forward,48,3,0,2,1785477746433860345,1785477746749184619,315324274,0,0,,lane0:F2:s2->s3
55,lane0:F0:s5->s6,pipeline,pp_message,forward,-1,5,0,0,1785477746608571185,1785477746613283531,4712346,4712346,0,,rank80:F0
55,lane0:F1:s4->s5,pipeline,pp_message,forward,-1,4,0,1,1785477746610834156,1785477746615546502,4712346,4712346,0,,rank64:F1
55,rank96:F0,pipeline,compute,forward,96,6,0,0,1785477746613283531,1785477746931244814,317961283,0,0,,lane0:F0:s5->s6
55,rank80:F1,pipeline,compute,forward,80,5,0,1,1785477746615546502,1785477746928614509,313068007,0,0,,lane0:F1:s4->s5
55,lane0:F2:s3->s4,pipeline,pp_message,forward,-1,3,0,2,1785477746749184619,1785477746753896965,4712346,4712346,0,,rank48:F2
55,lane0:F3:s2->s3,pipeline,pp_message,forward,-1,2,0,3,1785477746751120585,1785477746755832931,4712346,4712346,0,,rank32:F3
55,rank64:F2,pipeline,compute,forward,64,4,0,2,1785477746753896965,1785477747069732633,315835668,0,0,,lane0:F2:s3->s4
55,rank48:F3,pipeline,compute,forward,48,3,0,3,1785477746755832931,1785477747089861812,334028881,0,0,,lane0:F3:s2->s3
55,lane0:F1:s5->s6,pipeline,pp_message,forward,-1,5,0,1,1785477746928614509,1785477746933326855,4712346,4712346,0,,rank80:F1
55,lane0:F0:s6->s7,pipeline,pp_message,forward,-1,6,0,0,1785477746931244814,1785477746935957160,4712346,4712346,0,,rank96:F0
55,rank112:F0,pipeline,compute,forward,112,7,0,0,1785477746935957160,1785477747252916976,316959816,0,0,,lane0:F0:s6->s7
55,rank96:F1,pipeline,compute,forward,96,6,0,1,1785477746935957160,1785477747252794134,316836974,0,0,,lane0:F0:s6->s7
55,lane0:F2:s4->s5,pipeline,pp_message,forward,-1,4,0,2,1785477747069732633,1785477747074444979,4712346,4712346,0,,rank64:F2
55,rank80:F2,pipeline,compute,forward,80,5,0,2,1785477747074444979,1785477747427028713,352583734,0,0,,lane0:F2:s4->s5
55,lane0:F3:s3->s4,pipeline,pp_message,forward,-1,3,0,3,1785477747089861812,1785477747094574158,4712346,4712346,0,,rank48:F3
55,rank64:F3,pipeline,compute,forward,64,4,0,3,1785477747094574158,1785477747408068452,313494294,0,0,,lane0:F3:s3->s4
55,lane0:F1:s6->s7,pipeline,pp_message,forward,-1,6,0,1,1785477747252794134,1785477747257506480,4712346,4712346,0,,rank96:F1
55,lane0:F0:s7->s8,pipeline,pp_message,forward,-1,7,0,0,1785477747252916976,1785477747257629322,4712346,4712346,0,,rank112:F0
55,rank112:F1,pipeline,compute,forward,112,7,0,1,1785477747257629322,1785477747569819341,312190019,0,0,,lane0:F0:s7->s8
55,rank128:F0,pipeline,compute,forward,128,8,0,0,1785477747257629322,1785477747570714434,313085112,0,0,,lane0:F0:s7->s8
55,lane0:F3:s4->s5,pipeline,pp_message,forward,-1,4,0,3,1785477747408068452,1785477747412780798,4712346,4712346,0,,rank64:F3
55,lane0:F2:s5->s6,pipeline,pp_message,forward,-1,5,0,2,1785477747427028713,1785477747431741059,4712346,4712346,0,,rank80:F2
