iteration,rank,pp_stage,pp_lane,predecessor_node_id,predicted_lane_origin_ns,predicted_backward_done_relative_ns,predicted_backward_done_ns,observed_backward_done_ns,observed_first_rs_start_ns,measured_tail_launch_lag_ns,predicted_start_ns
55,0,0,0,rank0:B3,1785477744809471652,18252367772,1785477763061839424,1785477764772970005,1785477764789544563,16574558,1785477763078413982
55,1,0,1,rank1:B3,1785477744808791856,18248205129,1785477763056996985,1785477764773209724,1785477764789733123,16523399,1785477763073520384
55,2,0,2,rank2:B3,1785477744808224865,18256748090,1785477763064972955,1785477764772950025,1785477764789367105,16417080,1785477763081390035
55,3,0,3,rank3:B3,1785477744811134701,18252351069,1785477763063485770,1785477764772885794,1785477764789484959,16599165,1785477763080084935
55,4,0,4,rank4:B3,1785477744808924105,18261151899,1785477763070076004,1785477764772393268,1785477764788715384,16322116,1785477763086398120
55,5,0,5,rank5:B3,1785477744808609781,18263536700,1785477763072146481,1785477764772212091,1785477764788594100,16382009,1785477763088528490
55,6,0,6,rank6:B3,1785477744808565246,18251526806,1785477763060092052,1785477764772600357,1785477764789040579,16440222,1785477763076532274
55,7,0,7,rank7:B3,1785477744808446696,18249038743,1785477763057485439,1785477764772602594,1785477764788968258,16365664,1785477763073851103
55,8,0,8,rank8:B3,1785477744808618037,18396605372,1785477763205223409,1785477764894733458,1785477764911105030,16371572,1785477763221594981
55,9,0,9,rank9:B3,1785477744808590481,18418651924,1785477763227242405,1785477764893971529,1785477764910654349,16682820,1785477763243925225
55,10,0,10,rank10:B3,1785477744809248162,18416191119,1785477763225439281,1785477764893323371,1785477764909791349,16467978,1785477763241907259
55,11,0,11,rank11:B3,1785477744809005006,18417224400,1785477763226229406,1785477764893535045,1785477764910284837,16749792,1785477763242979198
55,12,0,12,rank12:B3,1785477744809228982,18417392662,1785477763226621644,1785477764893122814,1785477764909802355,16679541,1785477763243301185
55,13,0,13,rank13:B3,1785477744808336642,18417961461,1785477763226298103,1785477764892913799,1785477764909363300,16449501,1785477763242747604
55,14,0,14,rank14:B3,1785477744808877140,18409223428,1785477763218100568,1785477764894766641,1785477764911497271,16730630,1785477763234831198
55,15,0,15,rank15:B3,1785477744809154297,18408932746,1785477763218087043,1785477764894903349,1785477764911530568,16627219,1785477763234714262
55,16,1,0,rank16:B3,1785477744809471652,17842033390,1785477762651505042,1785477764269539444,1785477764375662000,106122556,1785477762757627598
55,17,1,1,rank17:B3,1785477744808791856,17837478597,1785477762646270453,1785477764269294727,1785477764375545415,106250688,1785477762752521141
55,18,1,2,rank18:B3,1785477744808224865,17846343311,1785477762654568176,1785477764268935923,1785477764375104210,106168287,1785477762760736463
55,19,1,3,rank19:B3,1785477744811134701,17842074475,1785477762653209176,1785477764268853498,1785477764375834789,106981291,1785477762760190467
55,20,1,4,rank20:B3,1785477744808924105,17850874284,1785477762659798389,1785477764269078015,1785477764374925690,105847675,1785477762765646064
55,21,1,5,rank21:B3,1785477744808609781,17853452715,1785477762662062496,1785477764268888899,1785477764374804854,105915955,1785477762767978451
55,22,1,6,rank22:B3,1785477744808565246,17842458540,1785477762651023786,1785477764268921927,1785477764376400000,107478073,1785477762758501859
55,23,1,7,rank23:B3,1785477744808446696,17840039828,1785477762648486524,1785477764269372014,1785477764376254916,106882902,1785477762755369426
55,24,1,8,rank24:B3,1785477744808618037,17984143123,1785477762792761160,1785477764388798141,1785477764495537813,106739672,1785477762899500832
55,25,1,9,rank25:B3,1785477744808590481,18007260436,1785477762815850917,1785477764391477661,1785477764495891676,104414015,1785477762920264932
55,26,1,10,rank26:B3,1785477744809248162,18003716861,1785477762812965023,1785477764387139946,1785477764494707136,107567190,1785477762920532213
55,27,1,11,rank27:B3,1785477744809005006,18004163389,1785477762813168395,1785477764386961998,1785477764493422956,106460958,1785477762919629353
55,28,1,12,rank28:B3,1785477744809228982,18004609255,1785477762813838237,1785477764386928289,1785477764493708504,106780215,1785477762920618452
55,29,1,13,rank29:B3,1785477744808336642,18005688509,1785477762814025151,1785477764387680778,1785477764493766302,106085524,1785477762920110675
55,30,1,14,rank30:B3,1785477744808877140,17996147553,1785477762805024693,1785477764387427554,1785477764495365149,107937595,1785477762912962288
55,31,1,15,rank31:B3,1785477744809154297,17995850924,1785477762805005221,1785477764388920722,1785477764495277034,106356312,1785477762911361533
55,32,2,0,rank32:B3,1785477744809471652,17096357526,1785477761905829178,1785477763429042068,1785477763554181538,125139470,1785477762030968648
55,33,2,1,rank33:B3,1785477744808791856,17091663907,1785477761900455763,1785477763429399931,1785477763553956732,124556801,1785477762025012564
55,34,2,2,rank34:B3,1785477744808224865,17101648053,1785477761909872918,1785477763428994267,1785477763553952293,124958026,1785477762034830944
55,35,2,3,rank35:B3,1785477744811134701,17095561334,1785477761906696035,1785477763428769253,1785477763554588307,125819054,1785477762032515089
55,36,2,4,rank36:B3,1785477744808924105,17101957151,1785477761910881256,1785477763429317632,1785477763552431370,123113738,1785477762033994994
55,37,2,5,rank37:B3,1785477744808609781,17106020173,1785477761914629954,1785477763428976253,1785477763552720635,123744382,1785477762038374336
55,38,2,6,rank38:B3,1785477744808565246,17097528375,1785477761906093621,1785477763428831093,1785477763554431598,125600505,1785477762031694126
55,39,2,7,rank39:B3,1785477744808446696,17093147549,1785477761901594245,1785477763428713759,1785477763554226171,125512412,1785477762027106657
55,40,2,8,rank40:B3,1785477744808618037,17250981396,1785477762059599433,1785477763562135045,1785477763668506713,106371668,1785477762165971101
55,41,2,9,rank41:B3,1785477744808590481,17271368135,1785477762079958616,1785477763562991348,1785477763669016426,106025078,1785477762185983694
55,42,2,10,rank42:B3,1785477744809248162,17272533463,1785477762081781625,1785477763561968364,1785477763668759045,106790681,1785477762188572306
55,43,2,11,rank43:B3,1785477744809005006,17273198476,1785477762082203482,1785477763562700415,1785477763668845457,106145042,1785477762188348524
55,44,2,12,rank44:B3,1785477744809228982,17273854589,1785477762083083571,1785477763562769837,1785477763669281489,106511652,1785477762189595223
55,45,2,13,rank45:B3,1785477744808336642,17274562245,1785477762082898887,1785477763561865909,1785477763669752962,107887053,1785477762190785940
55,46,2,14,rank46:B3,1785477744808877140,17265051404,1785477762073928544,1785477763562409852,1785477763669084477,106674625,1785477762180603169
55,47,2,15,rank47:B3,1785477744809154297,17263477618,1785477762072631915,1785477763562165112,1785477763669414636,107249524,1785477762179881439
55,48,3,0,rank48:B3,1785477744809471652,16389634276,1785477761199105928,1785477762628967181,1785477762735531346,106564165,1785477761305670093
55,49,3,1,rank49:B3,1785477744808791856,16384630678,1785477761193422534,1785477762628738548,1785477762735572265,106833717,1785477761300256251
55,50,3,2,rank50:B3,1785477744808224865,16393676321,1785477761201901186,1785477762627901161,1785477762734581494,106680333,1785477761308581519
55,51,3,3,rank51:B3,1785477744811134701,16388145698,1785477761199280399,1785477762627540351,1785477762734479230,106938879,1785477761306219278
55,52,3,4,rank52:B3,1785477744808924105,16394418198,1785477761203342303,1785477762627849902,1785477762735132739,107282837,1785477761310625140
55,53,3,5,rank53:B3,1785477744808609781,16398290319,1785477761206900100,1785477762628691482,1785477762735180370,106488888,1785477761313388988
55,54,3,6,rank54:B3,1785477744808565246,16390088443,1785477761198653689,1785477762628416107,1785477762735053334,106637227,1785477761305290916
55,55,3,7,rank55:B3,1785477744808446696,16385644078,1785477761194090774,1785477762627652032,1785477762735767405,108115373,1785477761302206147
