round,kind,end_ns,rank,start_ns,group_ready_ns,group_first_start_ns,observed_ranks,iteration,service_ns,pp_stage,group_size,group_key,group_end_ns,completion_advance_ns,behavior,arrival_wait_ns,payload_bytes,dependency,dependency_lag_ns,service_scale,predicted_start_ns,predicted_group_ready_ns,predicted_service_ns,predicted_group_end_ns,predicted_completion_advance_ns,predicted_end_ns
0,dp_ag0,1785477765038666530,0,1785477765026196977,1785477765026886772,1785477765026058723,16,55,11780520,0,16,dp_param_allgather:pg=1,1785477765038667292,762,dp_param_allgather,689795,148986880,world_rs_done,29520720,1.0,1785477763358591634,1785477763359281429,11780520,1785477763371061949,762,1785477763371061187
0,dp_ag0,1785477765038662688,1,1785477765026123080,1785477765026886772,1785477765026058723,16,55,11780520,0,16,dp_param_allgather:pg=1,1785477765038667292,4604,dp_param_allgather,763692,148986880,world_rs_done,29446823,1.0,1785477763358517737,1785477763359281429,11780520,1785477763371061949,4604,1785477763371057345
0,dp_ag0,1785477765038644455,2,1785477765026261014,1785477765026886772,1785477765026058723,16,55,11780520,0,16,dp_param_allgather:pg=1,1785477765038667292,22837,dp_param_allgather,625758,148986880,world_rs_done,29584757,1.0,1785477763358655671,1785477763359281429,11780520,1785477763371061949,22837,1785477763371039112
0,dp_ag0,1785477765038667292,3,1785477765026214680,1785477765026886772,1785477765026058723,16,55,11780520,0,16,dp_param_allgather:pg=1,1785477765038667292,0,dp_param_allgather,672092,148986880,world_rs_done,29538423,1.0,1785477763358609337,1785477763359281429,11780520,1785477763371061949,0,1785477763371061949
0,dp_ag0,1785477765038650458,4,1785477765026190070,1785477765026886772,1785477765026058723,16,55,11780520,0,16,dp_param_allgather:pg=1,1785477765038667292,16834,dp_param_allgather,696702,148986880,world_rs_done,29513813,1.0,1785477763358584727,1785477763359281429,11780520,1785477763371061949,16834,1785477763371045115
0,dp_ag0,1785477765038663478,5,1785477765026169079,1785477765026886772,1785477765026058723,16,55,11780520,0,16,dp_param_allgather:pg=1,1785477765038667292,3814,dp_param_allgather,717693,148986880,world_rs_done,29492822,1.0,1785477763358563736,1785477763359281429,11780520,1785477763371061949,3814,1785477763371058135
0,dp_ag0,1785477765038642957,6,1785477765026160944,1785477765026886772,1785477765026058723,16,55,11780520,0,16,dp_param_allgather:pg=1,1785477765038667292,24335,dp_param_allgather,725828,148986880,world_rs_done,29484687,1.0,1785477763358555601,1785477763359281429,11780520,1785477763371061949,24335,1785477763371037614
0,dp_ag0,1785477765038641866,7,1785477765026184668,1785477765026886772,1785477765026058723,16,55,11780520,0,16,dp_param_allgather:pg=1,1785477765038667292,25426,dp_param_allgather,702104,148986880,world_rs_done,29508411,1.0,1785477763358579325,1785477763359281429,11780520,1785477763371061949,25426,1785477763371036523
0,dp_ag0,1785477765038645138,8,1785477765026372156,1785477765026886772,1785477765026058723,16,55,11780520,0,16,dp_param_allgather:pg=1,1785477765038667292,22154,dp_param_allgather,514616,148986880,world_rs_done,29695899,1.0,1785477763358766813,1785477763359281429,11780520,1785477763371061949,22154,1785477763371039795
0,dp_ag0,1785477765038644614,9,1785477765026189513,1785477765026886772,1785477765026058723,16,55,11780520,0,16,dp_param_allgather:pg=1,1785477765038667292,22678,dp_param_allgather,697259,148986880,world_rs_done,29513256,1.0,1785477763358584170,1785477763359281429,11780520,1785477763371061949,22678,1785477763371039271
0,dp_ag0,1785477765038649146,10,1785477765026812673,1785477765026886772,1785477765026058723,16,55,11780520,0,16,dp_param_allgather:pg=1,1785477765038667292,18146,dp_param_allgather,74099,148986880,world_rs_done,30136416,1.0,1785477763359207330,1785477763359281429,11780520,1785477763371061949,18146,1785477763371043803
