kind,group_size,arrival_wait_ns,rank,service_ns,group_end_ns,round,behavior,observed_ranks,group_first_start_ns,completion_advance_ns,start_ns,group_ready_ns,iteration,end_ns,group_key,pp_stage,payload_bytes,dependency,dependency_lag_ns,service_scale,predicted_start_ns,predicted_group_ready_ns,predicted_service_ns,predicted_group_end_ns,predicted_completion_advance_ns,predicted_end_ns
dp_ag0,16,689795,0,11780520,1785477765038667292,0,dp_param_allgather,16,1785477765026058723,762,1785477765026196977,1785477765026886772,55,1785477765038666530,dp_param_allgather:pg=1,0,148986880,world_rs_done,29520720,1.0,1785477765004337188,1785477765005026983,11780520,1785477765016807503,762,1785477765016806741
dp_ag0,16,763692,1,11780520,1785477765038667292,0,dp_param_allgather,16,1785477765026058723,4604,1785477765026123080,1785477765026886772,55,1785477765038662688,dp_param_allgather:pg=1,0,148986880,world_rs_done,29446823,1.0,1785477765004263291,1785477765005026983,11780520,1785477765016807503,4604,1785477765016802899
dp_ag0,16,625758,2,11780520,1785477765038667292,0,dp_param_allgather,16,1785477765026058723,22837,1785477765026261014,1785477765026886772,55,1785477765038644455,dp_param_allgather:pg=1,0,148986880,world_rs_done,29584757,1.0,1785477765004401225,1785477765005026983,11780520,1785477765016807503,22837,1785477765016784666
dp_ag0,16,672092,3,11780520,1785477765038667292,0,dp_param_allgather,16,1785477765026058723,0,1785477765026214680,1785477765026886772,55,1785477765038667292,dp_param_allgather:pg=1,0,148986880,world_rs_done,29538423,1.0,1785477765004354891,1785477765005026983,11780520,1785477765016807503,0,1785477765016807503
dp_ag0,16,696702,4,11780520,1785477765038667292,0,dp_param_allgather,16,1785477765026058723,16834,1785477765026190070,1785477765026886772,55,1785477765038650458,dp_param_allgather:pg=1,0,148986880,world_rs_done,29513813,1.0,1785477765004330281,1785477765005026983,11780520,1785477765016807503,16834,1785477765016790669
dp_ag0,16,717693,5,11780520,1785477765038667292,0,dp_param_allgather,16,1785477765026058723,3814,1785477765026169079,1785477765026886772,55,1785477765038663478,dp_param_allgather:pg=1,0,148986880,world_rs_done,29492822,1.0,1785477765004309290,1785477765005026983,11780520,1785477765016807503,3814,1785477765016803689
dp_ag0,16,725828,6,11780520,1785477765038667292,0,dp_param_allgather,16,1785477765026058723,24335,1785477765026160944,1785477765026886772,55,1785477765038642957,dp_param_allgather:pg=1,0,148986880,world_rs_done,29484687,1.0,1785477765004301155,1785477765005026983,11780520,1785477765016807503,24335,1785477765016783168
dp_ag0,16,702104,7,11780520,1785477765038667292,0,dp_param_allgather,16,1785477765026058723,25426,1785477765026184668,1785477765026886772,55,1785477765038641866,dp_param_allgather:pg=1,0,148986880,world_rs_done,29508411,1.0,1785477765004324879,1785477765005026983,11780520,1785477765016807503,25426,1785477765016782077
dp_ag0,16,514616,8,11780520,1785477765038667292,0,dp_param_allgather,16,1785477765026058723,22154,1785477765026372156,1785477765026886772,55,1785477765038645138,dp_param_allgather:pg=1,0,148986880,world_rs_done,29695899,1.0,1785477765004512367,1785477765005026983,11780520,1785477765016807503,22154,1785477765016785349
dp_ag0,16,697259,9,11780520,1785477765038667292,0,dp_param_allgather,16,1785477765026058723,22678,1785477765026189513,1785477765026886772,55,1785477765038644614,dp_param_allgather:pg=1,0,148986880,world_rs_done,29513256,1.0,1785477765004329724,1785477765005026983,11780520,1785477765016807503,22678,1785477765016784825
dp_ag0,16,74099,10,11780520,1785477765038667292,0,dp_param_allgather,16,1785477765026058723,18146,1785477765026812673,1785477765026886772,55,1785477765038649146,dp_param_allgather:pg=1,0,148986880,world_rs_done,30136416,1.0,1785477765004952884,1785477765005026983,11780520,1785477765016807503,18146,1785477765016789357
dp_ag0,16,828049,11,11780520,1785477765038667292,0,dp_param_allgather,16,1785477765026058723,21209,1785477765026058723,1785477765026886772,55,1785477765038646083,dp_param_allgather:pg=1,0,148986880,world_rs_done,29382466,1.0,1785477765004198934,1785477765005026983,11780520,1785477765016807503,21209,1785477765016786294
dp_ag0,16,664917,12,11780520,1785477765038667292,0,dp_param_allgather,16,1785477765026058723,17553,1785477765026221855,1785477765026886772,55,1785477765038649739,dp_param_allgather:pg=1,0,148986880,world_rs_done,29545598,1.0,1785477765004362066,1785477765005026983,11780520,1785477765016807503,17553,1785477765016789950
dp_ag0,16,392113,13,11780520,1785477765038667292,0,dp_param_allgather,16,1785477765026058723,61524,1785477765026494659,1785477765026886772,55,1785477765038605768,dp_param_allgather:pg=1,0,148986880,world_rs_done,29818402,1.0,1785477765004634870,1785477765005026983,11780520,1785477765016807503,61524,1785477765016745979
dp_ag0,16,375354,14,11780520,1785477765038667292,0,dp_param_allgather,16,1785477765026058723,15909,1785477765026511418,1785477765026886772,55,1785477765038651383,dp_param_allgather:pg=1,0,148986880,world_rs_done,29835161,1.0,1785477765004651629,1785477765005026983,11780520,1785477765016807503,15909,1785477765016791594
