iteration,pp_stage,behavior,kind,round,group_key,group_size,observed_ranks,actual_first_start_ns,actual_ready_ns,actual_end_ns,predicted_first_start_ns,predicted_ready_ns,predicted_end_ns,baseline_service_ns,predicted_service_ns,dependency_lag_ns_min,dependency_lag_ns_max,payload_bytes,actual_arrival_skew_ns,predicted_arrival_skew_ns,actual_group_fct_ns,predicted_group_fct_ns
55,0,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=1,16,16,1785477765026058723,1785477765026886772,1785477765038667292,1785477765004198934,1785477765005026983,1785477765016807503,11780520,11780520,29382466,30210515,148986880.0,828049,828049,12608569,12608569
55,0,dp_param_allgather,dp_ag1,1,dp_param_allgather:pg=1,16,16,1785477765074595964,1785477765077909588,1785477765089457742,1785477765052736175,1785477765056049799,1785477765067597953,11548154,11548154,22343911,23803866,148986880.0,3313624,3313624,14861778,14861778
55,0,dp_grad_reduce_scatter,dp_rs,0,dp_grad_reduce_scatter:pg=1,16,16,1785477764788594100,1785477764911530568,1785477764935213996,1785477764755869576,1785477764889670779,1785477764913354207,23683428,23683428,0,0,4767580160.0,122936468,133801203,146619896,157484631
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1043,2,2,1785477765038663018,1785477765038677050,1785477765052222602,1785477765016803229,1785477765016817261,1785477765030362813,13545552,13545552,10520,17880,471859200.0,14032,14032,13559584,13559584
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1045,2,2,1785477765038655294,1785477765038698088,1785477765053385486,1785477765016795505,1785477765016838299,1785477765031525697,14687398,14687398,10680,35400,471859200.0,42794,42794,14730192,14730192
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1047,2,2,1785477765038655535,1785477765038660266,1785477765052383541,1785477765016795746,1785477765016800477,1785477765030523752,13723275,13723275,11080,11120,471859200.0,4731,4731,13728006,13728006
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1049,2,2,1785477765038656883,1785477765038678213,1785477765051878685,1785477765016797094,1785477765016818424,1785477765030018896,13200472,13200472,10800,10921,471859200.0,21330,21330,13221802,13221802
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1051,2,2,1785477765038664498,1785477765038710179,1785477765054356884,1785477765016804709,1785477765016850390,1785477765032497095,15646705,15646705,14040,60440,471859200.0,45681,45681,15692386,15692386
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1053,2,2,1785477765038616888,1785477765038675158,1785477765052452401,1785477765016757099,1785477765016815369,1785477765030592612,13777243,13777243,11120,11680,471859200.0,58270,58270,13835513,13835513
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1055,2,2,1785477765038653837,1785477765038667583,1785477765053241637,1785477765016794048,1785477765016807794,1785477765031381848,14574054,14574054,10880,16200,471859200.0,13746,13746,14587800,14587800
