request_id,first_release_ns,last_release_ns,last_flow_end_ns,collective_elapsed_ns,arrival_span_ns,tail_after_last_release_ns,source,simulator_commit,topology_hash
iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1:rel-eee33f1d96b9,0,133801203,162221317,162221317,133801203,28420114,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp1:dp_rs:round0:dp_grad_reduce_scatter:pg=3:rel-e285e1ed3259,0,131450601,150222603,150222603,131450601,18772002,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp2:dp_rs:round0:dp_grad_reduce_scatter:pg=5:rel-c2f93a0f917e,0,127807572,146448326,146448326,127807572,18640754,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp3:dp_rs:round0:dp_grad_reduce_scatter:pg=7:rel-5bfd64c993dc,0,142771620,161930288,161930288,142771620,19158668,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp4:dp_rs:round0:dp_grad_reduce_scatter:pg=9:rel-9936263543e5,0,169122866,187943742,187943742,169122866,18820876,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp5:dp_rs:round0:dp_grad_reduce_scatter:pg=11:rel-2b010a746237,0,191253836,210208628,210208628,191253836,18954792,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp6:dp_rs:round0:dp_grad_reduce_scatter:pg=13:rel-e007e807d741,0,197925508,216521492,216521492,197925508,18595984,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp7:dp_rs:round0:dp_grad_reduce_scatter:pg=15:rel-19b4c777b71a,0,212800605,231843026,231843026,212800605,19042421,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp8:dp_rs:round0:dp_grad_reduce_scatter:pg=17:rel-abcc3210628f,0,222529787,241331925,241331925,222529787,18802138,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp9:dp_rs:round0:dp_grad_reduce_scatter:pg=19:rel-6ab0890d91f5,0,180980819,203103403,203103403,180980819,22122584,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp10:dp_rs:round0:dp_grad_reduce_scatter:pg=21:rel-f00835d64bd8,0,163689211,182852325,182852325,163689211,19163114,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp11:dp_rs:round0:dp_grad_reduce_scatter:pg=23:rel-1d351c243f8d,0,177264102,196616922,196616922,177264102,19352820,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp12:dp_rs:round0:dp_grad_reduce_scatter:pg=25:rel-8c21098cf956,0,169479245,188292300,188292300,169479245,18813055,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp13:dp_rs:round0:dp_grad_reduce_scatter:pg=27:rel-1544ad2743d2,0,175227794,194284755,194284755,175227794,19056961,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp14:dp_rs:round0:dp_grad_reduce_scatter:pg=29:rel-420c95dd30c3,0,174932588,195563448,195563448,174932588,20630860,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp15:dp_rs:round0:dp_grad_reduce_scatter:pg=31:rel-644a1bf96e16,0,166305007,198651923,198651923,166305007,32346916,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1043:rel-3edb6df10d0f,0,69231,57657093,57657093,69231,57587862,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1045:rel-060f3f97d24e,0,60557,67117749,67117749,60557,67057192,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1047:rel-add20bb4a986,0,17466,64963475,64963475,17466,64946009,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1049:rel-45e0ac40d9fe,0,106936,68014479,68014479,106936,67907543,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1051:rel-682953038fbf,0,64399,67905078,67905078,64399,67840679,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1053:rel-1b037775be66,0,27798,65210945,65210945,27798,65183147,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1055:rel-f1d65da828a2,0,65718,67804002,67804002,65718,67738284,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1057:rel-69f287cc15be,0,171775,57989397,57989397,171775,57817622,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp1:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1059:rel-2afe772e0e28,0,139395,250645766,250645766,139395,250506371,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp1:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1061:rel-bb3f7ab23c96,0,157720,254849949,254849949,157720,254692229,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp1:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1063:rel-24b1075fef7f,0,150900,252883337,252883337,150900,252732437,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp1:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1065:rel-d9659fa15c73,0,25110,250033147,250033147,25110,250008037,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp1:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1067:rel-b2c47db54841,0,378311,255041508,255041508,378311,254663197,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp1:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1069:rel-ce6031e473de,0,7047,249115275,249115275,7047,249108228,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp1:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1071:rel-811b79c8a7f4,0,523118,258236430,258236430,523118,257713312,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp1:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1073:rel-5255528a9a39,0,123097,251324294,251324294,123097,251201197,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp2:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1075:rel-16df77b952d7,0,107951,243841402,243841402,107951,243733451,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp2:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1077:rel-5dca908e0c6b,0,131796,253762568,253762568,131796,253630772,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp2:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1079:rel-7eb527922249,0,114666,252276032,252276032,114666,252161366,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp2:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1081:rel-1e09968b6ab3,0,115419,253828641,253828641,115419,253713222,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp2:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1083:rel-fc7ba47441c8,0,410143,252567402,252567402,410143,252157259,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp2:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1085:rel-46b0ad4b264e,0,89522,255019465,255019465,89522,254929943,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp2:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1087:rel-e54eca9bcd4a,0,21982,250894904,250894904,21982,250872922,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp2:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1089:rel-f804234bc0bb,0,82873,253226396,253226396,82873,253143523,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp3:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1091:rel-f2ce49c10662,0,547330,250008191,250008191,547330,249460861,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp3:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1093:rel-c786080df1db,0,142007,261487854,261487854,142007,261345847,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp3:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1095:rel-890695343734,0,353210,249832292,249832292,353210,249479082,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp3:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1097:rel-5d4ec32402ec,0,265792,271896059,271896059,265792,271630267,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp3:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1099:rel-ddb1960efb5b,0,164158,250315134,250315134,164158,250150976,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp3:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1101:rel-b7f20d5b1645,0,64962,251171765,251171765,64962,251106803,mock_oisa_scale_1.2,mock,mock-target-cluster
iter55:pp3:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1103:rel-266b59edc53c,0,83763,249693995,249693995,83763,249610232,mock_oisa_scale_1.2,mock,mock-target-cluster
