arrival_wait_ns,group_key,service_ns,end_ns,group_size,completion_advance_ns,start_ns,group_first_start_ns,round,rank,iteration,pp_stage,group_ready_ns,group_end_ns,kind,behavior,observed_ranks,payload_bytes,dependency,dependency_lag_ns,predicted_start_ns,predicted_group_ready_ns,predicted_group_first_start_ns,service_scale,fct_group_id,fct_request_id,fct_source,oisa_collective_elapsed_ns,oisa_arrival_span_ns,oisa_tail_after_last_release_ns,predicted_collective_elapsed_ns,predicted_service_ns,predicted_group_end_ns,predicted_completion_advance_ns,completion_model,predicted_end_ns
689795,dp_param_allgather:pg=1,11780520,1785477765038666530,16,762,1785477765026196977,1785477765026058723,0,0,55,0,1785477765026886772,1785477765038667292,dp_ag0,dp_param_allgather,16,148986880,world_rs_done,29520720,1785477765020380654,1785477765021070449,1785477765020242400,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,mock_oisa_scale_1.2,14964673,828049,14136624,14964673,14136624,1785477765035207073,762,trace_group_end_lag_clamped,1785477765035206311
763692,dp_param_allgather:pg=1,11780520,1785477765038662688,16,4604,1785477765026123080,1785477765026058723,0,1,55,0,1785477765026886772,1785477765038667292,dp_ag0,dp_param_allgather,16,148986880,world_rs_done,29446823,1785477765020306757,1785477765021070449,1785477765020242400,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,mock_oisa_scale_1.2,14964673,828049,14136624,14964673,14136624,1785477765035207073,4604,trace_group_end_lag_clamped,1785477765035202469
625758,dp_param_allgather:pg=1,11780520,1785477765038644455,16,22837,1785477765026261014,1785477765026058723,0,2,55,0,1785477765026886772,1785477765038667292,dp_ag0,dp_param_allgather,16,148986880,world_rs_done,29584757,1785477765020444691,1785477765021070449,1785477765020242400,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,mock_oisa_scale_1.2,14964673,828049,14136624,14964673,14136624,1785477765035207073,22837,trace_group_end_lag_clamped,1785477765035184236
672092,dp_param_allgather:pg=1,11780520,1785477765038667292,16,0,1785477765026214680,1785477765026058723,0,3,55,0,1785477765026886772,1785477765038667292,dp_ag0,dp_param_allgather,16,148986880,world_rs_done,29538423,1785477765020398357,1785477765021070449,1785477765020242400,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,mock_oisa_scale_1.2,14964673,828049,14136624,14964673,14136624,1785477765035207073,0,trace_group_end_lag_clamped,1785477765035207073
696702,dp_param_allgather:pg=1,11780520,1785477765038650458,16,16834,1785477765026190070,1785477765026058723,0,4,55,0,1785477765026886772,1785477765038667292,dp_ag0,dp_param_allgather,16,148986880,world_rs_done,29513813,1785477765020373747,1785477765021070449,1785477765020242400,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,mock_oisa_scale_1.2,14964673,828049,14136624,14964673,14136624,1785477765035207073,16834,trace_group_end_lag_clamped,1785477765035190239
717693,dp_param_allgather:pg=1,11780520,1785477765038663478,16,3814,1785477765026169079,1785477765026058723,0,5,55,0,1785477765026886772,1785477765038667292,dp_ag0,dp_param_allgather,16,148986880,world_rs_done,29492822,1785477765020352756,1785477765021070449,1785477765020242400,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,mock_oisa_scale_1.2,14964673,828049,14136624,14964673,14136624,1785477765035207073,3814,trace_group_end_lag_clamped,1785477765035203259
725828,dp_param_allgather:pg=1,11780520,1785477765038642957,16,24335,1785477765026160944,1785477765026058723,0,6,55,0,1785477765026886772,1785477765038667292,dp_ag0,dp_param_allgather,16,148986880,world_rs_done,29484687,1785477765020344621,1785477765021070449,1785477765020242400,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,mock_oisa_scale_1.2,14964673,828049,14136624,14964673,14136624,1785477765035207073,24335,trace_group_end_lag_clamped,1785477765035182738
702104,dp_param_allgather:pg=1,11780520,1785477765038641866,16,25426,1785477765026184668,1785477765026058723,0,7,55,0,1785477765026886772,1785477765038667292,dp_ag0,dp_param_allgather,16,148986880,world_rs_done,29508411,1785477765020368345,1785477765021070449,1785477765020242400,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,mock_oisa_scale_1.2,14964673,828049,14136624,14964673,14136624,1785477765035207073,25426,trace_group_end_lag_clamped,1785477765035181647
514616,dp_param_allgather:pg=1,11780520,1785477765038645138,16,22154,1785477765026372156,1785477765026058723,0,8,55,0,1785477765026886772,1785477765038667292,dp_ag0,dp_param_allgather,16,148986880,world_rs_done,29695899,1785477765020555833,1785477765021070449,1785477765020242400,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,mock_oisa_scale_1.2,14964673,828049,14136624,14964673,14136624,1785477765035207073,22154,trace_group_end_lag_clamped,1785477765035184919
697259,dp_param_allgather:pg=1,11780520,1785477765038644614,16,22678,1785477765026189513,1785477765026058723,0,9,55,0,1785477765026886772,1785477765038667292,dp_ag0,dp_param_allgather,16,148986880,world_rs_done,29513256,1785477765020373190,1785477765021070449,1785477765020242400,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,mock_oisa_scale_1.2,14964673,828049,14136624,14964673,14136624,1785477765035207073,22678,trace_group_end_lag_clamped,1785477765035184395
