iteration,pp_stage,behavior,kind,round,group_key,group_size,observed_ranks,actual_first_start_ns,actual_ready_ns,actual_end_ns,predicted_first_start_ns,predicted_ready_ns,predicted_end_ns,baseline_service_ns,predicted_service_ns,fct_group_id,fct_request_id,fct_source,oisa_collective_elapsed_ns,oisa_tail_after_last_release_ns,predicted_collective_elapsed_ns,completion_model,dependency_lag_ns_min,dependency_lag_ns_max,payload_bytes,actual_arrival_skew_ns,predicted_arrival_skew_ns,actual_group_fct_ns,predicted_group_fct_ns
55,0,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=1,16,16,1785477765026058723,1785477765026886772,1785477765038667292,1785477765020242400,1785477765021070449,1785477765035207073,11780520,14136624,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,mock_oisa_scale_1.2,14964673,14136624,14964673,trace_group_end_lag_clamped,29382466,30210515,148986880.0,828049,828049,12608569,14964673
55,0,dp_param_allgather,dp_ag1,1,dp_param_allgather:pg=1,16,16,1785477765074595964,1785477765077909588,1785477765089457742,1785477765073775839,1785477765077578710,1785477765091436495,11548154,13857785,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-14d6fcda815c,mock_oisa_scale_1.2,17660656,13857785,17660656,trace_group_end_lag_clamped,22343911,23803866,148986880.0,3313624,3802871,14861778,17660656
55,0,dp_grad_reduce_scatter,dp_rs,0,dp_grad_reduce_scatter:pg=1,16,16,1785477764788594100,1785477764911530568,1785477764935213996,1785477764755869576,1785477764889670779,1785477764918090893,23683428,28420114,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1:rel-eee33f1d96b9,mock_oisa_scale_1.2,162221317,28420114,162221317,trace_group_end_lag_clamped,0,0,4767580160.0,122936468,133801203,146619896,162221317
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1043,2,2,1785477765038663018,1785477765038677050,1785477765052222602,1785477765035202799,1785477765035216831,1785477765051471493,13545552,16254662,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1043,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1043:rel-5a4de837dcfb,mock_oisa_scale_1.2,16268694,16254662,16268694,trace_group_end_lag_clamped,10520,17880,471859200.0,14032,14032,13559584,16268694
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1045,2,2,1785477765038655294,1785477765038698088,1785477765053385486,1785477765035195075,1785477765035237869,1785477765052862747,14687398,17624878,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1045,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1045:rel-2ba71f72ccf8,mock_oisa_scale_1.2,17667672,17624878,17667672,trace_group_end_lag_clamped,10680,35400,471859200.0,42794,42794,14730192,17667672
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1047,2,2,1785477765038655535,1785477765038660266,1785477765052383541,1785477765035195316,1785477765035200047,1785477765051667977,13723275,16467930,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1047,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1047:rel-2d4614edfbaf,mock_oisa_scale_1.2,16472661,16467930,16472661,trace_group_end_lag_clamped,11080,11120,471859200.0,4731,4731,13728006,16472661
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1049,2,2,1785477765038656883,1785477765038678213,1785477765051878685,1785477765035196664,1785477765035217994,1785477765051058560,13200472,15840566,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1049,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1049:rel-4a390925a6ed,mock_oisa_scale_1.2,15861896,15840566,15861896,trace_group_end_lag_clamped,10800,10921,471859200.0,21330,21330,13221802,15861896
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1051,2,2,1785477765038664498,1785477765038710179,1785477765054356884,1785477765035204279,1785477765035249960,1785477765054026006,15646705,18776046,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1051,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1051:rel-e64473bf8f18,mock_oisa_scale_1.2,18821727,18776046,18821727,trace_group_end_lag_clamped,14040,60440,471859200.0,45681,45681,15692386,18821727
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1053,2,2,1785477765038616888,1785477765038675158,1785477765052452401,1785477765035156669,1785477765035214939,1785477765051747631,13777243,16532692,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1053,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1053:rel-5b5257db7b88,mock_oisa_scale_1.2,16590962,16532692,16590962,trace_group_end_lag_clamped,11120,11680,471859200.0,58270,58270,13835513,16590962
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1055,2,2,1785477765038653837,1785477765038667583,1785477765053241637,1785477765035193618,1785477765035207364,1785477765052696229,14574054,17488865,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1055,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1055:rel-9907cd20fb9f,mock_oisa_scale_1.2,17502611,17488865,17502611,trace_group_end_lag_clamped,10880,16200,471859200.0,13746,13746,14587800,17502611
