iteration,pp_stage,behavior,kind,round,group_key,fct_group_id,group_size,observed_ranks,payload_bytes,reference_first_start_ns,reference_ready_ns,reference_group_end_ns,simulated_first_start_ns,simulated_ready_ns,simulated_group_end_ns,reference_tail_after_last_release_ns,simulated_tail_after_last_release_ns,network_tail_shift_ns,group_finish_shift_ns,iteration_drag_ns,hidden_by_slack_ns,downstream_slack_ns,exposure_ratio,fully_hidden,critical_before,critical_after
55,0,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,16,16,148986880,1785477765004198934,1785477765005026983,1785477765016807503,1785477765004198934,1785477765005026983,1785477765016807503,11780520,11780520,0,0,0,0,156218634,,False,False,False
55,0,dp_param_allgather,dp_ag1,1,dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,16,16,148986880,1785477765052736175,1785477765056049799,1785477765067597953,1785477765052736175,1785477765056049799,1785477765067597953,11548154,11548154,0,0,0,0,156218634,,False,False,False
55,0,dp_grad_reduce_scatter,dp_rs,0,dp_grad_reduce_scatter:pg=1,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1,16,16,4767580160,1785477764755869576,1785477764889670779,1785477764913354207,1785477764755869576,1785477764889670779,1785477764913354207,23683428,23683428,0,0,0,0,0,,False,False,False
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1043,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1043,2,2,471859200,1785477765016803229,1785477765016817261,1785477765030362813,1785477765016803229,1785477765016817261,1785477765030362813,13545552,13545552,0,0,0,0,158454138,,False,False,False
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1045,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1045,2,2,471859200,1785477765016795505,1785477765016838299,1785477765031525697,1785477765016795505,1785477765016838299,1785477765031525697,14687398,14687398,0,0,0,0,157105500,,False,False,False
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1047,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1047,2,2,471859200,1785477765016795746,1785477765016800477,1785477765030523752,1785477765016795746,1785477765016800477,1785477765030523752,13723275,13723275,0,0,0,0,157965252,,False,False,False
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1049,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1049,2,2,471859200,1785477765016797094,1785477765016818424,1785477765030018896,1785477765016797094,1785477765016818424,1785477765030018896,13200472,13200472,0,0,0,0,158637383,,False,False,False
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1051,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1051,2,2,471859200,1785477765016804709,1785477765016850390,1785477765032497095,1785477765016804709,1785477765016850390,1785477765032497095,15646705,15646705,0,0,0,0,156218634,,False,False,False
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1053,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1053,2,2,471859200,1785477765016757099,1785477765016815369,1785477765030592612,1785477765016757099,1785477765016815369,1785477765030592612,13777243,13777243,0,0,0,0,158157885,,False,False,False
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1055,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1055,2,2,471859200,1785477765016794048,1785477765016807794,1785477765031381848,1785477765016794048,1785477765016807794,1785477765031381848,14574054,14574054,0,0,0,0,157286777,,False,False,False
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1057,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1057,2,2,471859200,1785477765016793037,1785477765016798540,1785477765030392479,1785477765016793037,1785477765016798540,1785477765030392479,13593939,13593939,0,0,0,0,158256415,,False,False,False
55,0,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1043,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1043,2,2,471859200,1785477765067585639,1785477765067603913,1785477765080875787,1785477765067585639,1785477765067603913,1785477765080875787,13271874,13271874,0,0,0,0,158972472,,False,False,False
55,0,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1045,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1045,2,2,471859200,1785477765067582233,1785477765067601366,1785477765080852098,1785477765067582233,1785477765067601366,1785477765080852098,13250732,13250732,0,0,0,0,158996161,,False,False,False
55,0,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1047,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1047,2,2,471859200,1785477765067582995,1785477765067610618,1785477765082196538,1785477765067582995,1785477765067610618,1785477765082196538,14585920,14585920,0,0,0,0,157651721,,False,False,False
55,0,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1049,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1049,2,2,471859200,1785477765067583934,1785477765067602238,1785477765081535017,1785477765067583934,1785477765067602238,1785477765081535017,13932779,13932779,0,0,0,0,158313242,,False,False,False
55,0,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1051,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1051,2,2,471859200,1785477765067602837,1785477765067617702,1785477765083629625,1785477765067602837,1785477765067617702,1785477765083629625,16011923,16011923,0,0,0,0,156218634,,False,False,False
55,0,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1053,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1053,2,2,471859200,1785477765067544940,1785477765067646127,1785477765081290613,1785477765067544940,1785477765067646127,1785477765081290613,13644486,13644486,0,0,0,0,158557646,,False,False,False
55,0,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1055,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1055,2,2,471859200,1785477765067554504,1785477765067589623,1785477765080729552,1785477765067554504,1785477765067589623,1785477765080729552,13139929,13139929,0,0,0,0,159118707,,False,False,False
55,0,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1057,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1057,2,2,471859200,1785477765067592901,1785477765067595794,1785477765082246559,1785477765067592901,1785477765067595794,1785477765082246559,14650765,14650765,0,0,0,0,157601700,,False,False,False
55,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1043,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1043,2,2,1887436800,1785477764918073933,1785477764918143164,1785477764966133049,1785477764918073933,1785477764918143164,1785477764966133049,47989885,47989885,0,0,0,0,8683419,,False,False,False
55,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1045,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1045,2,2,1887436800,1785477764918171307,1785477764918231864,1785477764974112857,1785477764918171307,1785477764918231864,1785477764974112857,55880993,55880993,0,0,0,0,703611,,False,False,False
55,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1047,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1047,2,2,1887436800,1785477764918173418,1785477764918190884,1785477764972312558,1785477764918173418,1785477764918190884,1785477764972312558,54121674,54121674,0,0,0,0,2503910,,False,False,False
55,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1049,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1049,2,2,1887436800,1785477764918107766,1785477764918214702,1785477764974804321,1785477764918107766,1785477764918214702,1785477764974804321,56589619,56589619,0,0,0,0,12147,,False,False,False
55,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1051,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1051,2,2,1887436800,1785477764918218170,1785477764918282569,1785477764974816468,1785477764918218170,1785477764918282569,1785477764974816468,56533899,56533899,0,0,0,0,0,,False,False,False
55,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1053,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1053,2,2,1887436800,1785477764918061224,1785477764918089022,1785477764972408311,1785477764918061224,1785477764918089022,1785477764972408311,54319289,54319289,0,0,0,0,2408157,,False,False,False
55,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1055,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1055,2,2,1887436800,1785477764918132350,1785477764918198068,1785477764974646638,1785477764918132350,1785477764918198068,1785477764974646638,56448570,56448570,0,0,0,0,169830,,False,False,False
55,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1057,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1057,2,2,1887436800,1785477764918089054,1785477764918260829,1785477764966442181,1785477764918089054,1785477764918260829,1785477764966442181,48181352,48181352,0,0,0,0,8374287,,False,False,False
55,1,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=3,iter55:pp1:dp_ag0:round0:dp_param_allgather:pg=3,16,16,98621440,1785477765003562056,1785477765004871475,1785477765012527692,1785477765003562056,1785477765004871475,1785477765012527692,7656217,7656217,0,0,0,0,14649455,,False,False,False
55,1,dp_param_allgather,dp_ag1,1,dp_param_allgather:pg=3,iter55:pp1:dp_ag1:round1:dp_param_allgather:pg=3,16,16,98621440,1785477765151248832,1785477765159982835,1785477765167308024,1785477765151248832,1785477765159982835,1785477765167308024,7325189,7325189,0,0,0,0,14649455,,False,False,False
55,1,dp_grad_reduce_scatter,dp_rs,0,dp_grad_reduce_scatter:pg=3,iter55:pp1:dp_rs:round0:dp_grad_reduce_scatter:pg=3,16,16,3155886080,1785477764341406489,1785477764472857090,1785477764488500425,1785477764341406489,1785477764472857090,1785477764488500425,15643335,15643335,0,0,0,0,253616796,,False,False,False
55,1,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1059,iter55:pp1:edp_ag0:round0:expert_dp_param_allgather:pg=1059,2,2,1887436800,1785477765012515501,1785477765012525756,1785477765067053266,1785477765012515501,1785477765012525756,1785477765067053266,54527510,54527510,0,0,0,0,20180435,,False,False,False
55,1,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1061,iter55:pp1:edp_ag0:round0:expert_dp_param_allgather:pg=1061,2,2,1887436800,1785477765012496997,1785477765012531106,1785477765066579961,1785477765012496997,1785477765012531106,1785477765066579961,54048855,54048855,0,0,0,0,20577256,,False,False,False
55,1,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1063,iter55:pp1:edp_ag0:round0:expert_dp_param_allgather:pg=1063,2,2,1887436800,1785477765012469087,1785477765012541052,1785477765065109709,1785477765012469087,1785477765012541052,1785477765065109709,52568657,52568657,0,0,0,0,22000081,,False,False,False
55,1,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1065,iter55:pp1:edp_ag0:round0:expert_dp_param_allgather:pg=1065,2,2,1887436800,1785477765012505784,1785477765012532404,1785477765068202469,1785477765012505784,1785477765012532404,1785477765068202469,55670065,55670065,0,0,0,0,18271663,,False,False,False
55,1,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1067,iter55:pp1:edp_ag0:round0:expert_dp_param_allgather:pg=1067,2,2,1887436800,1785477765012467672,1785477765012534971,1785477765066837341,1785477765012467672,1785477765012534971,1785477765066837341,54302370,54302370,0,0,0,0,19962524,,False,False,False
55,1,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1069,iter55:pp1:edp_ag0:round0:expert_dp_param_allgather:pg=1069,2,2,1887436800,1785477765012436275,1785477765012526827,1785477765066792159,1785477765012436275,1785477765012526827,1785477765066792159,54265332,54265332,0,0,0,0,20354771,,False,False,False
55,1,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1071,iter55:pp1:edp_ag0:round0:expert_dp_param_allgather:pg=1071,2,2,1887436800,1785477765012447537,1785477765012536331,1785477765071476000,1785477765012447537,1785477765012536331,1785477765071476000,58939669,58939669,0,0,0,0,14649455,,False,False,False
55,1,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1073,iter55:pp1:edp_ag0:round0:expert_dp_param_allgather:pg=1073,2,2,1887436800,1785477765012511419,1785477765012540924,1785477765065788503,1785477765012511419,1785477765012540924,1785477765065788503,53247579,53247579,0,0,0,0,21260265,,False,False,False
55,1,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1059,iter55:pp1:edp_ag1:round1:expert_dp_param_allgather:pg=1059,2,2,1887436800,1785477765167284472,1785477765167287383,1785477765225198804,1785477765167284472,1785477765167287383,1785477765225198804,57911421,57911421,0,0,0,0,14649455,,False,False,False
55,1,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1061,iter55:pp1:edp_ag1:round1:expert_dp_param_allgather:pg=1061,2,2,1887436800,1785477765167249337,1785477765167316407,1785477765219547787,1785477765167249337,1785477765167316407,1785477765219547787,52231380,52231380,0,0,0,0,20300472,,False,False,False
55,1,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1063,iter55:pp1:edp_ag1:round1:expert_dp_param_allgather:pg=1063,2,2,1887436800,1785477765167287107,1785477765167311693,1785477765220814679,1785477765167287107,1785477765167311693,1785477765220814679,53502986,53502986,0,0,0,0,19033580,,False,False,False
