request_id,first_release_ns,last_release_ns,last_flow_end_ns,collective_elapsed_ns,arrival_span_ns,tail_after_last_release_ns,network_tail_after_last_release_ns,trace_calibration_residual_ns,software_residual_ns,simulator_bias_correction_ns,rank_network_done_offsets_ns,source,simulator_commit,topology_hash
iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1:rel-eee33f1d96b9,0,133801203,157484631,157484631,133801203,23683428,574243680,-550560252,0,-550560252,,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp1:dp_rs:round0:dp_grad_reduce_scatter:pg=3:rel-e285e1ed3259,0,131450601,147093936,147093936,131450601,15643335,380118965,-364475630,0,-364475630,,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp2:dp_rs:round0:dp_grad_reduce_scatter:pg=5:rel-c2f93a0f917e,0,127807572,143341534,143341534,127807572,15533962,380118965,-364585003,0,-364585003,,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp3:dp_rs:round0:dp_grad_reduce_scatter:pg=7:rel-5bfd64c993dc,0,142771620,158737177,158737177,142771620,15965557,380118965,-364153408,0,-364153408,,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp4:dp_rs:round0:dp_grad_reduce_scatter:pg=9:rel-9936263543e5,0,169122866,184806929,184806929,169122866,15684063,380118965,-364434902,0,-364434902,,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp5:dp_rs:round0:dp_grad_reduce_scatter:pg=11:rel-2b010a746237,0,191253836,207049496,207049496,191253836,15795660,380118965,-364323305,0,-364323305,,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp6:dp_rs:round0:dp_grad_reduce_scatter:pg=13:rel-e007e807d741,0,197925508,213422161,213422161,197925508,15496653,380118965,-364622312,0,-364622312,,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp7:dp_rs:round0:dp_grad_reduce_scatter:pg=15:rel-19b4c777b71a,0,212800605,228669289,228669289,212800605,15868684,380118965,-364250281,0,-364250281,,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp8:dp_rs:round0:dp_grad_reduce_scatter:pg=17:rel-abcc3210628f,0,222529787,238198235,238198235,222529787,15668448,380118965,-364450517,0,-364450517,,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp9:dp_rs:round0:dp_grad_reduce_scatter:pg=19:rel-6ab0890d91f5,0,180980819,199416306,199416306,180980819,18435487,380118965,-361683478,0,-361683478,,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp10:dp_rs:round0:dp_grad_reduce_scatter:pg=21:rel-f00835d64bd8,0,163689211,179658473,179658473,163689211,15969262,380118965,-364149703,0,-364149703,,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp11:dp_rs:round0:dp_grad_reduce_scatter:pg=23:rel-1d351c243f8d,0,177264102,193391452,193391452,177264102,16127350,380118965,-363991615,0,-363991615,,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp12:dp_rs:round0:dp_grad_reduce_scatter:pg=25:rel-8c21098cf956,0,169479245,185156791,185156791,169479245,15677546,380118965,-364441419,0,-364441419,,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp13:dp_rs:round0:dp_grad_reduce_scatter:pg=27:rel-1544ad2743d2,0,175227794,191108595,191108595,175227794,15880801,380118965,-364238164,0,-364238164,,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp14:dp_rs:round0:dp_grad_reduce_scatter:pg=29:rel-420c95dd30c3,0,174932588,192124971,192124971,174932588,17192383,380118965,-362926582,0,-362926582,,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp15:dp_rs:round0:dp_grad_reduce_scatter:pg=31:rel-644a1bf96e16,0,166305007,193260770,193260770,166305007,26955763,506439649,-479483886,0,-479483886,,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1043:rel-3edb6df10d0f,0,69231,48059116,48059116,69231,47989885,37792316,10197569,10197569,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1045:rel-060f3f97d24e,0,60557,55941550,55941550,60557,55880993,37792316,18088677,18088677,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1047:rel-add20bb4a986,0,17466,54139140,54139140,17466,54121674,37792316,16329358,16329358,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1049:rel-45e0ac40d9fe,0,106936,56696555,56696555,106936,56589619,37792316,18797303,18797303,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1051:rel-682953038fbf,0,64399,56598298,56598298,64399,56533899,37792316,18741583,18741583,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
