arrival_wait_ns,group_ready_ns,kind,behavior,group_size,service_ns,group_key,completion_advance_ns,round,end_ns,start_ns,group_end_ns,observed_ranks,group_first_start_ns,iteration,rank,pp_stage,payload_bytes,dependency,dependency_lag_ns,predicted_start_ns,predicted_group_ready_ns,predicted_group_first_start_ns,service_scale,fct_group_id,fct_request_id,fct_source,oisa_collective_elapsed_ns,oisa_arrival_span_ns,oisa_tail_after_last_release_ns,predicted_collective_elapsed_ns,predicted_service_ns,predicted_group_end_ns,provider_rank_done_offset_ns,predicted_completion_advance_ns,completion_model,predicted_end_ns
689795,1785477765026886772,dp_ag0,dp_param_allgather,16,11780520,dp_param_allgather:pg=1,762,0,1785477765038666530,1785477765026196977,1785477765038667292,16,1785477765026058723,55,0,0,148986880,world_rs_done,29520720,1785477765004337188,1785477765005026983,1785477765004198934,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,12608569,828049,11780520,12608569,11780520,1785477765016807503,-1,762,trace_group_end_lag_clamped,1785477765016806741
763692,1785477765026886772,dp_ag0,dp_param_allgather,16,11780520,dp_param_allgather:pg=1,4604,0,1785477765038662688,1785477765026123080,1785477765038667292,16,1785477765026058723,55,1,0,148986880,world_rs_done,29446823,1785477765004263291,1785477765005026983,1785477765004198934,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,12608569,828049,11780520,12608569,11780520,1785477765016807503,-1,4604,trace_group_end_lag_clamped,1785477765016802899
625758,1785477765026886772,dp_ag0,dp_param_allgather,16,11780520,dp_param_allgather:pg=1,22837,0,1785477765038644455,1785477765026261014,1785477765038667292,16,1785477765026058723,55,2,0,148986880,world_rs_done,29584757,1785477765004401225,1785477765005026983,1785477765004198934,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,12608569,828049,11780520,12608569,11780520,1785477765016807503,-1,22837,trace_group_end_lag_clamped,1785477765016784666
672092,1785477765026886772,dp_ag0,dp_param_allgather,16,11780520,dp_param_allgather:pg=1,0,0,1785477765038667292,1785477765026214680,1785477765038667292,16,1785477765026058723,55,3,0,148986880,world_rs_done,29538423,1785477765004354891,1785477765005026983,1785477765004198934,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,12608569,828049,11780520,12608569,11780520,1785477765016807503,-1,0,trace_group_end_lag_clamped,1785477765016807503
696702,1785477765026886772,dp_ag0,dp_param_allgather,16,11780520,dp_param_allgather:pg=1,16834,0,1785477765038650458,1785477765026190070,1785477765038667292,16,1785477765026058723,55,4,0,148986880,world_rs_done,29513813,1785477765004330281,1785477765005026983,1785477765004198934,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,12608569,828049,11780520,12608569,11780520,1785477765016807503,-1,16834,trace_group_end_lag_clamped,1785477765016790669
717693,1785477765026886772,dp_ag0,dp_param_allgather,16,11780520,dp_param_allgather:pg=1,3814,0,1785477765038663478,1785477765026169079,1785477765038667292,16,1785477765026058723,55,5,0,148986880,world_rs_done,29492822,1785477765004309290,1785477765005026983,1785477765004198934,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,12608569,828049,11780520,12608569,11780520,1785477765016807503,-1,3814,trace_group_end_lag_clamped,1785477765016803689
725828,1785477765026886772,dp_ag0,dp_param_allgather,16,11780520,dp_param_allgather:pg=1,24335,0,1785477765038642957,1785477765026160944,1785477765038667292,16,1785477765026058723,55,6,0,148986880,world_rs_done,29484687,1785477765004301155,1785477765005026983,1785477765004198934,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,12608569,828049,11780520,12608569,11780520,1785477765016807503,-1,24335,trace_group_end_lag_clamped,1785477765016783168
702104,1785477765026886772,dp_ag0,dp_param_allgather,16,11780520,dp_param_allgather:pg=1,25426,0,1785477765038641866,1785477765026184668,1785477765038667292,16,1785477765026058723,55,7,0,148986880,world_rs_done,29508411,1785477765004324879,1785477765005026983,1785477765004198934,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,12608569,828049,11780520,12608569,11780520,1785477765016807503,-1,25426,trace_group_end_lag_clamped,1785477765016782077
514616,1785477765026886772,dp_ag0,dp_param_allgather,16,11780520,dp_param_allgather:pg=1,22154,0,1785477765038645138,1785477765026372156,1785477765038667292,16,1785477765026058723,55,8,0,148986880,world_rs_done,29695899,1785477765004512367,1785477765005026983,1785477765004198934,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,12608569,828049,11780520,12608569,11780520,1785477765016807503,-1,22154,trace_group_end_lag_clamped,1785477765016785349
697259,1785477765026886772,dp_ag0,dp_param_allgather,16,11780520,dp_param_allgather:pg=1,22678,0,1785477765038644614,1785477765026189513,1785477765038667292,16,1785477765026058723,55,9,0,148986880,world_rs_done,29513256,1785477765004329724,1785477765005026983,1785477765004198934,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,12608569,828049,11780520,12608569,11780520,1785477765016807503,-1,22678,trace_group_end_lag_clamped,1785477765016784825
