iteration,rank,pp_stage,pp_lane,predecessor_node_id,predicted_lane_origin_ns,predicted_backward_done_relative_ns,predicted_backward_done_ns,observed_backward_done_ns,observed_first_rs_start_ns,measured_tail_launch_lag_ns,predicted_start_ns
55,0,0,0,rank0:B3,1785477744809471652,19934716964,1785477764744188616,1785477764772970005,1785477764789544563,16574558,1785477764760763174
55,1,0,1,rank1:B3,1785477744808791856,19930554321,1785477764739346177,1785477764773209724,1785477764789733123,16523399,1785477764755869576
55,2,0,2,rank2:B3,1785477744808224865,19939097282,1785477764747322147,1785477764772950025,1785477764789367105,16417080,1785477764763739227
55,3,0,3,rank3:B3,1785477744811134701,19934700261,1785477764745834962,1785477764772885794,1785477764789484959,16599165,1785477764762434127
55,4,0,4,rank4:B3,1785477744808924105,19943501091,1785477764752425196,1785477764772393268,1785477764788715384,16322116,1785477764768747312
55,5,0,5,rank5:B3,1785477744808609781,19945885892,1785477764754495673,1785477764772212091,1785477764788594100,16382009,1785477764770877682
55,6,0,6,rank6:B3,1785477744808565246,19933875998,1785477764742441244,1785477764772600357,1785477764789040579,16440222,1785477764758881466
55,7,0,7,rank7:B3,1785477744808446696,19931387935,1785477764739834631,1785477764772602594,1785477764788968258,16365664,1785477764756200295
55,8,0,8,rank8:B3,1785477744808618037,20041618469,1785477764850236506,1785477764894733458,1785477764911105030,16371572,1785477764866608078
55,9,0,9,rank9:B3,1785477744808590481,20062731953,1785477764871322434,1785477764893971529,1785477764910654349,16682820,1785477764888005254
55,10,0,10,rank10:B3,1785477744809248162,20061970491,1785477764871218653,1785477764893323371,1785477764909791349,16467978,1785477764887686631
55,11,0,11,rank11:B3,1785477744809005006,20063915981,1785477764872920987,1785477764893535045,1785477764910284837,16749792,1785477764889670779
55,12,0,12,rank12:B3,1785477744809228982,20062422282,1785477764871651264,1785477764893122814,1785477764909802355,16679541,1785477764888330805
55,13,0,13,rank13:B3,1785477744808336642,20062344849,1785477764870681491,1785477764892913799,1785477764909363300,16449501,1785477764887130992
55,14,0,14,rank14:B3,1785477744808877140,20052690575,1785477764861567715,1785477764894766641,1785477764911497271,16730630,1785477764878298345
55,15,0,15,rank15:B3,1785477744809154297,20054839549,1785477764863993846,1785477764894903349,1785477764911530568,16627219,1785477764880621065
55,16,1,0,rank16:B3,1785477744809471652,19430918738,1785477764240390390,1785477764269539444,1785477764375662000,106122556,1785477764346512946
55,17,1,1,rank17:B3,1785477744808791856,19426363945,1785477764235155801,1785477764269294727,1785477764375545415,106250688,1785477764341406489
55,18,1,2,rank18:B3,1785477744808224865,19435228659,1785477764243453524,1785477764268935923,1785477764375104210,106168287,1785477764349621811
55,19,1,3,rank19:B3,1785477744811134701,19430959823,1785477764242094524,1785477764268853498,1785477764375834789,106981291,1785477764349075815
