iteration,pp_stage,behavior,kind,round,group_key,group_size,observed_ranks,actual_first_start_ns,actual_ready_ns,actual_end_ns,predicted_first_start_ns,predicted_ready_ns,predicted_end_ns,baseline_service_ns,predicted_service_ns,fct_group_id,fct_request_id,fct_source,oisa_collective_elapsed_ns,oisa_tail_after_last_release_ns,predicted_collective_elapsed_ns,completion_model,dependency_lag_ns_min,dependency_lag_ns_max,payload_bytes,actual_arrival_skew_ns,predicted_arrival_skew_ns,actual_group_fct_ns,predicted_group_fct_ns
55,0,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=1,16,16,1785477765026058723,1785477765026886772,1785477765038667292,1785477765004198934,1785477765005026983,1785477765016807503,11780520,11780520,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,12608569,11780520,12608569,trace_group_end_lag_clamped,29382466,30210515,148986880.0,828049,828049,12608569,12608569
55,0,dp_param_allgather,dp_ag1,1,dp_param_allgather:pg=1,16,16,1785477765074595964,1785477765077909588,1785477765089457742,1785477765052736175,1785477765056049799,1785477765067597953,11548154,11548154,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-a9165bc30096,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,14861778,11548154,14861778,trace_group_end_lag_clamped,22343911,23803866,148986880.0,3313624,3313624,14861778,14861778
55,0,dp_grad_reduce_scatter,dp_rs,0,dp_grad_reduce_scatter:pg=1,16,16,1785477764788594100,1785477764911530568,1785477764935213996,1785477764755869576,1785477764889670779,1785477764913354207,23683428,23683428,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1:rel-eee33f1d96b9,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,157484631,23683428,157484631,trace_group_end_lag_clamped,0,0,4767580160.0,122936468,133801203,146619896,157484631
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1043,2,2,1785477765038663018,1785477765038677050,1785477765052222602,1785477765016803229,1785477765016817261,1785477765030362813,13545552,13545552,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1043,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1043:rel-5a4de837dcfb,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_param_allgather_g43_slot1,13559584,13545552,13559584,trace_group_end_lag_clamped,10520,17880,471859200.0,14032,14032,13559584,13559584
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1045,2,2,1785477765038655294,1785477765038698088,1785477765053385486,1785477765016795505,1785477765016838299,1785477765031525697,14687398,14687398,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1045,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1045:rel-2ba71f72ccf8,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_param_allgather_g43_slot1,14730192,14687398,14730192,trace_group_end_lag_clamped,10680,35400,471859200.0,42794,42794,14730192,14730192
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1047,2,2,1785477765038655535,1785477765038660266,1785477765052383541,1785477765016795746,1785477765016800477,1785477765030523752,13723275,13723275,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1047,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1047:rel-2d4614edfbaf,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_param_allgather_g43_slot1,13728006,13723275,13728006,trace_group_end_lag_clamped,11080,11120,471859200.0,4731,4731,13728006,13728006
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1049,2,2,1785477765038656883,1785477765038678213,1785477765051878685,1785477765016797094,1785477765016818424,1785477765030018896,13200472,13200472,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1049,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1049:rel-4a390925a6ed,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_param_allgather_g43_slot1,13221802,13200472,13221802,trace_group_end_lag_clamped,10800,10921,471859200.0,21330,21330,13221802,13221802
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1051,2,2,1785477765038664498,1785477765038710179,1785477765054356884,1785477765016804709,1785477765016850390,1785477765032497095,15646705,15646705,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1051,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1051:rel-e64473bf8f18,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_param_allgather_g43_slot1,15692386,15646705,15692386,trace_group_end_lag_clamped,14040,60440,471859200.0,45681,45681,15692386,15692386
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1053,2,2,1785477765038616888,1785477765038675158,1785477765052452401,1785477765016757099,1785477765016815369,1785477765030592612,13777243,13777243,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1053,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1053:rel-5b5257db7b88,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_param_allgather_g43_slot1,13835513,13777243,13835513,trace_group_end_lag_clamped,11120,11680,471859200.0,58270,58270,13835513,13835513
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1055,2,2,1785477765038653837,1785477765038667583,1785477765053241637,1785477765016794048,1785477765016807794,1785477765031381848,14574054,14574054,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1055,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1055:rel-9907cd20fb9f,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_param_allgather_g43_slot1,14587800,14574054,14587800,trace_group_end_lag_clamped,10880,16200,471859200.0,13746,13746,14587800,14587800
