iteration,node_id,kind,phase,microbatch,rank,pp_stage,pp_lane,src_rank,dst_rank,src_stage,dst_stage,sequence,region,duration_ns,trace_duration_ns,embedded_collective_adjustment_ns,network_service_ns,software_completion_ns,observed_start_ns,observed_end_ns,predicted_relative_start_ns,predicted_relative_end_ns,critical_predecessor,local_wait_ns,predicted_lane_origin_ns,predicted_start_ns,predicted_end_ns
55,rank0:F0,compute,forward,0,0,0,0,0,0,0,0,0,warmup,161589252,161589252,0,0,0,1.7854777448094717e+18,1.785477744971061e+18,0,161589252,,0,1785477744809471652,1785477744809471652,1785477744971060904
55,lane0:F0:s0->s1,pp_message,forward,0,-1,0,0,0,16,0,1,-1,p2p,4712346,0,0,4712346,0,,,161589252,166301598,rank0:F0,0,1785477744809471652,1785477744971060904,1785477744975773250
55,rank0:F1,compute,forward,1,0,0,0,0,0,0,0,1,warmup,158603144,158603144,0,0,0,1.7854777449764058e+18,1.7854777451350088e+18,166301598,324904742,lane0:F0:s0->s1,4712346,1785477744809471652,1785477744975773250,1785477745134376394
55,rank16:F0,compute,forward,0,16,1,0,16,16,1,1,0,warmup,325713549,325713549,0,0,0,1.7854777449763914e+18,1.7854777453021048e+18,166301598,492015147,lane0:F0:s0->s1,166301598,1785477744809471652,1785477744975773250,1785477745301486799
55,lane0:F1:s0->s1,pp_message,forward,1,-1,0,0,0,16,0,1,-1,p2p,4712346,0,0,4712346,0,,,324904742,329617088,rank0:F1,0,1785477744809471652,1785477745134376394,1785477745139088740
55,rank0:F2,compute,forward,2,0,0,0,0,0,0,0,2,warmup,157677108,157677108,0,0,0,1.7854777453132705e+18,1.7854777454709476e+18,329617088,487294196,lane0:F1:s0->s1,4712346,1785477744809471652,1785477745139088740,1785477745296765848
55,lane0:F2:s0->s1,pp_message,forward,2,-1,0,0,0,16,0,1,-1,p2p,4712346,0,0,4712346,0,,,487294196,492006542,rank0:F2,0,1785477744809471652,1785477745296765848,1785477745301478194
55,rank0:F3,compute,forward,3,0,0,0,0,0,0,0,3,warmup,157750901,157750901,0,0,0,1.785477745649481e+18,1.785477745807232e+18,492006542,649757443,lane0:F2:s0->s1,4712346,1785477744809471652,1785477745301478194,1785477745459229095
55,lane0:F0:s1->s2,pp_message,forward,0,-1,1,0,16,32,1,2,-1,p2p,4712346,0,0,4712346,0,,,492015147,496727493,rank16:F0,0,1785477744809471652,1785477745301486799,1785477745306199145
55,rank16:F1,compute,forward,1,16,1,0,16,16,1,1,1,warmup,325843846,325843846,0,0,0,1.7854777453131494e+18,1.7854777456389934e+18,496727493,822571339,lane0:F0:s1->s2,4712346,1785477744809471652,1785477745306199145,1785477745632042991
55,rank32:F0,compute,forward,0,32,2,0,32,32,2,2,0,warmup,320464416,320464416,0,0,0,1.7854777453081797e+18,1.785477745628644e+18,496727493,817191909,lane0:F0:s1->s2,496727493,1785477744809471652,1785477745306199145,1785477745626663561
55,lane0:F3:s0->s1,pp_message,forward,3,-1,0,0,0,16,0,1,-1,p2p,4712346,0,0,4712346,0,,,649757443,654469789,rank0:F3,0,1785477744809471652,1785477745459229095,1785477745463941441
55,lane0:F0:s2->s3,pp_message,forward,0,-1,2,0,32,48,2,3,-1,p2p,4712346,0,0,4712346,0,,,817191909,821904255,rank32:F0,0,1785477744809471652,1785477745626663561,1785477745631375907
55,rank48:F0,compute,forward,0,48,3,0,48,48,3,3,0,warmup,317327036,317327036,0,0,0,1.7854777456338575e+18,1.7854777459511844e+18,821904255,1139231291,lane0:F0:s2->s3,821904255,1785477744809471652,1785477745631375907,1785477745948702943
55,lane0:F1:s1->s2,pp_message,forward,1,-1,1,0,16,32,1,2,-1,p2p,4712346,0,0,4712346,0,,,822571339,827283685,rank16:F1,0,1785477744809471652,1785477745632042991,1785477745636755337
55,rank16:F2,compute,forward,2,16,1,0,16,16,1,1,2,warmup,324616519,324616519,0,0,0,1.7854777456494246e+18,1.785477745974041e+18,827283685,1151900204,lane0:F1:s1->s2,4712346,1785477744809471652,1785477745636755337,1785477745961371856
55,rank32:F1,compute,forward,1,32,2,0,32,32,2,2,1,warmup,322897802,322897802,0,0,0,1.7854777456441208e+18,1.7854777459670188e+18,827283685,1150181487,lane0:F1:s1->s2,10091776,1785477744809471652,1785477745636755337,1785477745959653139
