world,mb,left_stage,right_stage,module,left_cpu_ms,right_cpu_ms,cpu_delta_ms,left_gpu_ms,right_gpu_ms,gpu_delta_ms
224,0,5,6,重计算 Attention＋CP,12.552451,11.884525,-0.6679259999999996,187.51364990234376,185.2501083984375,-2.2635415039062536
224,0,5,6,反向 Attention＋CP,40.800174000000005,14.179419,-26.620755000000006,291.449451171875,283.52921923828126,-7.9202319335937545
224,0,5,6,重计算 EP分发,534.132765,533.041131,-1.091633999999999,22.4623154296875,15.0825458984375,-7.37976953125
224,0,5,6,重计算 EP合并,59.657223,47.612219,-12.045003999999999,0.63808837890625,0.62396435546875,-0.014124023437500077
224,0,5,6,反向 EP分发,22.656572,6.720399,-15.936173,0.6134853515625,0.5986455078125,-0.014839843749999915
224,0,5,6,反向 EP合并,59.703598,50.44535,-9.258248000000002,0.72764697265625,0.71404541015625,-0.013601562499999997
224,0,5,6,重计算 专家FC1,4.050881,2.366192,-1.6846890000000005,7.50902587890625,6.82005517578125,-0.6889707031250003
224,0,5,6,重计算 专家FC2,4.699730000000001,2.26526,-2.4344700000000006,4.0575576171875,3.73399169921875,-0.3235659179687502
224,0,5,6,反向 专家FC1,20.551883,3.668538,-16.883345,16.548146484375,14.93308251953125,-1.615063964843749
224,0,5,6,反向 专家FC2,7.392799999999999,3.819599,-3.573200999999999,8.96767919921875,7.84858544921875,-1.1190937500000002
224,1,5,6,重计算 Attention＋CP,29.189862,14.681792000000002,-14.50807,190.46503955078126,185.27425927734376,-5.190780273437497
224,1,5,6,反向 Attention＋CP,24.699977,17.437342,-7.2626349999999995,285.29823193359374,284.88901171875,-0.40922021484374227
224,1,5,6,重计算 EP分发,499.76648199999994,543.970429,44.20394700000003,72.00715087890624,18.5640302734375,-53.44312060546875
224,1,5,6,重计算 EP合并,33.13071,21.231951000000002,-11.898758999999998,0.65544482421875,0.64700439453125,-0.008440429687500028
224,1,5,6,反向 EP分发,11.950763,22.855722,10.904959,0.6024052734375,0.58568408203125,-0.016721191406250058
224,1,5,6,反向 EP合并,42.399265,67.413288,25.014022999999995,0.74856591796875,0.7404853515625,-0.0080805664062501
224,1,5,6,重计算 专家FC1,6.899622,2.466876,-4.432746,7.65302734375,6.969642578125,-0.6833847656250001
224,1,5,6,重计算 专家FC2,9.834841,2.71455,-7.120291000000001,4.21431640625,3.86918505859375,-0.34513134765624986
224,1,5,6,反向 专家FC1,19.177697,4.497853,-14.679844,17.1728701171875,15.4366171875,-1.7362529296875007
224,1,5,6,反向 专家FC2,8.275829000000002,3.897068,-4.378761000000002,8.85495703125,8.0840087890625,-0.7709482421875009
224,2,5,6,重计算 Attention＋CP,15.352696,11.805499000000001,-3.547196999999999,195.95676953125,186.8628349609375,-9.093934570312484
224,2,5,6,反向 Attention＋CP,21.674845999999995,13.112552999999998,-8.562292999999997,287.44841845703127,287.73862451171874,0.2902060546874736
224,2,5,6,重计算 EP分发,523.935427,531.4582449999999,7.522817999999916,29.38593603515625,5.76159375,-23.62434228515625
224,2,5,6,重计算 EP合并,29.2099,43.133160999999994,13.923260999999993,0.6688056640625,0.65168408203125,-0.017121582031250027
224,2,5,6,反向 EP分发,28.285442,7.81647,-20.468972,0.635646484375,0.61216357421875,-0.023482910156250036
224,2,5,6,反向 EP合并,54.039538,65.54263399999999,11.503095999999992,0.74924755859375,0.74432421875,-0.004923339843750041
224,2,5,6,重计算 专家FC1,5.21354,2.775159,-2.438381,7.43922509765625,6.8391630859375,-0.6000620117187498
224,2,5,6,重计算 专家FC2,7.962005999999999,1.929714,-6.032291999999999,4.08547705078125,3.756865234375,-0.32861181640625015
224,2,5,6,反向 专家FC1,13.340181999999999,2.742533,-10.597648999999999,16.35554638671875,15.4134931640625,-0.9420532226562504
224,2,5,6,反向 专家FC2,12.453976999999998,3.3015699999999994,-9.152406999999998,8.6929560546875,8.0152880859375,-0.6776679687499989
256,0,1,14,重计算 Attention＋CP,10.667164,9.106959,-1.5602049999999998,186.70229833984374,186.76614404296876,0.06384570312502547
256,0,1,14,反向 Attention＋CP,12.025134999999999,11.670795,-0.35433999999999877,282.274865234375,284.42449853515626,2.149633300781261
256,0,1,14,重计算 EP分发,529.321944,533.73401,4.412065999999982,4.5520283203125,5.506701171875,0.9546728515625
256,0,1,14,重计算 EP合并,26.671447,45.568481,18.897033999999998,0.75200537109375,0.6210830078125,-0.13092236328124995
256,0,1,14,反向 EP分发,8.20413,7.9083760000000005,-0.29575399999999874,0.7390048828125,0.58380078125,-0.15520410156249997
256,0,1,14,反向 EP合并,59.191542,50.913838,-8.277704,0.8334482421875,0.72396240234375,-0.10948583984375004
256,0,1,14,重计算 专家FC1,2.422539,1.6749550000000002,-0.7475839999999998,5.37571923828125,6.0849033203125,0.7091840820312498
256,0,1,14,重计算 专家FC2,2.351935,1.582176,-0.7697590000000001,2.89754052734375,3.37141357421875,0.4738730468750001
256,0,1,14,反向 专家FC1,2.998718,2.436404,-0.5623140000000002,12.35060986328125,13.0510087890625,0.7003989257812506
256,0,1,14,反向 专家FC2,3.122424,2.644588,-0.4778359999999999,7.00877099609375,7.02398828125,0.015217285156250426
256,1,1,14,重计算 Attention＋CP,9.673568999999999,8.623314,-1.0502549999999982,186.16305029296876,186.76664404296875,0.6035937499999875
256,1,1,14,反向 Attention＋CP,12.118106000000001,11.729661,-0.3884450000000008,279.9429306640625,284.2609750976562,4.318044433593741
256,1,1,14,重计算 EP分发,529.684884,537.4174859999999,7.732601999999929,7.42633349609375,6.13786181640625,-1.2884716796874995
256,1,1,14,重计算 EP合并,36.269847,23.181697999999997,-13.088149000000001,0.80040478515625,0.66148193359375,-0.13892285156250006
256,1,1,14,反向 EP分发,6.837956999999999,6.253116,-0.5848409999999991,0.78732470703125,0.572001953125,-0.21532275390625
256,1,1,14,反向 EP合并,61.971498999999994,49.745561,-12.225937999999992,0.910568359375,0.7678046875,-0.14276367187500005
256,1,1,14,重计算 专家FC1,2.058685,1.773053,-0.2856320000000001,6.0837626953125,6.31986376953125,0.23610107421874993
256,1,1,14,重计算 专家FC2,2.0391820000000003,1.5608879999999998,-0.47829400000000044,3.27170556640625,3.4818134765625,0.21010791015624974
256,1,1,14,反向 专家FC1,3.3457809999999997,2.4732960000000004,-0.8724849999999993,14.10234130859375,13.457529296875,-0.6448120117187504
256,1,1,14,反向 专家FC2,3.274237,2.660813,-0.6134239999999997,7.94253271484375,7.1258662109375,-0.8166665039062506
256,2,1,14,重计算 Attention＋CP,8.900626,8.781327000000001,-0.11929899999999982,185.5194365234375,186.209748046875,0.690311523437515
256,2,1,14,反向 Attention＋CP,11.230328000000002,11.890704,0.6603759999999976,281.2037348632812,283.98751953125,2.783784667968746
256,2,1,14,重计算 EP分发,532.839691,536.6447539999999,3.8050629999999046,7.0932080078125,6.6926279296875,-0.4005800781249995
256,2,1,14,重计算 EP合并,31.452185,35.572826,4.120640999999999,0.82408740234375,0.6551240234375,-0.16896337890625002
256,2,1,14,反向 EP分发,6.7358270000000005,5.681059,-1.0547680000000001,0.8344453125,0.57296240234375,-0.26148291015625
256,2,1,14,反向 EP合并,62.155477,49.09514600000001,-13.06033099999999,0.908447265625,0.74872265625,-0.159724609375
256,2,1,14,重计算 专家FC1,1.9413939999999998,1.691576,-0.24981799999999987,5.60519970703125,6.3125859375,0.7073862304687495
256,2,1,14,重计算 专家FC2,2.007237,1.583053,-0.4241839999999999,3.0872607421875,3.535212890625,0.4479521484375
256,2,1,14,反向 专家FC1,2.954941,2.505882,-0.44905899999999965,13.2980498046875,13.3453720703125,0.047322265625000526
256,2,1,14,反向 专家FC2,3.1305940000000003,2.737204,-0.39339000000000013,7.3055703125,6.9083046875,-0.3972656250000002
256,3,1,14,重计算 Attention＋CP,8.360922,8.211564,-0.1493580000000012,185.1702880859375,187.549568359375,2.3792802734375016
256,3,1,14,反向 Attention＋CP,10.756721,11.031804999999999,0.2750839999999979,281.74592041015626,285.83746142578127,4.091541015625012
256,3,1,14,重计算 EP分发,534.3605299999999,546.102611,11.742081000000098,6.70040234375,4.0524130859375,-2.6479892578125
256,3,1,14,重计算 EP合并,31.546794,28.824354,-2.722439999999999,0.7183662109375,0.6085625,-0.10980371093749997
256,3,1,14,反向 EP分发,6.9810430000000006,7.439072,0.4580289999999998,0.72536474609375,0.5783623046875,-0.14700244140624996
256,3,1,14,反向 EP合并,63.683526,51.754566999999994,-11.928959000000006,0.79640576171875,0.7057236328125,-0.09068212890625005
256,3,1,14,重计算 专家FC1,1.829736,1.6703430000000001,-0.1593929999999999,5.493236328125,5.76102001953125,0.26778369140625014
256,3,1,14,重计算 专家FC2,1.6807029999999998,1.50801,-0.17269299999999976,2.99454150390625,3.197931640625,0.20339013671874984
256,3,1,14,反向 专家FC1,2.7556700000000003,2.383822,-0.3718480000000004,12.797244140625,12.86229052734375,0.06504638671875007
