key,formal_direct_nodes,related_fine_nodes,related_eligible_positive_nodes,stages,reason,source_context_layers
backward|dense|dense|exposed_gap|before_cp1,0,48,48,0,internal_nodes_use_fine_schema,0
backward|dense|dense|exposed_gap|before_cp2,0,48,48,0,internal_nodes_use_fine_schema,0
backward|dense|dense|exposed_gap|before_cp3,0,48,48,0,internal_nodes_use_fine_schema,0
backward|dense|dense|exposed_gap|before_cp4,0,48,48,0,internal_nodes_use_fine_schema,0
backward|dense|dense|exposed_gap|before_cp5,0,48,48,0,internal_nodes_use_fine_schema,0
backward|dense|dense|exposed_gap|before_cp6,0,48,48,0,internal_nodes_use_fine_schema,0
backward|dense|dense|exposed_gap|before_cp7,0,48,48,0,internal_nodes_use_fine_schema,0
backward|dense|dense|exposed_gap|before_cp8,0,48,48,0,internal_nodes_use_fine_schema,0
backward|dense|dense|overlap_with_collective|cp0,0,48,48,0,internal_nodes_use_fine_schema,0
backward|dense|dense|overlap_with_collective|cp1,0,48,48,0,internal_nodes_use_fine_schema,0
backward|dense|dense|overlap_with_collective|cp2,0,48,48,0,internal_nodes_use_fine_schema,0
backward|dense|dense|overlap_with_collective|cp4,0,48,48,0,internal_nodes_use_fine_schema,0
backward|dense|dense|overlap_with_collective|cp5,0,48,48,0,internal_nodes_use_fine_schema,0
backward|dense|dense|overlap_with_collective|cp6,0,48,48,0,internal_nodes_use_fine_schema,0
backward|dense|dense|overlap_with_collective|cp7,0,48,48,0,internal_nodes_use_fine_schema,0
backward|dense|dense|overlap_with_collective|cp8,0,48,32,0,internal_nodes_use_fine_schema,0
backward|dense|dense_to_step_exit|exposed_gap|step_exit,48,0,0,0,direct_boundary_key_retained,0
backward|dense|moe_to_dense|exposed_gap|before_cp0,0,48,48,0,internal_nodes_use_fine_schema,0
backward|moe|moe|exposed_gap|before_cp1,0,1824,1824,1|2|3|4|5|6|7|8|9|10|11|12|13,internal_nodes_use_fine_schema,2|3|4|6|7|8|10|11|12|14|15|16|18|19|20|22|23|24|26|27|28|30|31|32|34|35|36|38|39|40|42|43|44|46|47|48|50|51|52|54|55|56|58
backward|moe|moe|exposed_gap|before_cp2,0,1872,1536,0|1|2|3|4|5|6|7|8|9|10|11|12|13,internal_nodes_use_fine_schema,1|2|3|4|6|7|8|10|11|12|14|15|16|18|19|20|22|23|24|26|27|28|30|31|32|34|35|36|38|39|40|42|43|44|46|47|48|50|51|52|54|55|56|58|59
backward|moe|moe|exposed_gap|before_cp3,0,2448,2448,0|1|2|3|4|5|6|7|8|9|10|11|12|13,internal_nodes_use_fine_schema,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
backward|moe|moe|exposed_gap|before_cp4,0,2448,2448,0|1|2|3|4|5|6|7|8|9|10|11|12|13,internal_nodes_use_fine_schema,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
backward|moe|moe|exposed_gap|before_cp6,0,2448,2448,0|1|2|3|4|5|6|7|8|9|10|11|12|13,internal_nodes_use_fine_schema,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
backward|moe|moe|exposed_gap|before_cp7,0,2448,2448,0|1|2|3|4|5|6|7|8|9|10|11|12|13,internal_nodes_use_fine_schema,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
backward|moe|moe|exposed_gap|before_cp8,0,2448,2400,0|1|2|3|4|5|6|7|8|9|10|11|12|13,internal_nodes_use_fine_schema,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
backward|moe|moe|exposed_gap|before_ep_combine_backward,0,2448,2448,0|1|2|3|4|5|6|7|8|9|10|11|12|13,internal_nodes_use_fine_schema,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
backward|moe|moe|exposed_gap|before_ep_dispatch_backward,0,2448,2448,0|1|2|3|4|5|6|7|8|9|10|11|12|13,internal_nodes_use_fine_schema,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
backward|moe|moe|exposed_gap|before_ep_recompute_combine,0,2448,2448,0|1|2|3|4|5|6|7|8|9|10|11|12|13,internal_nodes_use_fine_schema,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
backward|moe|moe|exposed_gap|before_ep_recompute_dispatch,0,2448,2448,0|1|2|3|4|5|6|7|8|9|10|11|12|13,internal_nodes_use_fine_schema,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
backward|moe|moe|overlap_with_collective|cp0,0,2448,2448,0|1|2|3|4|5|6|7|8|9|10|11|12|13,internal_nodes_use_fine_schema,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
backward|moe|moe|overlap_with_collective|cp1,0,2448,2448,0|1|2|3|4|5|6|7|8|9|10|11|12|13,internal_nodes_use_fine_schema,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
backward|moe|moe|overlap_with_collective|cp2,0,2448,2448,0|1|2|3|4|5|6|7|8|9|10|11|12|13,internal_nodes_use_fine_schema,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
