key_format,timing_component,timing_source,nodes,positive_compute_nodes
(empty),collective_max_join,v62_overlap_protocol,47136,0
(empty),pp_trace_wall,sealed_v54_pp,624,0
(empty),structural_operator_zero_cost,cost_carried_by_physical_slot_token,146432,0
(empty),tail_ag0_completion,sealed_v54_tail_collective,126,0
(empty),tail_ag1_completion,sealed_v54_tail_collective,126,0
(empty),tail_rank_release_delay,sealed_v54_rank_release,224,0
(empty),tail_rs_completion,sealed_v54_tail_collective,126,0
(empty),zero_duration_dependency,v631_explicit_barrier_structure,14,0
(empty),zero_duration_dependency,v63_dependency_structure,1,0
(empty),zero_duration_dependency,v66_optimizer_post_ag0_join,14,0
(empty),zero_duration_dependency,v6_structure,2087,0
B2B,program_order_zero_duration,backward_requires_activation_and_downstream_gradient,400,0
F2F,program_order_zero_duration,static_1f1b_blocking_pp_api,400,0
backward,physical_exposed_slot_clock,source256_trace_iterations_85_100_median,48,48
backward,physical_step_exit_clock,source256_trace_iterations_85_100_median,48,48
backward,physical_step_exit_clock,v61_physical_slot_active_union,624,0
compute_gap,physical_exposed_slot_clock,source256_exact_global_layer_compute_plus_local_gap,47088,38544
compute_overlap,physical_overlap_slot_clock,source256_exact_global_layer_compute_overlap,32352,32320
forward,physical_step_exit_clock,source256_trace_iterations_85_100_median,48,48
global_control_completion_tail,global_control_completion_tail,source256_tail_after_last_arrival_median,2,0
local_completion,local_collective_completion,source256_exact_global_layer_local_completion,47136,0
optimizer_ar0_to_ar1_compute,optimizer_ar0_to_ar1_compute,source256_optimizer_phase_segment_fraction,224,224
optimizer_post_ag0_compute,optimizer_post_ag0_compute,source256_optimizer_phase_segment_remainder,224,224
optimizer_pre_ag0_compute,optimizer_pre_ag0_compute,source256_optimizer_phase_segment_fraction,224,224
pp_gradient:receiver0:lane0:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane0:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane0:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane10:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
