variant,phase,MAPE_change_pp,predicted_change_ms,regression
frozen_v685,entry,0.0,0.0,False
frozen_v685,onef1b,0.0,0.0,False
frozen_v685,tail,0.0,0.0,False
frozen_v685,outer,0.0,0.0,False
fine_both,entry,0.0,0.0,False
fine_both,onef1b,-0.7791603321402967,167.99440599999798,False
fine_both,tail,0.5197047103986705,3.859427999999866,True
fine_both,outer,0.0,0.0,False
fine_exposed_only,entry,0.0,0.0,False
fine_exposed_only,onef1b,-0.7183295331230237,154.87870499999917,False
fine_exposed_only,tail,0.645983528393387,4.79719900000066,True
fine_exposed_only,outer,0.0,0.0,False
fine_overlap_only,entry,0.0,0.0,False
fine_overlap_only,onef1b,-0.06212364993366393,13.394452000000456,False
fine_overlap_only,tail,-0.16381500411488759,-1.216521999995166,False
fine_overlap_only,outer,0.0,0.0,False
