line_number,evidence_kind,field,value_literal,source_line_sha256,excerpt,deployment_revision_independently_verified,source_path,source_sha256
94,runtime_config_dump,tensor_model_parallel_size,1,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,tensor_model_parallel_size = 1,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,pipeline_model_parallel_size,16,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,pipeline_model_parallel_size = 16,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,virtual_pipeline_model_parallel_size,None,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,virtual_pipeline_model_parallel_size = None,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,sequence_parallel,False,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,sequence_parallel = False,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,context_parallel_size,2,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,context_parallel_size = 2,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,expert_model_parallel_size,8,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,expert_model_parallel_size = 8,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,fp16,False,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,fp16 = False,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,bf16,True,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,bf16 = True,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,params_dtype,torch.bfloat16,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,params_dtype = torch.bfloat16,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,gradient_accumulation_fusion,True,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,gradient_accumulation_fusion = True,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,overlap_moe_expert_parallel_comm,False,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,overlap_moe_expert_parallel_comm = False,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
