field,declared_value,observed_values_json,status
num_layers,52,"[""52""]",EXACT_LITERAL_MATCH
hidden_size,5120,"[""5120""]",EXACT_LITERAL_MATCH
num_attention_heads,128,"[""128""]",EXACT_LITERAL_MATCH
num_experts,160,[],NOT_OBSERVED
moe_router_topk,6,"[""6""]",EXACT_LITERAL_MATCH
micro_batch_size,2,[],NOT_OBSERVED
global_batch_size,48,[],NOT_OBSERVED
seq_length,8192,[],NOT_OBSERVED
world_size,224,[],NOT_OBSERVED
tensor_model_parallel_size,1,"[""1""]",EXACT_LITERAL_MATCH
pipeline_model_parallel_size,14,"[""14""]",EXACT_LITERAL_MATCH
context_parallel_size,2,"[""2""]",EXACT_LITERAL_MATCH
expert_model_parallel_size,8,"[""8""]",EXACT_LITERAL_MATCH
data_parallel_size,8,[],NOT_OBSERVED
