line_number,evidence_kind,field,value_literal,source_line_sha256,excerpt,deployment_revision_independently_verified,source_path,source_sha256,scope
100,runtime_config_dump,tensor_model_parallel_size,1,e5655c3e1bf24e1b5695763930533d4cd9a18bd589454759bcd1a696af593c54,tensor_model_parallel_size = 1,False,/home/zjb/Desktop/fabric-data-analysis/fabric-data-analysis-raw/0731_224gpu_pp14_cp2_a2a/extracted/framework/2026-07-30-09:38/worker33020/2026-07-30_0938/tp1_pp14_dp_mbs2_numbs_gbs48_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.20.log,32e167f41c8281b8f0711c4dbf3d51dd6a815a24caea87c4a01d03d9a375d744,evaluator_only_NEVER_MODEL_FIT
100,runtime_config_dump,pipeline_model_parallel_size,14,e5655c3e1bf24e1b5695763930533d4cd9a18bd589454759bcd1a696af593c54,pipeline_model_parallel_size = 14,False,/home/zjb/Desktop/fabric-data-analysis/fabric-data-analysis-raw/0731_224gpu_pp14_cp2_a2a/extracted/framework/2026-07-30-09:38/worker33020/2026-07-30_0938/tp1_pp14_dp_mbs2_numbs_gbs48_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.20.log,32e167f41c8281b8f0711c4dbf3d51dd6a815a24caea87c4a01d03d9a375d744,evaluator_only_NEVER_MODEL_FIT
100,runtime_config_dump,virtual_pipeline_model_parallel_size,None,e5655c3e1bf24e1b5695763930533d4cd9a18bd589454759bcd1a696af593c54,virtual_pipeline_model_parallel_size = None,False,/home/zjb/Desktop/fabric-data-analysis/fabric-data-analysis-raw/0731_224gpu_pp14_cp2_a2a/extracted/framework/2026-07-30-09:38/worker33020/2026-07-30_0938/tp1_pp14_dp_mbs2_numbs_gbs48_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.20.log,32e167f41c8281b8f0711c4dbf3d51dd6a815a24caea87c4a01d03d9a375d744,evaluator_only_NEVER_MODEL_FIT
100,runtime_config_dump,sequence_parallel,False,e5655c3e1bf24e1b5695763930533d4cd9a18bd589454759bcd1a696af593c54,sequence_parallel = False,False,/home/zjb/Desktop/fabric-data-analysis/fabric-data-analysis-raw/0731_224gpu_pp14_cp2_a2a/extracted/framework/2026-07-30-09:38/worker33020/2026-07-30_0938/tp1_pp14_dp_mbs2_numbs_gbs48_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.20.log,32e167f41c8281b8f0711c4dbf3d51dd6a815a24caea87c4a01d03d9a375d744,evaluator_only_NEVER_MODEL_FIT
100,runtime_config_dump,context_parallel_size,2,e5655c3e1bf24e1b5695763930533d4cd9a18bd589454759bcd1a696af593c54,context_parallel_size = 2,False,/home/zjb/Desktop/fabric-data-analysis/fabric-data-analysis-raw/0731_224gpu_pp14_cp2_a2a/extracted/framework/2026-07-30-09:38/worker33020/2026-07-30_0938/tp1_pp14_dp_mbs2_numbs_gbs48_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.20.log,32e167f41c8281b8f0711c4dbf3d51dd6a815a24caea87c4a01d03d9a375d744,evaluator_only_NEVER_MODEL_FIT
100,runtime_config_dump,expert_model_parallel_size,8,e5655c3e1bf24e1b5695763930533d4cd9a18bd589454759bcd1a696af593c54,expert_model_parallel_size = 8,False,/home/zjb/Desktop/fabric-data-analysis/fabric-data-analysis-raw/0731_224gpu_pp14_cp2_a2a/extracted/framework/2026-07-30-09:38/worker33020/2026-07-30_0938/tp1_pp14_dp_mbs2_numbs_gbs48_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.20.log,32e167f41c8281b8f0711c4dbf3d51dd6a815a24caea87c4a01d03d9a375d744,evaluator_only_NEVER_MODEL_FIT
100,runtime_config_dump,fp16,False,e5655c3e1bf24e1b5695763930533d4cd9a18bd589454759bcd1a696af593c54,fp16 = False,False,/home/zjb/Desktop/fabric-data-analysis/fabric-data-analysis-raw/0731_224gpu_pp14_cp2_a2a/extracted/framework/2026-07-30-09:38/worker33020/2026-07-30_0938/tp1_pp14_dp_mbs2_numbs_gbs48_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.20.log,32e167f41c8281b8f0711c4dbf3d51dd6a815a24caea87c4a01d03d9a375d744,evaluator_only_NEVER_MODEL_FIT
100,runtime_config_dump,bf16,True,e5655c3e1bf24e1b5695763930533d4cd9a18bd589454759bcd1a696af593c54,bf16 = True,False,/home/zjb/Desktop/fabric-data-analysis/fabric-data-analysis-raw/0731_224gpu_pp14_cp2_a2a/extracted/framework/2026-07-30-09:38/worker33020/2026-07-30_0938/tp1_pp14_dp_mbs2_numbs_gbs48_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.20.log,32e167f41c8281b8f0711c4dbf3d51dd6a815a24caea87c4a01d03d9a375d744,evaluator_only_NEVER_MODEL_FIT
100,runtime_config_dump,params_dtype,torch.bfloat16,e5655c3e1bf24e1b5695763930533d4cd9a18bd589454759bcd1a696af593c54,params_dtype = torch.bfloat16,False,/home/zjb/Desktop/fabric-data-analysis/fabric-data-analysis-raw/0731_224gpu_pp14_cp2_a2a/extracted/framework/2026-07-30-09:38/worker33020/2026-07-30_0938/tp1_pp14_dp_mbs2_numbs_gbs48_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.20.log,32e167f41c8281b8f0711c4dbf3d51dd6a815a24caea87c4a01d03d9a375d744,evaluator_only_NEVER_MODEL_FIT
100,runtime_config_dump,gradient_accumulation_fusion,True,e5655c3e1bf24e1b5695763930533d4cd9a18bd589454759bcd1a696af593c54,gradient_accumulation_fusion = True,False,/home/zjb/Desktop/fabric-data-analysis/fabric-data-analysis-raw/0731_224gpu_pp14_cp2_a2a/extracted/framework/2026-07-30-09:38/worker33020/2026-07-30_0938/tp1_pp14_dp_mbs2_numbs_gbs48_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.20.log,32e167f41c8281b8f0711c4dbf3d51dd6a815a24caea87c4a01d03d9a375d744,evaluator_only_NEVER_MODEL_FIT
