method,iteration,split,actual_onef1b_ms,predicted_onef1b_ms,error_ms,APE_pct
median_85_90,85,source_fit,22078.989073,22182.789045,103.79997200000071,0.4701300936234251
median_85_90,90,source_fit,22305.181526,22182.789045,-122.39248099999895,0.548717708741049
median_85_90,95,source_incremental_validation,22143.451542,22182.789045,39.33750300000247,0.1776484705891045
median_85_90,100,source_incremental_validation,22291.566001,22182.789045,-108.77695599999788,0.48797359501399834
recent_90_all,85,source_fit,22078.989073,22308.862506,229.87343300000066,1.0411411149304328
recent_90_all,90,source_fit,22305.181526,22308.862506,3.680980000001,0.01650280225565648
recent_90_all,95,source_incremental_validation,22143.451542,22308.862506,165.41096400000242,0.7469972045065495
recent_90_all,100,source_incremental_validation,22291.566001,22308.862506,17.29650500000207,0.07759214852481046
recent_90_phase_only,85,source_fit,22078.989073,22311.976804,232.98773100000108,1.0552463712431364
recent_90_phase_only,90,source_fit,22305.181526,22311.976804,6.795278000001417,0.030465019942027872
recent_90_phase_only,95,source_incremental_validation,22143.451542,22311.976804,168.52526200000284,0.761061398582588
recent_90_phase_only,100,source_incremental_validation,22291.566001,22311.976804,20.41080300000249,0.09156289423132884
recent_90_runtime_only,85,source_fit,22078.989073,22184.793372,105.80429899999945,0.47920807719129505
recent_90_runtime_only,90,source_fit,22305.181526,22184.793372,-120.38815400000021,0.5397317832166931
recent_90_runtime_only,95,source_incremental_validation,22143.451542,22184.793372,41.34183000000121,0.18670002696547647
recent_90_runtime_only,100,source_incremental_validation,22291.566001,22184.793372,-106.77262899999914,0.47898218095224593
max_85_90_phase_only,85,source_fit,22078.989073,22814.514792,735.5257190000011,3.331337845986175
max_85_90_phase_only,90,source_fit,22305.181526,22814.514792,509.33326600000146,2.2834750993005724
max_85_90_phase_only,95,source_incremental_validation,22143.451542,22814.514792,671.0632500000029,3.0305268748513825
max_85_90_phase_only,100,source_incremental_validation,22291.566001,22814.514792,522.9487910000025,2.345949095620034
