method,iteration,PP,forward_factor,backward_factor,forward_samples,backward_samples,statistic,backward_scope,source_fit_forward_min,source_fit_forward_max,source_fit_backward_min,source_fit_backward_max,forward_within_source_fit_range,backward_within_source_fit_range
cold_start_phase_transfer,85,14,1.0,1.0,0,0,none,none,1.0,1.0,1.0,1.0,True,True
cold_start_phase_transfer,90,14,1.0,1.0,0,0,none,none,1.0,1.0,1.0,1.0,True,True
cold_start_phase_transfer,95,14,1.0,1.0,0,0,none,none,1.0,1.0,1.0,1.0,True,True
cold_start_phase_transfer,100,14,1.0,1.0,0,0,none,none,1.0,1.0,1.0,1.0,True,True
online_forward_only_winsor20,85,14,1.1613416862170445,1.0,224,0,winsor20,none,0.9953263773745648,1.0046736226254351,1.0,1.0,False,True
online_forward_only_winsor20,90,14,1.1675461901871138,1.0,224,0,winsor20,none,0.9953263773745648,1.0046736226254351,1.0,1.0,False,True
online_forward_only_winsor20,95,14,1.1328100042569271,1.0,224,0,winsor20,none,0.9953263773745648,1.0046736226254351,1.0,1.0,False,True
online_forward_only_winsor20,100,14,1.1426585578206392,1.0,224,0,winsor20,none,0.9953263773745648,1.0046736226254351,1.0,1.0,False,True
online_midrun_last_half_winsor20,85,14,1.1613416862170445,1.174973934124004,224,112,winsor20,last_half,0.9953263773745648,1.0046736226254351,0.9891522678658737,1.0108477321341263,False,False
online_midrun_last_half_winsor20,90,14,1.1675461901871138,1.1726361214817065,224,112,winsor20,last_half,0.9953263773745648,1.0046736226254351,0.9891522678658737,1.0108477321341263,False,False
online_midrun_last_half_winsor20,95,14,1.1328100042569271,1.1852222188999082,224,112,winsor20,last_half,0.9953263773745648,1.0046736226254351,0.9891522678658737,1.0108477321341263,False,False
online_midrun_last_half_winsor20,100,14,1.1426585578206392,1.211546144804694,224,112,winsor20,last_half,0.9953263773745648,1.0046736226254351,0.9891522678658737,1.0108477321341263,False,False
online_midrun_last_half_median,85,14,1.1204638459965348,1.1687522170220168,224,112,median,last_half,0.9952938241688283,1.0047061758311717,0.990611091082306,1.009388908917694,False,False
online_midrun_last_half_median,90,14,1.1234874155283299,1.1549627623527488,224,112,median,last_half,0.9952938241688283,1.0047061758311717,0.990611091082306,1.009388908917694,False,False
online_midrun_last_half_median,95,14,1.1200122547117193,1.121212198098489,224,112,median,last_half,0.9952938241688283,1.0047061758311717,0.990611091082306,1.009388908917694,False,False
online_midrun_last_half_median,100,14,1.1266831062737255,1.2009435066811553,224,112,median,last_half,0.9952938241688283,1.0047061758311717,0.990611091082306,1.009388908917694,False,False
online_late_all_stages_winsor20,85,14,1.1613416862170445,1.1488567800072842,224,224,winsor20,all,0.9953263773745648,1.0046736226254351,0.9924487471551766,1.0075512528448236,False,False
online_late_all_stages_winsor20,90,14,1.1675461901871138,1.158360309840967,224,224,winsor20,all,0.9953263773745648,1.0046736226254351,0.9924487471551766,1.0075512528448236,False,False
online_late_all_stages_winsor20,95,14,1.1328100042569271,1.174473872365288,224,224,winsor20,all,0.9953263773745648,1.0046736226254351,0.9924487471551766,1.0075512528448236,False,False
online_late_all_stages_winsor20,100,14,1.1426585578206392,1.1765826619172588,224,224,winsor20,all,0.9953263773745648,1.0046736226254351,0.9924487471551766,1.0075512528448236,False,False
