method,iteration,phase,actual_ms,t35_predicted_ms,t38_predicted_ms,prediction_change_ms,changed_by_lagged_update
t38_lagged_base_residual,85,entry,1642.088634,1265.38821,1265.38821,0.0,False
t38_lagged_base_residual,85,onef1b,21393.263122,21103.874913,21103.874913,0.0,False
t38_lagged_base_residual,85,tail,782.152911000001,1004.5352981249962,1004.5352981249962,0.0,False
t38_lagged_base_residual,85,outer,1547.495332999999,1372.45339,1372.45339,0.0,False
t38_lagged_base_residual,90,entry,1504.160721,1265.38821,1265.38821,0.0,False
t38_lagged_base_residual,90,onef1b,21528.329899,21108.945222,21398.333431,289.38820900000064,True
t38_lagged_base_residual,90,tail,728.2539179999985,1004.5352981249962,1004.5352981249962,0.0,False
t38_lagged_base_residual,90,outer,1741.255462000001,1372.45339,1372.45339,0.0,False
t38_lagged_base_residual,95,entry,1605.572172,1265.38821,1265.38821,0.0,False
t38_lagged_base_residual,95,onef1b,21561.149446,21074.767309,21494.151986,419.38467700000183,True
t38_lagged_base_residual,95,tail,733.5161049999988,1004.5352981249962,1004.5352981249962,0.0,False
t38_lagged_base_residual,95,outer,1539.062277000001,1372.45339,1372.45339,0.0,False
t38_lagged_base_residual,100,entry,1468.369245,1265.38821,1265.38821,0.0,False
t38_lagged_base_residual,100,onef1b,21764.340726,21429.154589,21915.536726000002,486.3821370000005,True
t38_lagged_base_residual,100,tail,729.1963069999983,1004.5352981249962,1004.5352981249962,0.0,False
t38_lagged_base_residual,100,outer,1694.3937220000007,1372.45339,1372.45339,0.0,False
