variant,split,phase,actual_mean_ms,predicted_mean_ms,bias_ms,mape_pct
v685_frozen,development_primary,entry,1555.047693,1265.38821,-289.6594829999999,18.45643395822048
v685_frozen,development_primary,onef1b,21561.77079825,19115.772914,-2445.9978842500022,11.340786116467989
v685_frozen,development_primary,outer,1630.5516985000004,1372.45339,-258.0983085000005,15.579305630422718
v685_frozen,development_primary,tail,743.2798102499992,1004.5352981249962,261.255487874997,35.26919693729637
v685_frozen,posthoc_60_80_diagnostic,entry,1597.9180692,1265.38821,-332.5298592,20.70677327868309
v685_frozen,posthoc_60_80_diagnostic,onef1b,20485.0112192,19115.772914,-1369.2383052000027,6.6418124572313335
v685_frozen,posthoc_60_80_diagnostic,outer,1758.3170892000005,1372.45339,-385.8636992000002,21.250394531847306
v685_frozen,posthoc_60_80_diagnostic,tail,767.0936223999997,1004.5352981249962,237.4416757249965,31.23018859342311
v686_split_full,development_primary,entry,1555.047693,1265.38821,-289.6594829999999,18.45643395822048
v686_split_full,development_primary,onef1b,21561.77079825,18433.858208,-3127.912590249998,14.503515766039277
v686_split_full,development_primary,outer,1630.5516985000004,1372.45339,-258.0983085000005,15.579305630422718
v686_split_full,development_primary,tail,743.2798102499992,1004.5352981249962,261.255487874997,35.26919693729637
v686_split_full,posthoc_60_80_diagnostic,entry,1597.9180692,1265.38821,-332.5298592,20.70677327868309
v686_split_full,posthoc_60_80_diagnostic,onef1b,20485.0112192,18433.858208,-2051.1530111999987,9.972168038317704
v686_split_full,posthoc_60_80_diagnostic,outer,1758.3170892000005,1372.45339,-385.8636992000002,21.250394531847306
v686_split_full,posthoc_60_80_diagnostic,tail,767.0936223999997,1004.5352981249962,237.4416757249965,31.23018859342311
v687_split_full,development_primary,entry,1555.047693,1265.38821,-289.6594829999999,18.45643395822048
v687_split_full,development_primary,onef1b,21561.77079825,18253.343351,-3308.42744725,15.340746119628438
v687_split_full,development_primary,outer,1630.5516985000004,1372.45339,-258.0983085000005,15.579305630422718
v687_split_full,development_primary,tail,743.2798102499992,1004.5352981249962,261.255487874997,35.26919693729637
v687_split_full,posthoc_60_80_diagnostic,entry,1597.9180692,1265.38821,-332.5298592,20.70677327868309
v687_split_full,posthoc_60_80_diagnostic,onef1b,20485.0112192,18253.343351,-2231.6678682000006,10.853771934214572
v687_split_full,posthoc_60_80_diagnostic,outer,1758.3170892000005,1372.45339,-385.8636992000002,21.250394531847306
v687_split_full,posthoc_60_80_diagnostic,tail,767.0936223999997,1004.5352981249962,237.4416757249965,31.23018859342311
v688_full4_ensemble,development_primary,entry,1555.047693,1265.38821,-289.6594829999999,18.45643395822048
v688_full4_ensemble,development_primary,onef1b,21561.77079825,18392.04959975,-3169.721198500003,14.697424657805572
v688_full4_ensemble,development_primary,outer,1630.5516985000004,1372.45339,-258.0983085000005,15.579305630422718
v688_full4_ensemble,development_primary,tail,743.2798102499992,1004.5352981249962,261.255487874997,35.26919693729637
v688_full4_ensemble,posthoc_60_80_diagnostic,entry,1597.9180692,1265.38821,-332.5298592,20.70677327868309
v688_full4_ensemble,posthoc_60_80_diagnostic,onef1b,20485.0112192,18392.04959975,-2092.961619450004,10.176354178604374
v688_full4_ensemble,posthoc_60_80_diagnostic,outer,1758.3170892000005,1372.45339,-385.8636992000002,21.250394531847306
v688_full4_ensemble,posthoc_60_80_diagnostic,tail,767.0936223999997,1004.5352981249962,237.4416757249965,31.23018859342311
v688_split_ensemble,development_primary,entry,1555.047693,1265.38821,-289.6594829999999,18.45643395822048
v688_split_ensemble,development_primary,onef1b,21561.77079825,18321.5448785,-3240.2259197500025,15.0244265106328
v688_split_ensemble,development_primary,outer,1630.5516985000004,1372.45339,-258.0983085000005,15.579305630422718
v688_split_ensemble,development_primary,tail,743.2798102499992,1004.5352981249962,261.255487874997,35.26919693729637
v688_split_ensemble,posthoc_60_80_diagnostic,entry,1597.9180692,1265.38821,-332.5298592,20.70677327868309
v688_split_ensemble,posthoc_60_80_diagnostic,onef1b,20485.0112192,18321.5448785,-2163.466340700003,10.5206872599148
v688_split_ensemble,posthoc_60_80_diagnostic,outer,1758.3170892000005,1372.45339,-385.8636992000002,21.250394531847306
v688_split_ensemble,posthoc_60_80_diagnostic,tail,767.0936223999997,1004.5352981249962,237.4416757249965,31.23018859342311
