pp_stage,direction,nodes,ranks,microbatches
0,backward,1712,16,3
0,forward,768,16,3
1,backward,3872,16,3
1,forward,1584,16,3
2,backward,3792,16,3
2,forward,1584,16,3
3,backward,3856,16,3
3,forward,1584,16,3
4,backward,3872,16,3
4,forward,1584,16,3
5,backward,3872,16,3
5,forward,1584,16,3
6,backward,3856,16,3
6,forward,1584,16,3
7,backward,3792,16,3
7,forward,1584,16,3
8,backward,3808,16,3
8,forward,1584,16,3
9,backward,3920,16,3
9,forward,1584,16,3
10,backward,3824,16,3
10,forward,1584,16,3
11,backward,3776,16,3
11,forward,1584,16,3
12,backward,3792,16,3
12,forward,1584,16,3
13,backward,1904,16,3
13,forward,768,16,3
