view,iteration,entry_ms,onef1b_ms,tail_ms,profiler_ms,outer_ms,training_ms
prediction,85,1265.38821,19283.76732,1008.3947261249996,21557.550256125,1372.45339,22930.003646124995
target,85,1642.088634,21393.263122,782.152911000001,23817.504667,1547.495332999999,25365.0
source,85,1252.168507,22078.989073,406.6923029999998,23737.849883,1380.650117,25118.5
prediction,90,1265.38821,19283.76732,1008.3947261249996,21557.550256125,1372.45339,22930.003646124995
target,90,1504.160721,21528.329899,728.2539179999985,23760.744538,1741.255462000001,25502.0
source,90,1170.392779,22305.181526,382.7262589999991,23858.300564,1403.899436,25262.2
prediction,95,1265.38821,19283.76732,1008.3947261249996,21557.550256125,1372.45339,22930.003646124995
target,95,1605.572172,21561.149446,733.5161049999988,23900.237723,1539.062277000001,25439.3
source,95,1278.97869,22143.451542,381.59121700000105,23804.021449,1366.278551,25170.3
prediction,100,1265.38821,19283.76732,1008.3947261249996,21557.550256125,1372.45339,22930.003646124995
target,100,1468.369245,21764.340726,729.1963069999983,23961.906278,1694.3937220000007,25656.3
source,100,1278.607913,22291.566001,375.13680100000056,23945.310715,1631.989285,25577.3
